,brief,header,pub_time,type,url
0,人脸识别技术在美国的落地应用困难重重。,人脸识别技术不成熟？谷歌暂停对外销售相关产品,10小时前,AI+,https://www.leiphone.com/news/201812/IpjLTFJfm6BtEnJl.html
1,“比亚迪有技术‘鱼池’，里面有各种各样的技术，市场需要时，我们就捞一条出来，电动车、轨道交通都是‘鱼池’里的大鱼。”王传福曾多次在公开场合介绍比亚迪的技术积累。,一车一轨连三电 IGBT锋芒现：王传福的中国“梦工厂”还有哪些“奇珍异兽”？,15分钟前,业界,https://www.leiphone.com/news/201812/CJLbqt65gOzTFOnu.html
2,华为手机 2018 年度全球发货量预计将在 2018 年 12 月 25 日超过 2 亿台。,2 亿台的小目标即将实现，但华为的手机野心不止于此,1小时前,业界,https://www.leiphone.com/news/201812/BPFEeDBSRo8cJ3Z0.html
3,进行这样的一场人脸破解攻击毕竟是一件成本不低的事情。,手机人脸识别被 3D 打印人头破解了，你还敢用吗？,1小时前,业界,https://www.leiphone.com/news/201812/0twki5QHbZQqyUFj.html
4,苹果和海思集成了专为AI加速的硬件单元NPU，但高通和联发科却选择了优化的路线，这是为什么？,骁龙855和Helio P90为什么没有与A12和麒麟980“相同”的NPU？,2小时前,业界,https://www.leiphone.com/news/201812/h5EXBTevvzneu0P9.html
5,“母猪杜洛克C7259号，没有怀孕，请在12小时内再次安排配种！“很快，这样的提醒就会出现在国内一些猪场的工作人员电脑上。,阿里云AI可观测母猪是否怀孕 提升母猪产仔量,4小时前,业界,https://www.leiphone.com/news/201812/H4O7qvNQQytBv27z.html
6,由国家级知识产权平台首次举办的“中国好专利”12月16日给出最终结果，在上万件参评的专利中，360的一件网络安全专利是唯一获奖的互联网专利。,首届“中国好专利”里唯一互联网专利是这个,7小时前,业界,https://www.leiphone.com/news/201812/U5anASiErE4Si50E.html
7,捷豹路虎将在明年年初宣布裁员数千人的计划，这是该公司战略转型的一部分。,捷豹路虎宣布明年大裁员；苹果被控 iPhone 像素和尺寸造假；滴滴全员年终奖减半高管无奖|雷锋早报,12小时前,业界,https://www.leiphone.com/news/201812/qsumEUdww5EYdfx8.html
