,brief,header,pub_time,type,url
0,“有的联盟链动辄号称自己有多少万的用户，但这些用户只是有着使用权，他们也压根感觉不到已经在享受区块链的成果，拿他们凑数根本没有意义”,白硕：区块链+开源数据库≥商业数据库,28分钟前,AI+,https://www.leiphone.com/news/201811/U8MdwgBKk3WTo2hk.html
1,“所谓的加密解密都是有一定的周期，实际上区块链的不可篡改性、电子签名都是建立在密码上面的，而密码都有一定的周期。”,挪威科学院院士容淳铭：开源区块链平台的商业化空间在哪儿？,4小时前,AI+,https://www.leiphone.com/news/201811/FZ7sFdAU6BCPAaLf.html
2,讲者将总结深度学习背景下物体检测算法的发展，分享 COCO 比赛冠军团队所使用的算法，并介绍由港中大多媒体实验室开源的物体检测算法框架 mmdetection。,大讲堂 | 物体检测算法的近期发展及开源框架介绍,10小时前,AI+,https://www.leiphone.com/news/201811/ffKQwyjzGQm1nzge.html
3,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
4,原本八对夫妻参与基因编辑项目，其中一对夫妻在期间退出。,贺建奎回应：必须要道歉，南方科技大学完全不知情,6小时前,业界,https://www.leiphone.com/news/201811/8pQ7JfntfK4XjqyZ.html
5,小米从IoT到AIoT的转变……,【小米AIoT开发者大会】雷军宣布小爱同学激活破亿，和宜家开启战略合作,7小时前,业界,https://www.leiphone.com/news/201811/g69ogcE4GArlimUv.html
6,内置小米小爱同学的手机和已接入小爱开放平台的智能硬件设备，将具有“召唤小冰”的能力。,今天起，搭载小爱同学的智能硬件能召唤微软小冰了,8小时前,业界,https://www.leiphone.com/news/201811/OlnVfq2gA1aGsKWf.html
7,Service Mesh无疑是未来微服务架构发展的重要指向。,专访Rancher CEO 梁胜：Kubernetes和Service Mesh互补,9小时前,业界,https://www.leiphone.com/news/201811/PpdGhztfnLdkNbEO.html
8,矛头直指Google中国版搜索引擎“蜻蜓计划”（Dragonfly）,刚罢工又“造反”，Google员工再签联名信反对“蜻蜓计划”（Dragonfly）,13小时前,业界,https://www.leiphone.com/news/201811/DfE5lo4ZXrQ1hUR2.html
9,这是一项新的云计算服务。,重磅！亚马逊发布AWS Ground Station ——全球首款地面卫星接收站,16小时前,业界,https://www.leiphone.com/news/201811/v1yxHO1CTRjPuadK.html
