,brief,classes_name,header,news_url,pubtime
0,北京时间11月30日，由Sinrin Labs研发的全球首款区块链手机Finney正式发布会于西班牙巴塞罗那举行，早在去年这款区块链手机就已被曝光，在时隔一年后这款产品终于正式浮出水面，甚至请来了足球巨星梅西现场代言。 ▲Sirin Labs创始人兼CEOMoshe Hogeg在发布会上介绍Finney 在外观和硬件,人工智能,双屏双系统+梅西代言 首款区块链手机正式发布,http://www.aihot.net/iot/12637.html,2018-12-05 20:01:03
1,上周四，中本聪在P2P Foundation上的个人状态有了新的更新。 虽然只有简短的nour一词，却因为由币圈最神秘的人物发出，人们怎能不关注。 就如同中本聪的身份无从可考一样，nour也更像一个谜语，没有人能理解其代表的真正含义。 如果把nour用英文直译，并无实际意义，而在Urban dictionary（城,人工智能,中本聪神秘现身，他要告诉我们是坚持还是放弃？,http://www.aihot.net/other/finance/12636.html,2018-12-05 20:01:04
2,软件公司欧特克和美国宇航局（NASA）喷气推进实验室的工程师们设计出了一种全新的星际着陆器，未来预计将对木卫二和土卫二等遥远的卫星进行探索。它的重量小于美国宇航局送往其它行星和卫星的大多数着陆器。 欧特克公司公布的这个全新的着陆器设计，外形酷似一只金属蜘蛛。这个设计是由,人工智能,并不是科幻电影道具，外形酷似蜘蛛的着陆器问世,http://www.aihot.net/robot/12635.html,2018-12-05 20:01:04
3,▲2011年诺贝尔经济学奖得主，托马斯萨金特(Thomas Sargent) 新技术革新时泡沫与机遇并存，核心在价值认同。 面对经济学家，人们常喜欢请他们基于经济学理论对未来进行预测。 而对此，坐在我们面前的诺奖得主托马斯&middot;萨金特教授，最爱说的则是我不知道。 对不少人来说，萨金特这个名,人工智能,诺贝尔经济学奖得主：客观来说，所有货币都是泡沫,http://www.aihot.net/other/finance/12634.html,2018-12-05 20:01:04
4,12月3日消息，据AppleInsider报道，苹果分析师郭明錤(Ming-Chi Kuo)刚刚更新了他对苹果无线耳机的预测，预计苹果在未来6个月将对其进行一次相对较小的升级，并在2020年底前推出全新设计的AirPods。 郭明錤预计，AirPods将具备无线充电支持功能，配置经过修改的w系列芯片，蓝牙规格可能升级到蓝,人工智能,郭明錤：AirPods明年小幅更新，后年将全新设计,http://www.aihot.net/iot/12633.html,2018-12-05 20:01:04
5,一场苹果应用商店的下架风波，引发业界关注。 近日，App分析平台数据显示，苹果应用商店集中下架了拼多多、搜狗、科大讯飞、悦跑圈等1500多款App。科大讯飞、拼多多等商家表示，App下架与热更新相关。 苹果公司工作人员称，早在去年3月份，苹果方面就已明确告知商家该方面的审核规定并提供,人工智能,"苹果半年内大规模下架App超6次,风波持续发酵引争",http://www.aihot.net/application/12632.html,2018-12-05 20:01:04
6,▲李斌和蔚来汽车ES8 自动驾驶和电动车的组合是最合适汽车的发展形态，也是未来汽车行业的方向。12月2日，蔚来汽车董事长李斌在2018中国企业领袖年会上，谈到了他对未来汽车行业发展方向的判断。 李斌说，汽车产品正处在一个改变形态的历史关口，慢慢会变成一种新的形态。为什么Smart EV,人工智能,蔚来汽车李斌：电动汽车和智能的组合更有未来,http://www.aihot.net/selfdriving/12631.html,2018-12-05 20:01:04
7,【 12月3日消息】近日，谷歌旗下人工智能研究公司DeepMind宣布，推出的 AlphaFold 可以仅根据基因代码预测生成蛋白质的3D形状。 DeepMind 联合创始人兼 CEO Demis Hassabis表示，对于我们来说，这真的是一个关键时刻，据介绍，基于深度神经网络，他们设计了两种方法以用来构建完整而精确的蛋白,人工智能,DeepMind推出AlphaFold：可根据基因预测生成蛋白质,http://www.aihot.net/other/medicine/12630.html,2018-12-05 20:01:04
8,▲微软总裁布拉德&middot;史密斯 微软公司总裁近日表示将把微软所有的技术都分享给道德又光荣的美军，尽管一些微软的员工对道德问题表示担忧。 今日俄罗斯(RT)2日报道称，微软公司总裁布拉德?史密斯(Brad Smith)在里根国防论坛上称，微软将为美军提供最好的技术、我们创造的所有技术,人工智能,微软称将把技术分享给美军，承认部分员工对此不满,http://www.aihot.net/other/cloud/12629.html,2018-12-05 20:01:04
9,今年的NeurIPS(原名NIPS)会议开幕了！ 开幕式上公布了4篇最佳论文，其中一篇最佳论文一作来自华为诺亚方舟实验室，另外几篇最佳论文被来自多伦多、谷歌AI的研究者包揽。 本次NeurIPS大会一共有6个Poster部分，3个并行的主方向，历时三整天。在开始销售门票后的短短11分钟28秒后，所有的参会,人工智能,NeurIPS 2018 ：四篇最佳论文正式揭晓，论文接受全方,http://www.aihot.net/application/12628.html,2018-12-05 20:01:04
