,brief,header,pub_time,type,url
0,截至2018年6月末，陆金所平台注册用户数3684万，同比增长18% 。,陆金所半年报：资管规模较年初下降16.6%，贷款余额增长8.8%,2小时前,AI+,https://www.leiphone.com/news/201808/Fmv24nfh34GprTsW.html
1,零售品牌的门店遍布全国各地，这要求AI技术必须以平台或运营商的方式去实现。,背靠 30 万家门店，悠络客如何用运营商模式进击智慧零售？,4小时前,AI+,https://www.leiphone.com/news/201808/0NrpIUygDlaCup2D.html
2,目前上海金融法院仅受理金融民商事案件与涉金融行政案件，不受理刑事案件。因此，因网络借贷引发的刑事案件，依据刑事诉讼法仍由其他法院管辖，不属于上海金融法院管辖范围,国内首家金融法院落沪，受理金融民商事案件与涉金融行政案件,5小时前,AI+,https://www.leiphone.com/news/201808/FRiZPUpueb8La3G8.html
3,8月21日，深圳会展中心，第四届智博会也如期盛大开幕。,重磅亮相智博会，解密平安 AI 安防力量,5小时前,AI+,https://www.leiphone.com/news/201808/uf8Tu3X5kUWiCxGK.html
4,整体来看，小米给出了一份各方面都比较好看的财报。,小米上市后首次财报非常好看，但至少有三个问题需要担心,54分钟前,业界,https://www.leiphone.com/news/201808/lZlcKh0xyD8c3txJ.html
5,当腾讯怀来数据中心全部建成投产后，能容纳百万台服务器，是腾讯迄今为止的服务器数量总和。,腾讯华北最大数据中心落户张家口怀来    建成后服务器规模达百万,2小时前,业界,https://www.leiphone.com/news/201808/pNKVQHGCRGBiOvJ9.html
6,应该遵守开源规则，而不是将开源的东西当成自己的东西大肆宣扬。,红芯“打脸”的背后，折射出哪些问题？,2小时前,业界,https://www.leiphone.com/news/201808/B4zp9mfjoNTQkUzC.html
7,只是不知道一向强硬的 ofo 创始人戴威这次心里是什么滋味。,传 ofo 作价 20 亿美元卖身滴滴，创始人团队只剩下戴威一人,3小时前,业界,https://www.leiphone.com/news/201808/MjpfHZa71CBKkJyh.html
8,The Internet never forgets.,华为手机海外营销造假引发众怒，这已经不是第一次了,4小时前,业界,https://www.leiphone.com/news/201808/eb2W6UBLE35aRkAL.html
9,一个多月的时间，谷歌云的第二位高管已经离职。,继COO闪电离职后     谷歌云首席执行官的VP级“追随者”也确认离职了,7小时前,业界,https://www.leiphone.com/news/201808/nOxobkToSDbGeIUV.html
10,轮式机器人最终将会走向足式机器人，而四足机器人现在有更好的运动能力。,足式机器人：“机器人”不如“机器狗”，为何两条腿不如四条腿？| WRC 2018,8小时前,业界,https://www.leiphone.com/news/201808/hfgRK10uSelIl3uu.html
11,近年来，人工智能技术快速发展，智能家居市场热度持续走高，相关新潮应用也不断涌现并改变着人们的生活。在此科技浪潮中，开发者要如何探索创新、去创造更多价值？,科大讯飞Hi！MORFEI智能家居开发大赛火热招募中，500万奖金等你拿！,9小时前,业界,https://www.leiphone.com/news/201808/XSR5vxYERYJ4JHm4.html
12,8月21日晚间，科沃斯（603486）发布公司上市以来首份半年报。,科沃斯上市后首份半年报发布 服务机器人业务营收大增52%,11小时前,业界,https://www.leiphone.com/news/201808/qIel1ZsvcgvBqZhn.html
13,据了解，被封原因与炒币有关，存在币种研究变相推介 ICO 项目的账号均被封杀。,小米今日发布上市后首份财报；区块链微信大号被封；谷歌在美被起诉 | 雷锋早报,13小时前,业界,https://www.leiphone.com/news/201808/Ju3MaI0NEma44vK0.html
