,brief,header,news_url,pubtime,savetime
0,随之将10月推向了回收高峰期。爱回收大数据研究院分析了热门新机发布后的回收数据，展示出安卓与苹果用户迥然相异的回收习惯。安卓回收增速碾压苹果（IOS）根据爱回收大数据研究 ...,爱回收大数据:安卓VS苹果 回收习惯大不同,http://tech.sina.com.cn/mobile/n/n/2018-11-07/doc-ihmutuea7893235.shtml,大数据,2018-11-07 20:02:09
1,女演员的婚育和年龄增长是否影响其事业发展？新京报记者统计近年已生孩子的15位女演员在生育前后的作品数量，探究生育对女演员的职业发展影响。新京报制图/许骁 7人生育后明显戏量减 ...,女演员生了孩子没戏拍？大数据告诉你答案,http://ent.sina.com.cn/v/m/2018-11-05/doc-ihmutuea6982766.shtml,大数据,2018-11-07 20:02:09
2,云上贵州大数据集团成立：茅台4.5亿元入股，成第二大股东 澎湃新闻记者 周玲 综合报道 云上贵州大数据（集团）有限有限公司揭开面纱。11月1日，澎湃新闻记者查询工商资料发现，云上 ...,接管苹果中国iCloud的云上贵州大数据成立 茅台入股,http://tech.sina.com.cn/it/2018-11-01/doc-ihnfikve2605526.shtml,大数据,2018-11-07 20:02:09
3,新京报讯（首席记者 赵毅波）11月1日，新京报记者独家获悉，“接管”了苹果中国iCloud的云上贵州大数据产业发展有限公司，其集团公司近日悄然成立。国家企业信用信息系统显示，10月19日 ...,云上贵州大数据集团悄然注册成立 茅台4.5亿入股,http://tech.sina.com.cn/it/2018-11-01/doc-ifxeuwwt0127306.shtml,大数据,2018-11-07 20:02:09
4,当前，互联网创新发展与新工业革命正处于历史的交汇期，随着消费互联网为代表的互联网的发展，工业互联网日益成为推动互联网、大数据、人工智能与实体经济融合发展的突破口。当 ...,制造业核心竞争再定义 “大数据+AI”突围智能化,http://tech.sina.com.cn/it/2018-11-01/doc-ifxeuwwt0031143.shtml,大数据,2018-11-07 20:02:09
5,10月26日消息，近日，有自媒体将2015年的“科技部国科罚”与华大研究团队在2018年10月发布的一项“14万中国人基因大数据”研究相关联，制造恐慌情绪，对此，华大基因表示，在2015年收到该 ...,华大回应14万中国人基因大数据知情权：严格遵循规范,http://tech.sina.com.cn/d/f/2018-10-26/doc-ihmxrkzx2014868.shtml,大,2018-11-07 20:02:09
6,记者从推进会上获悉：明年将完成司法大数据平台建设，到2019年底，我国司法行政系统将基本实现“数字法治、智慧司法”信息化建设目标。会议部署落实“数字法治、智慧司法”信息 ...,司法部加快推进信息化工作 司法大数据平台明年建成,http://tech.sina.com.cn/i/2018-10-30/doc-ihnaivxq5809704.shtml,大数据,2018-11-07 20:02:09
7,粉丝头条、快接单、快手小店、子母矩阵号、商业号等。快手给自己的定位是一家“AI+大数据+社交”的公司。在其营销系统中，快手强调了AI大数据的应用。“未来的广告和营销更多会通过AI ...,直击|快手正式推营销平台 由AI大数据驱动,http://tech.sina.com.cn/i/2018-10-30/doc-ifxeuwws9577792.shtml,大数据,2018-11-07 20:02:09
