,header,pub_time,url,views
0,网易《逆水寒》，走出传统网游区块链改造的第一步,2018-09-08 19:48:50,http://www.8btc.com/nishuihan-youxi-blockchain,
1,2018年比特币现状分析报告,2018-09-08 16:12:03,http://www.8btc.com/state-of-bitcoin-fall-2018,
2,EOS的吸引力已经逐渐流失？EOS区块生产者达成一致，降低账户创建费用以吸引新用户,2018-09-08 13:56:09,http://www.8btc.com/eos-block-producers-move-to-cut-costs-for-users,
3,区块链初创公司CrossLend获1400万美元投资，荷兰最大银行ABN Amro参投,2018-09-08 12:42:55,http://www.8btc.com/abn-amro-solarisbank-earlybird-14m-blockchain-crosslend,
4,周转率腰斩的BTC要凉？这恰恰证明其价值储备属性,2018-09-08 12:19:47,http://www.8btc.com/bitcoin-velocity-halving-reserve-currency,
5,IBM与Hu-manity合作开发健康数据区块链，用户将拥有对个人数据的控制权,2018-09-08 12:12:24,http://www.8btc.com/ibm-and-humanity-health-data-blockchain,
6,委内瑞拉石油币为什么和石油挂钩了还是被当骗子?,2018-09-08 11:37:18,http://www.8btc.com/shiyoubi-weineiruila,
7,韩国欲建“加密谷”，能否加速全球区块链产业的发展进程？,2018-09-08 11:11:40,http://www.8btc.com/hanguo-jiamigu,
8,BCH最大区块突破23MB，但商业应用中分片才是王道,2018-09-08 10:56:39,http://www.8btc.com/bitcoin-cash-mines-biggest-block-yet-23mb,
9,区块链确权专家Sean Moss-Pultz ：个人数据也是一种产权，产权区块链将开启信息革命,2018-09-08 10:49:26,http://www.8btc.com/blockchain-sean-moss-pultz-data,
10,乌兹别克斯坦合法化加密货币交易，实行交易所牌照制度、税收和电力优惠,2018-09-08 10:34:19,http://www.8btc.com/uzbekistan-legalizes-crypto-exchanges-trading,
11,三天新增2200万美元，做空以太坊的资金创下新高,2018-09-08 10:28:13,http://www.8btc.com/ethereum-shorts,
12,LinkedIn&hub 创始人Eric Ly：区块链正在塑造一个更加互信的互联网 ,2018-09-08 09:34:47,http://www.8btc.com/linkedinhub-eric-ly-blockchian-internet,
13,监管加密货币被写进澳洲5年工作计划，交易所或面临新规,2018-09-08 08:45:14,http://www.8btc.com/australian-crypto-exchange,
14,市值占比突破55%，比特币将走向何方？,2018-09-08 08:32:53,http://www.8btc.com/bitcoin-dominance-55,
15,区块链的一大步：首次以司法解释形式对区块链电子存证进行法律确认,2018-09-08 06:38:46,http://www.8btc.com/si-fa-jie-shi,
16,都说为了BCH好，但谁是真正忠诚——如何评价数字货币社区的争吵,2018-09-07 22:29:43,http://www.8btc.com/loyalty-of-bch,
17,反弹幅度略显羞涩，密码货币市场再陷低迷,2018-09-07 21:40:41,http://www.8btc.com/coinmarket-19,
18,经济模型研究 | 使用权一类的币的特征与弊端,2018-09-07 20:19:29,http://www.8btc.com/shiyongquanyibi,
19,以太坊2.0：有哪些关键项目？谁在做？进展如何？,2018-09-07 19:52:59,http://www.8btc.com/ethereum-2-0-whos-building-it-54a735442e,
