,brief,header,pubtime,savetime
0,TokenInsight 获经纬中国领投，Draper Dragon、分布式资本、原股东 SIG 跟投的数百万美元 A 轮融资。TokenInsight 作为全球通证数据与评级机构，专注通证风险评级，帮助投资者规避风险，提高收益。TokenInsight 为传统金融机构、风险投资公司、通证基金、个人投资者、交易所、媒体等客户提供客观、有深度的数据和评级服务。同时 TokenInsight 致力于发展具有实用性、操作性的分析工具和服务。,TokenInsight 获数百万美元 A 轮融资，由经纬中国领投,19:28,2018-10-15 20:03:05
1,"据媒体报道，EOSBet 平台今天下午遭受了攻击，区块链安全公司 PeckShield 第一时间监测并捕捉到了该攻击行为的发生。PeckShield 安全人员进一步分析发现，黑客利用 EOSBet 合约在检验收款方时存在的漏洞，伪造转账通知，总计从 eosbetdice11 获利 138,319.7995 EOS。据 PeckShield 态势感知平台监测发现，今天下午 13:27 到 13:38 之间，账号 ilovedice123 总共发起了 10 余笔大额转账指向交易所平台，其中 72,150 EOS 流入了 Bitfinex，65,100 EOS 流入了 Poloniex。根据 EOS 当前行情价格 37 元估算，EOSBet 平台此次损失额超 500 万元人民币。",EOSBet 遭「伪造转账通知」，损失近 14 万个 EOS,18:16,2018-10-15 20:03:05
2,Bitfinex 发布公告称，10 月 11 日，Bitfinex 决定暂时停止某些客户的法币存款，包括美元、英镑、欧元、日元等，以应对一些复杂流程。虽对某些用户造成不便，但必须澄清：所有加密货币和法定货币存取业务一直在进行，未受任何干扰；法币存款只是对某些用户暂停。Bitfinex 将于 10 月 16 日推出一个新的、更强大的法币存款系统。,Bitfinex：所有加密货币和法币存取业务正常，未受干扰,17:00,2018-10-15 20:03:05
3,据 Searchain 数据显示，北京时间 13:47，Tether 排行榜目前排名第三位的火币钱包地址（168o1kqNquEJe 开头）向排名第十三位（1LAnF8h3qMGx3 开头）火币钱包的地址转入近 3388 万枚 USDT。目前 USDT 场外价格今日从 6.86 元急速下跌至 6.67 元，溢价率近 -3.57%。,火币内部互转近 3388 万枚 USDT，今日 USDT 场外价格急速下跌,14:19,2018-10-15 20:03:05
4,投资银行 CLSA 宣布推出一个投资于亚洲早期金融科技创业公司的投资基金 AlphaLabs，区块链、人工智能、大数据、网络安全为该基金的核心投资领域。CLSA 首席投资官 Max Nam-Storm 为该基金的创立人兼首席技术官。AlphaLabs 宣布已经完成两笔投资，其中一笔投向为金融企业提供人工智能工具的以色列公司 Epistema，另一笔为基于云服务的通讯及内容分享平台 Symphony Communications Services。,投资银行 CLSA 推出聚焦亚洲金融科技初创公司的投资基金,06:18,2018-10-15 20:03:05
5,据南华早报报道，香港证监会主席唐家成表示，香港证监会正探索对本地运营的数字货币交易平台进行监管，强化投资者保护。,香港证监会主席唐家成：正探索对本地数字货币交易平台进行监管,06:12,2018-10-15 20:03:05
6,针对电子商务的区块链网络 CyberMiles 将于今日启动主网，主网代币迁移目前已经开始。CyberMiles 由美国电商平台 5miles 创始人卢亮创立，采用 DPoS 共识，兼容以太坊，针对电商业务创建了优化的智能合约模板。,CyberMiles 主网将于今日上线,05:50,2018-10-15 20:03:05
7,Crypto Briefing 发布了更新版的 Zilliqa 评级报告，维持了 B- 评级，但同时提示了该项目面临的风险：该项目主网上线的时间从今年第三季度推迟到了明年 1 月份，开发者工具发布时间也相应推迟，这将延误第三方在 Zilliqa 上开发 DApp 的进度；此外，第三季度关于生态系统建设、合作伙伴开拓等方面的进展更新不足，该项目能否在第四季度实现一个旗舰级应用并不确定。,Crypto Briefing 维持 Zilliqa 的 B- 评级，但提示该项目主网上线推迟和合作伙伴进展较少带来的风险,05:04,2018-10-15 20:03:05
8,国际货币基金组织（IMF）发布了最新的「世界经济报告」，在这份总计 215 页的报告中，仅有一句话提到了加密货币。该报告称：「加密资产持续快速增长可能给全球金融体系带来新的攻击点」。,IMF：加密资产持续快速增长可能给全球金融体系带来新的攻击点,04:32,2018-10-15 20:03:05
9,去中心化交易平台 AirSwap 宣布推出新的基于 AirSwap 协议的去中心化交易工具 Spaces，称该工具更加易于使用。,AirSwap 推出实现去中心交易工具 Spaces,02:40,2018-10-15 20:03:05
