,brief,header,pubtime,savetime
0,XIR 代币背后公司 Xirkle 发布可以存储多种代币的加密货币钱包 XirkleBot。XirkleBot 是一款基于电报 Telegram、便于使用和安全性强的钱包，支持比特币、ETH、比特币现金等热门币种及 XIR 代币。,Xirkle 发布至支持多种代币的钱包 XirkleBot,18:54,2018-08-16 22:18:30
1,近日，泰国警方公布了三家泰国银行参与比特币诈骗案的细节。涉案的三家银行分别为曼谷银行、暹罗商业银行和开泰银行。根据泰国相关法规，超过 200 万以上泰铢的诈骗案，上述银行的员工应当向反洗钱机构汇报，但他们并未按照法规要求处理。,三家泰国本地银行涉嫌参与比特币诈骗案,18:44,2018-08-16 22:18:30
2,微处理器巨擘英特尔周四向链闻回应 SGX 技术安全漏洞的相关报道称，英特尔和行业合作伙伴们发布了被命名为 L1 终端故障简称 L1TF 的详细情况和防御措施。L1TF 是一种最近发现的推测执行侧信道分析的安全漏洞，会影响一部分支持英特尔 SGX 的微处理器产品。英特尔称目前还没有收到这些漏洞被实际攻击利用的报告，但这进一步突出了全行业均遵循最佳安全实践的必要性，这些实践包括：即时更新电脑系统、采取措施以防止恶意软件等。,英特尔就 SGX 漏洞回应称发布防御措施，用户请及时更新系统,16:03,2018-08-16 22:18:30
3,据 Techcrunch 报道，著名加密资产基金 Pantera Capital 计划筹集金额为 1.75 亿美元的第三支风投基金，主要进行早期投资和投资多种加密货币资产。这支基金相比前两支风投基金规模大幅增长，前两支金额分别为 1300 万美元和 2500 万美元。,Pantera Capital 计划为旗下第三支加密货币基金筹资 1.75 亿美元,14:34,2018-08-16 22:18:30
4,8 月 23 日，中国区块链应用研究中心（纽约）揭牌仪式将于美国纽约举行。「纽约中心」将对接当地监管机构、高等学府及行业机构，共同推动中美区块链行业的规范和发展，促进中国区块链业界与全球同行的交流，并建立行业规则。揭牌仪式由中心主办，DCC 创始人兼 CEO 朱晟卿承办，Usechain 创始人曹辉宁、DATA 创始人宋晓啸、Altonomy 创始人董博及 CertiK 项目协办。揭牌仪式中，嘉宾将围绕区块链在传统行业引发的变革、业界监管新趋势及中美数字货币交易市场等话题展开讨论。,中国区块链应用研究中心（纽约）将于 8 月 23 日揭牌,13:36,2018-08-16 22:18:30
5,根据 coindesk 报道，英特尔所设计的 SGX 软件保护系统被研究人员发现致命漏洞，研究人员找到一种办法可以突破保护从而篡改数据。而很多区块链项目已经有意使用该硬件来进行安全防护。不过好消息是研究人员在发现后通知了英特尔，而英特尔已经找到一种解决方案，但升级并未全部完成。比特币的核心维护者 Wladimir van der Laan 回应说：即使比特币在某种程度上是完美的，但将比特币的安全性根植于芯片供应商某项技术中也绝不是个好主意。,英特尔的 SGX 被突破，部分区块链项目受到影响,12:55,2018-08-16 22:18:30
6,据 NPR 报道，美国怀俄明州利用区块链技术追踪牛肉信息，牧场主使用区块链标签标注每头牛，使它们的信息一直被记录。区块链公司 Beefchain.io CEO Rob Jennings 表示，标签的数据将一直保留在货架上，因此消费者可以扫描代码并查看牛肉信息，可追溯性对消费者来说至关重要，可以保证食品安全，防止食品欺诈。,美国怀俄明州利用区块链技术追踪牛肉信息,12:23,2018-08-16 22:18:30
7,据人民网消息，近来网络募捐信息真假、审核问题开始暴露，一些在线公益平台已经开始做出探索。蚂蚁金服公益运用区块链技术追踪筹款，建立起第三方公示体系区块链资金流公示，为公益机构进行数据统计、项目执行跟踪提供便利。,蚂蚁金服利用区块链技术追踪筹款，建立资金流公示系统,12:19,2018-08-16 22:18:31
8,据 BitNovosti 报道，当地政府新闻办消息，俄罗斯最大的数字货币挖矿中心将于 8 月 20 日在列宁格勒地区的 Kirishi 镇开启。去年 9 月，列宁格勒地区省长 Alexander Drozdenko 谈到了在 Sosnovy Bor 创建一个加密货币矿业科技园的计划。这名官员在今年 2 月索契投资论坛上证实了这一意图。正如早些时候的报道，该地方当局同时致力于在列宁格勒地区构建和实施加密立法和数字货币以及区块链技术的沙盒项目。,俄罗斯最大数字货币采矿中心将在列宁格勒地区开放,12:17,2018-08-16 22:18:31
9,"富达国际 Fidelity Investments 两位前员工周三宣布推出一支区块链投资基金，目前已经募集 3,000 万美元。新基金名为 Castle Island Ventures，两名创始人 Matt Walsh 和 Nic Carter 今年春天分别从富达国际辞职。其中 Walsh 2014 年加盟富达国际后，主要任务之一是帮助富达 CEO Abigail Johnson 和其他高管探索加密货币未来 10 年可能给金融服务带来的变革，之后在富达内部专注于区块链研究。Carter 曾是富达专注区块链和加密货币的分析师。",富达国际两位前员工推出一支区块链投资基金,10:56,2018-08-16 22:18:31
10,以专注区块链 ETF 而闻名的小型基金 Reality Shares 准备推出一支 1 亿美元的对冲基金。这家加州机构在今年稍早推出区块链 ETF 后，其管理资产增加逾 1 亿美元。据熟悉内情的消息人士透露，该机构有了创建新基金的想法，新基金将采取套利交易、风投和直投等综合投资策略。据 Crypto Fund Research 统计数字，目前已经有 366 支主要投资数字资产的基金。,Reality Shares 准备推出一支 1 亿美元对冲基金,10:49,2018-08-16 22:18:31
11,Black Square Capital 对冲基金经理 Chris Yoo 在致客户函中表示：「加密货币市场熊市接近尾声，过去一段时间的市场修正是预料之中的事情，起因是很多区块链项目估值过高、而监管方面存在很多不确定性。」,Black Square Capital 对冲基金经理：加密货币市场熊市接近尾声,10:42,2018-08-16 22:18:31
12,加拿大蒙特利尔银行和安大略省教师退休金计划测试了一项基于区块链技术、以加元计算的债务协议，向着区块链技术在固定收益市场的应用又迈进了一步。据彭博社报道，蒙特利尔银行周三宣布，向安大略省教师退休金计划售出一份金额为 2.5 亿加元、一年期浮动利率存款票据，利用区块链技术备份这一交易。该银行旗下的 BMO Capital Markets 部门将设计一套采用区块链技术的结算系统， 让债务发行方和买方能通过设计原型看到分布式账本系统上的交易。,蒙特利尔银行和安大略省教师退休金计划测试基于区块链技术的债务协议,10:34,2018-08-16 22:18:31
13,两组研究人员披露，英特尔处理器一个名为预测执行的程序中有三个新漏洞。可被利用来窃取存储在个人计算机或个人云端的敏感信息。该缺陷影响了英特尔的软件保护扩展 SGX 技术、操作系统、系统管理模式 SMM 以及管理程序软件。由于许多加密项目依赖于 SGX，包括研究通过 SGX 以实现智能合约、加密货币和认证数据传输的隐私性、安全性，因此该漏洞尤其令人担忧。,漏洞预警：英特尔 CPU 受到新的预测执行缺陷影响，恐波及加密项目,06:28,2018-08-16 22:18:31
14,"据 Coindesk 报道，通讯巨头 Line 周三宣布推出代币风险基金，设在香港的 Unblock Ventures 将是该基金的管理方，而承诺的 1,000 万美元资本由 Line 的另一家子公司 LVC Corporation 提供。该公司表示其目的是投资区块链初创公司，以促进技术发展。该基金是 Line 广泛推进加密货币领域的举措之一，在一个月前 Line 正式启动了其加密货币交易平台 Bitbox，周三该平台宣布已将 TRX 列为首个加密货币项目。",通讯巨头 Line 推出代币风险基金，承诺资本为 1000 万美元,06:27,2018-08-16 22:18:31
15,韩国政府确认将在 2019 年，在八个关键领域投入 44 亿美元预算用于创新增长投资计划，重点关注区块链、大数据和人工智能。财政部表示：政府将专注于推广大数据和人工智能，开发区块链技术以确保数据管理安全，并促进共享经济。,韩国政府向区块链投入 44 亿美元,06:26,2018-08-16 22:18:32
16,德勤近日发布《技术推动颠覆市场，汽车行业中的区块链》报告。报告称：随着汽车保有量和销售模式的改变，未来五年内汽车行业将迎来转折点，届时汽车行业会大规模采用区块链技术。区块链在汽车行业拥有强大的应用基础，包括整车制造商、供应商、经销商、金融机构和终端用户在内的整个行业都存在区块链机遇。,德勤报告：预计未来五年内汽车业将大规模采用区块链技术,06:26,2018-08-16 22:18:32
17,据 CNBC 消息，Ripple 的欧盟战略账户副总裁 Jeremy Light 表示，中国区块链市场绝对是 Ripple 公司的目标，公司希望利用其旨在加速跨境支付的分布式账本技术撬动中国市场。今年早些时候，Ripple 与支付服务提供商连连国际达成协议，旨在为后者在中国、美国和欧洲之间的跨境交易提供动力，目前尚不清楚 Ripple 的技术是否正在由连连国际部署。,Ripple 高管：中国市场绝对是该公司的目标,06:25,2018-08-16 22:18:32
18,"据 CNBC 报道，美国企业家和加密货币投资者 Michael Terpin 周三向其电信服务商 AT＆T 提起了 2.24 亿美元的诉讼，指控其在个人账户数字货币被盗事件中存在重大过失。Terpin 称，2018 年 1 月 7 日，他的 300 万枚代币被「数字身份窃贼」从自己的手机账户中盗走，原因与 AT&T 未妥善管理其电话号码有关。他声称这批代币当时价值 2,380 万美元，并寻求 2 亿美元的惩罚性赔偿。",美国加密货币投资者就数字货币被盗事件起诉 AT＆T,06:24,2018-08-16 22:18:32
19,美国保险服务协会 AAIS 周三宣布与 IBM 区块链平台合作开发新型自动化保险报告工具。新闻稿称，AAIS 的开放式保险数据链系统搭建在开源的区块链解决方案 Hyperledger Fabric 之上，旨在允许保险公司在区块链上存储数据，以便监管机构随时查看，简化监管程序。该平台仍在试运行阶段，但已有保险公司加入。,美国保险服务协会与 IBM 合作开发自动化保险报告工具,06:24,2018-08-16 22:18:32
