,brief,header,pub_time,type,url
0,中国互联网理财指数自2013年创建以来，首次出现下滑拐点。,降幅超23%，《2018年互联网理财指数报告》出炉,3小时前,AI+,https://www.leiphone.com/news/201812/yLMzw2NKZI0O6qqG.html
1,12 月 14 日，XAAC 2018 极飞科技年度大会在广州举办。,极飞科技多款新品齐发，并宣布要进军无人机教育,30分钟前,业界,https://www.leiphone.com/news/201812/w0Wxbh4WaNM8MP5J.html
2,2018年销售额破亿，博云的下一五年目标是十倍增长。,进击的BoCloud博云瞄准下一个五年    花磊详解十倍增长目标,2小时前,业界,https://www.leiphone.com/news/201812/Gj62ltrqxoZhYheb.html
3,目前有这么多做AI芯片的公司，NovuMind和其NovuTensor芯片到底有何不同之处？,专访Novumind吴韧：一发入魂的NovuTensor芯片是如何炼成的,3小时前,业界,https://www.leiphone.com/news/201812/7R2CD7ZP0UJ8bwFG.html
4,会议完整议程，只待你和未来。,「AIoT+智慧城市峰会」完整议程，BATJ齐助阵 | 2018 AIoT+智慧城市峰会,10小时前,业界,https://www.leiphone.com/news/201812/RbBFq7ljiBw1QVgA.html
