,header,pub_time,url
0,深度 | “不作恶”谷歌的人工智能之路,3小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8470-30289874.html
1,南北方比冷大战，智慧供暖何时成型？,3小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8470-30289866.html
2,自动驾驶车是AI平台 交通安全成难题,4小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8600-30289823.html
3,苹果对iPhone禁售令发声明：我们尊重裁定，但下周推软件更新,4小时前,https://ai.ofweek.com/news/2018-12/ART-201714-8440-30289813.html
4,我们采访了10家深圳安防企业，只问了一个问题！,4小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8500-30289812.html
5,华为物联网助力海淀公园打造全球首个AI公园,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8460-30289787.html
6,iPhone用户惊喜：Siri可以控制石头扫地机器人,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8110-30289774.html
7,运满满首届YMM-TECH算法大赛南邮研究生摘冠,5小时前,https://ai.ofweek.com/news/2018-12/ART-201713-8470-30289795.html
8,谷歌在泰国启动医疗项目，用AI筛查糖尿病性眼疾,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8140-30289763.html
9,企业级人工智能平台这一局 联想LeapAI完胜,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8110-30289760.html
10,斯坦福AI指数报告发布，中国AI在哪些方面领先？,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8470-30289752.html
11,万事达卡(Mastercard)使用AI技术打击欺诈的三种方式,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8140-30289745.html
12,计算机行业2019年度投资手册,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8420-30289739.html
13,Postmates打造自动投递机器人 续航可达30英里,5小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8110-30289733.html
14,从0到1，这家智能名片公司是怎么一路高歌猛进的？,8小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8460-30289722.html
15,怒对微信，飞聊来了,8小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8470-30289718.html
16,数字孪生非典型问题：想用不敢用最寂寞,8小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8140-30289713.html
17,高精准的传感器能让机器人“手眼通天”,8小时前,https://ai.ofweek.com/news/2018-12/ART-201714-8140-30289704.html
18,腾讯用AI种黄瓜 4个月拿下国际AI温室种植大赛亚军,8小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8460-30289693.html
19,智能小程序爆发在即！百度十亿基金扶持开发者,9小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8470-30289665.html
20,人工智能可以帮助预测火山爆发,9小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8140-30289661.html
21,罗罗采用人工智能技术来预测遄达发动机问题,9小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8450-30289655.html
22,日本开发无人便利店 人工智能加持零售业,9小时前,https://ai.ofweek.com/news/2018-12/ART-201720-8130-30289651.html
23,无人机配激光炮，高压线以外飘物一击即中,9小时前,https://ai.ofweek.com/news/2018-12/ART-201721-8140-30289674.html
