,header,pub_time,url
0,花呗启动青年成长计划，设5亿教育专项基金降培训门槛,2小时前,https://news.pedaily.cn/201812/438849.shtml
1,阿里巴巴投资智能洗车公司“驿公里”  新零售升级汽车后市场服务,8小时前,https://pe.pedaily.cn/201812/438835.shtml
2,佛山将设立总规模100亿元的“通济基金” 缓解上市公司困境,10小时前,https://pe.pedaily.cn/201812/438826.shtml
3,投资界24h|个人合伙人20%税率缴税；B站收购网易漫画；药明康德在港交所上市,11小时前,https://news.pedaily.cn/201812/438824.shtml
4,支持科技型企业融资，天津推出“科技立项贷”,1天前,https://news.pedaily.cn/201812/438794.shtml
5,传欧尚中国零售业务将全部交由大润发，欧尚称退出中国是谣言,1天前,https://news.pedaily.cn/201812/438792.shtml
6,国务院再出创投企业优惠政策，明确明年起5年内创投个人合伙人税负只减不增,1天前,https://pe.pedaily.cn/201812/438790.shtml
7,拓展ACG内容，B站宣布收购网易漫画,1天前,https://news.pedaily.cn/201812/438789.shtml
8,拼多多12·12消费“强对流”：九小时超去年GMV，助农行动上线微信钱包,1天前,https://news.pedaily.cn/201812/438788.shtml
9,腾讯音乐上市首日市值约229亿美元，年内腾讯系IPO已达14家,1天前,https://pe.pedaily.cn/201812/438780.shtml
10,社交应用平台“恋爱圈”获熊猫资本、珪璋创投近千万天使轮投资,1天前,https://pe.pedaily.cn/201812/438779.shtml
11,海豚供应链与花旗、汇丰等多家中外资银行合作，获数千万美金授信融资,2天前,https://pe.pedaily.cn/201812/438757.shtml
12,少儿编程持续火热，“BrickCode 贝壳编程”获 500 万元天使轮融资,2天前,https://pe.pedaily.cn/201812/438749.shtml
13,AR显示技术公司WaveOptics 完成C1轮2600万美元融资，戈壁创投持续加注,2天前,https://pe.pedaily.cn/201812/438744.shtml
14,翰德集团与华平投资达成战略合作，助力中国不良资产行业发展,2天前,https://pe.pedaily.cn/201812/438743.shtml
15,瑞幸咖啡完成2亿美元B轮融资，投后估值22亿美元,2天前,https://pe.pedaily.cn/201812/438732.shtml
16,锤子科技子公司法人变更， 罗永浩变为温洪喜,2天前,https://news.pedaily.cn/201812/438724.shtml
17,长江国弘顺利完成“国弘纪元基金”募集及设立,2018-12-11 16:27,https://pe.pedaily.cn/201812/438710.shtml
18,"每日一淘完成1.3亿美元融资,元生资本、DCM领投,SIG联合投资",2018-12-11 10:34,https://pe.pedaily.cn/201812/438702.shtml
19,竹间智能B轮3000万美元融资，打造业内领先的对话机器人及多模态情感计算平台,2018-12-11 09:49,https://pe.pedaily.cn/201812/438699.shtml
