,brief,classes_name,header,news_url,pubtime
0,国内机器人公司优必选今日宣布，前通用电气全球研究中心机器人科学家谭欢博士出任优必选副总裁、北美研发中心负责人。 优必选表示，谭欢博士将带领北美技术团队研发新的服务机器人产品，并深度参与优必选产品的国际化落地，尤其是产品在北美市场的本地化工作，包括克鲁泽（Cruzr）、悟空机器人,人工智能,机器人专家谭欢加盟优必选，任北美研发中心负责人,http://www.aihot.net/robot/12195.html,2018-10-30 18:51:21
1,▲恩智浦微控制器业务线全球资深产品经理曾劲涛 上周五，恩智浦（NXP）在北京举办了一场产品介绍会，由恩智浦微控制器业务线全球资深产品经理曾劲涛对恩智浦于不久前推出的LPC5500微控制器和i.MX RT600跨界处理器进行了重点介绍和展示。 首先，曾劲涛对恩智浦边缘智能环境(eIQ)进行了介绍,人工智能,恩智浦推出LPC5500微控制器和i.MX RT600跨界处理,http://www.aihot.net/hardware/12194.html,2018-10-30 18:51:21
2,IT之家10月28日消息 AMD近期悄然更新了RX 580 2048sp版本，可以理解为RX 570的提频版，价格在1299-1399元附近。根据博板堂的渠道消息，AMD又将推出一款新品，RX590 预计在11月15日发布。 根据博板堂的消息，AMD580Ultimate确定的正式名称叫RX590，就是12nm的588，频率拉的比较高。 IT之家之前,人工智能,AMD RX 590或将于11月15日发布，12nm工艺,http://www.aihot.net/hardware/12193.html,2018-10-30 18:51:21
3,今天，云从科技宣布在语音识别技术上取得突破，在全球最大的开源语音识别数据集Librispeech上刷新了世界纪录，错词率（Worderrorrate，WER）降到了2.97%，较之前提升了25%，超过微软、谷歌、IBM、阿里、百度及约翰霍普金斯大学等企业及高校。 云从科技CEO周曦表示，云从科技在今年先后发布3D结构光,人工智能,云从科技宣布在开源语音识别数据集上刷新世界纪,http://www.aihot.net/other/cloud/12192.html,2018-10-30 18:51:21
4,基金三季报披露完毕。 日前，天弘基金发布旗下天弘余额宝货币市场基金2018年三季度报告显示，天弘余额宝在三季度的总申购份额约为1.74万亿份，总赎回则达到约1.87万亿份，这也使得其规模在三季度从期初的1.45万亿份降至期末的1.32万亿份，减少了1301亿元。 对于规模减少的原因，不少业内人,人工智能,余额宝三季度规模减少1300亿，蚂蚁金服:主动分流结,http://www.aihot.net/other/finance/12191.html,2018-10-30 18:51:21
5,10月29日消息，在上周五发布mate 20手机的时候，华为消费者业务CEO余承东在接受网易科技等媒体采访时表示，在拍照技术方面，Mate 20没放在DxO评分上，是因为怕放上去以后对行业打击比较大，会成为众矢之的。 余承东称，去年的保时捷版就没放上去，（如果放上去）今年Mate 20系列是四款机，加上保时捷两,人工智能,余承东：不公开mate20拍照数据是怕刷榜打击友商,http://www.aihot.net/iot/12189.html,2018-10-30 18:51:21
6,谷歌母公司Alphabet旗下创新城市部门Sidewalk Labs目前在信息隐私问题上陷入了困境。 他们失去了数据信托首席专家和顾问安&middot;卡瓦吉安（Ann Cavoukian），该机构将批准和管理多伦多概念智能社区Quayside内部的信息收集。安大略省的前信息和隐私专员Cavoukian不同意当前的计划，因为,人工智能,谷歌智慧城市之困：隐私问题成为跨不过去的坎,http://www.aihot.net/hardware/12188.html,2018-10-30 18:51:21
7,10月29日消息，据印度媒体报道，2018财年，印度消费者购买前四大中国品牌生产的智能手机的花费逾5000亿卢比（约合474亿元人民币），几乎是上一财年的两倍。分析师和业内高管表示，随着中国品牌在印度智能手机市场占据主导地位，这种趋势将继续下去。 这前四大中国品牌公司&mdash;&mdash;小米、OP,人工智能,印度人2018财年购买中国品牌手机的支出达474亿元,http://www.aihot.net/iot/12187.html,2018-10-30 18:51:21
8,10月29日消息，据国外媒体报道，当地时间周日IBM宣布将以340亿美元全资收购Linux开源软件公司红帽（Red Hat），这对于两家公司来说意义重大，对于整个开源Linux生态系统来说更是影响深远。 根据两家公司发表的一份联合声明，IBM将以每股190美元的价格收购红帽。收购完成后，红帽将被并入IBM的混,人工智能,美媒点评IBM收购红帽：对Linux开源世界影响巨大,http://www.aihot.net/application/12186.html,2018-10-30 18:51:21
9,10月29日消息，据路透社报道，IBM周日宣布以340亿美元收购开源软件公司红帽（Red Hat），寻求硬件及咨询业务的多元化，增加高利润产品和服务。此次交易是IBM迄今最大一次并购。 在面临软件销售低迷和主机服务器需求下降时，IBM首席执行官罗睿兰一直在扩大基于订阅的软件产品。她表示：收购红帽是,人工智能,IBM收购Linux开源软件公司红帽，价格340亿美元,http://www.aihot.net/application/12185.html,2018-10-30 18:51:21
