,brief,header,pubtime,savetime
0,据  Coin ATM Radar 的统计，过去一年中，在全球各地设立的加密货币 ATM 机数量增长了 3 倍多，从去年 11 月的 860 台左右，增长至目前的 4000 台左右。目前平均每天有 3 台比特币 ATM 面世。其中，比特币、莱特币和以太币是获得最广泛支持的加密货币。据 Coin ATM Radar 统计，截止当前，香港有 31 台比特币 ATM 机，台湾有 7 台比特币 ATM 机。,加密货币 ATM 机数量一年内增长 3 倍有余，比特币、莱特币和以太币获得最广泛支持,10:28,2018-11-17 20:03:15
1,"据 PeckShield 提供的数据，BCH ABC 公链今日凌晨出现 3 笔大额转账，总计超 5,000 万美元。凌晨 02:41，开头为 qqfq7hhtp 的地址向开头为 qzemyvck5 的地址转帐 48,009 枚BCH；凌晨 03:13，开头为 qzdr8muc9 的地址收到开头为 qr8e7zcay 等地址转 80,000 枚 BCH，同一时间，该地址还收到一笔 27,696 枚BCH。以当前价值估算，这 3 笔大额转账总价值约为 5700 万美元。PeckShield 监测到的前两笔大额转账在 BCH SV 公链上存在同样交易，并且第一笔的交易哈希值完全一样，存在被重放嫌疑。",BCH 凌晨出现 3 笔大额转账，价值过亿元 BCH 疑似被重放,09:15,2018-11-17 20:03:15
2,美国证券交易委员会（SEC）发表声明总结了最近进行的一系列针对加密货币发行及交易平台的执法行动，重申了在该领域的立场。SEC 表示，鼓励有益于投资者和资本市场的技术创新，但是无论证券是通过认证表格还是使用像区块链这样的新技术发行，市场参与者在技术创新中必须遵守已确立的证券法规体系。SEC 再次阐明了在 ICO 和各类加密资产交易平台问题上的核心立场，链闻 ChainNews 总结如下：1. 以投资合约发行和销售的数字资产，无论在交易过程中被冠以何种名称或使用何种技术，均属于证券；2. 持有数字资产证券或提供相关投资咨询服务的投资机构，必须依法注册，并且承担受监管和受托人责任，今年 9 月，一家名为 Crypto Asset Management 的加州对冲基金以投资数字资产为主要业务，但是却未能合规注册为投资公司，遂被 SEC 处罚；3. 任何提供数字资产证券交易的平台必须向 SEC 进行注册，或申请豁免注册，任何为证券提供买卖双方撮合交易的平台，无论使用何种技术，必须确定是否属于联邦法律所认定的交易所，然后进行相应的注册。,SEC 发出声明再次阐明对 ICO、加密资产交易所和二级市场交易平台的立场,07:02,2018-11-17 20:03:15
3,美国证券交易委员会（SEC）宣布处罚 Airfox 和 Paragon，称其 ICO 活动为未注册的证券发行，要求两家公司将发行的代币注册为证券，向投资者退款；SEC 还向两家公司处以 25 万美元的罚款。Airfox 和 Paragon 已经就此与 SEC 达成和解。,SEC 处罚 Airfox 和 Paragon 的 ICO 活动，称其为未注册的证券发行,06:30,2018-11-17 20:03:15
4,据华尔街日报报道，美国证券交易委员会（SEC）正在调查基于区块链的借贷平台 SALT Lending，以确定该公司的 ICO 是否属于未注册的证券发行，以及调查融资的使用情况。报道同时提及，ShapeShift CEO Erik Voorhees 也因和 SALT Lending 的关系而接受调查。Erik Voorhees 曾在 2014 年接受过 SEC 的处罚。在 SALT Lending 进行 ICO 时，他在宣传和推介材料中被被称为该公司的董事，但是 SALT Lending 之后又说他只是该公司早期贡献者，并无正式职位。华尔街日报的报道发出后，Erik Voorhees 发贴称该文章「不准确且存在误导信息」。,华尔街日报：区块链借贷平台 SALT Lending 遭 SEC 调查,06:16,2018-11-17 20:03:15
5,据 CNBC 报道，Fundstrat Global Advisors 联合创始人、著名比特币走势分析师 Tom Lee 下调比特币目标价位，将今年年底的比特币目标价从 2.5 万美元下调至 1.5 万美元。,Fundstrat Global 分析师 Tom Lee 将今年年底的比特币目标价下调至 1.5 万美元,05:31,2018-11-17 20:03:15
6,区块链游戏初创公司 Blockade Games 完成 83 万美元的种子轮融资，用于开发基于区块链的角色扮演类游戏 Neon District。Blockade Games 此轮估值 1300 万美元，此轮的投资人为 BlockTower Capital 和 Horizon Digital。Blockade Games 的创始人为比特币社区内人气颇高的艺术家 Marguerite deCourcelle，她热衷于创作在数字绘画中隐藏比特币的藏宝图游戏。2015年，她绘制了轰动一时的「神秘的中本聪」一画，画中包含了可解锁出比特币密钥的藏宝图。,知名比特币藏宝图创作者获得种子轮融资，开发区块链角色扮演游戏,05:13,2018-11-17 20:03:16
7,TokenGazer 认为 GLASS 项目的商业模式较为独特，目前市场上暂未有竞争对手，因此具有先发优势，能给整个数字货币交易所提供很好的流动性，并给未注册证券牌照交易所的证券型代币提供撮合服务。然而项目进度较缓慢，技术细节以及完成程度有待验证，Token 募集信息暂未披露，需密切关注项目后续进展。,观点：GLASS 成为交易所的流动池和结算网络，性能有待验证,21:57,2018-11-17 20:03:16
8,据 Tokenview.com 数据显示，BCH 近 24 小时内链上交易额为 3225395.74 BCH，同比 24 小时前上升 15.95%，BCH 近 24 小时内链上交易数为 377699 笔，同比 24 小时前上升 883.72%。,BCH 近 24 小时内链上交易笔数上升 883.72%,17:22,2018-11-17 20:03:16
9,据 coin.dance 数据，BCH 昨晚分叉，截至发稿目前，BCH ABC 算力为 8963P，BCH SV 链算力为 3520P，BCH ABC 算力是 BCH SV 算力的 2.5 倍，BCH ABC 链已领先 BCH SV 链53个区块，BCH ABC 挖矿难度是 SV 的 2 倍以上。,BCH ABC 算力是 BCH SV 的 2.5 倍,16:00,2018-11-17 20:03:16
