,header,pub_time,url
0,比特币现金BCH即将面临一次风险巨大的分叉,2018-11-06 19:30,https://www.8btc.com/article/304734
1,BTCC矿池停止运营，曾占据15%算力的国池怎么就出局了？,2018-11-06 18:30,https://www.8btc.com/article/304867
2,比特币矿池简史，超17家矿池已停止运营,2018-11-06 18:29,https://www.8btc.com/article/304856
3,以太坊看不起EOS，门罗看不起以太坊，有一种魔咒叫币圈鄙视链,2018-11-06 17:44,https://www.8btc.com/article/304819
4,Mike Novogratz：比特币将2019年Q2冲20000刀,2018-11-06 17:42,https://www.8btc.com/article/304850
5,CFPB前高级官员全丹：美国监管视角下的STO何去何从？,2018-11-06 17:13,https://www.8btc.com/article/304800
6,智能合约技术研究与EVM实测分析,2018-11-06 16:48,https://www.8btc.com/article/304722
7,ST（Security Token）——证券Token化的金融实践,2018-11-06 16:31,https://www.8btc.com/article/304599
8,服务未来社群：AI对去中心化社群的价值是什么,2018-11-06 16:23,https://www.8btc.com/article/304657
9,认知未来的两个模型：信任经济曲线与自主分布网格组织,2018-11-06 16:22,https://www.8btc.com/article/304434
10,BCH分叉引发矿商积极涌入，GMO 10月份 BCH挖矿业务大幅增长,2018-11-06 16:18,https://www.8btc.com/article/304597
11,WebAssembly和区块链计算的未来,2018-11-06 16:03,https://www.8btc.com/article/303970
12,央行工作论文：区块链能做什么，不能做什么？,2018-11-06 15:47,https://www.8btc.com/article/304660
13,Coinbase IPO欲言又止，数字交易所去向何方？,2018-11-06 15:37,https://www.8btc.com/article/304600
14,比特币现金硬分叉观察：BCH基础设施提供商公布应急计划,2018-11-06 15:14,https://www.8btc.com/article/304486
15,加密货币太复杂？他把比特币白皮书变成了一部漫画,2018-11-06 14:55,https://www.8btc.com/article/304622
16,Asicboost优化技术稳步入矿业，BCH网络63个Asicboost区块被挖出,2018-11-06 14:54,https://www.8btc.com/article/304013
17,前联邦检察官：加密货币已被视为支付的替代方案,2018-11-06 13:43,https://www.8btc.com/article/304568
18,构建强大密码货币社区的三要素，看中本聪和Vitalik是如何做的,2018-11-06 13:37,https://www.8btc.com/article/304465
19,美国中期选举明日开启，加密市场要将横盘进行到底？,2018-11-06 12:38,https://www.8btc.com/article/304545
