,brief,header,pub_time,type,url
0,变革已经成为安防行业的时代主题。,2018 北京安博会，看什么？,9小时前,AI+,https://www.leiphone.com/news/201810/KpjdyrRBURF4XcBc.html
1,10月12日，分布式基础设施网络Spacebook（香港）对外宣布，Spacebook 测试网络1.0版本于香港时间0:00 正式上线。,Spacebook 测试网络10月12日正式上线，全球10个国家成立运营中心,11小时前,AI+,https://www.leiphone.com/news/201810/bxBHCAh8Xx794q2f.html
2,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
3,全国100%的副省级城市、89%的地级以上城市、49%的县级城市已经开展智慧城市建设，累计参与的地市级城市数量达到300余个，规划投资达到3万亿元,智慧城市累计规划投资达3万亿，《智慧城市 信息技术运营指南》国家标准发布 | 智慧城市周报,2小时前,业界,https://www.leiphone.com/news/201810/3ivBEnivds942e3m.html
4,美光科技本周宣布了一项价值1亿美元的风险投资基金，专注于人工智能，消息公布之后美光的股价开始上涨。,美光科技1亿美元押注人工智能，AI芯片战已蔓延至存储领域？,2小时前,业界,https://www.leiphone.com/news/201810/aRFq8Suc3VKpE3tZ.html
5,Qualcomm一直致力于推动全球5G NR商用智能手机的发布，2019年将是令人兴奋的一年。,无线边缘变革实现5G全部潜能,2小时前,业界,https://www.leiphone.com/news/201810/e7DnyvAn80mQzfzK.html
6,华为这样的重磅玩家All in AI让本来就热闹的AI赛道的竞争变得更加激烈，不过在芯片层面最先受伤的可能是华为海思如今的AI合作伙伴寒武纪。,华为力推自研AI芯片，还记得大明湖畔的寒武纪吗？,6小时前,业界,https://www.leiphone.com/news/201810/sU9XwdlWPO1r0bWN.html
7,二者的合并可以说是更好地完成了阿里巴巴从线上到线下的消费衔接。,饿了么与口碑正式合并了！,6小时前,业界,https://www.leiphone.com/news/201810/PjQQWxYuJ3rxr3Px.html
8,Facebook正式将其3D照片功能带到了iPhone手机上。,用iPhone一秒拍摄3D照片，Facebook这项技术厉害了,6小时前,业界,https://www.leiphone.com/news/201810/3jebqEZnCGWfGPZ6.html
9,Atlas这次秀出的技能分为两段，跨越障碍+三级跳。,跑步越障+三级跳：波士顿动力机器人再秀新技能,7小时前,业界,https://www.leiphone.com/news/201810/IoNH3hbBGzBLtT24.html
10,雷锋早报来了！,腾讯股价创史上最长连跌记录，新一代苹果地图数据采集车现身，联想重回PC市场第一宝座 | 雷锋早报,12小时前,业界,https://www.leiphone.com/news/201810/mIm44uw6fCStzIn4.html
11,FP5295G2把握住了AI“最后一公里”的物理环境和物理条件,金融业转型升级难逃“AI化”   FP5295G2服务器如何“雪中送炭”？,12小时前,业界,https://www.leiphone.com/news/201810/yIHP4FYf5GxhLL0G.html
