,brief,header,news_url,pubtime,savetime
0,而在加强消费领域大数据应用方面，《方案》提出，依托国家数据共享交换平台体系等基础设施资源，加快推动各部门、各地区消费领域大数据应用并实现互联互通。推动社会组织、电 ...,国务院：加强电商消费维权 促进消费领域大数据应用,http://tech.sina.com.cn/it/2018-10-12/doc-ihmhafir0599554.shtml,大数据,2018-10-12 20:04:26
1,来源：央视新闻客户端 北京时间10月4日，华大基因在国际顶级学术期刊《细胞》上发表了迄今为止最大规模的中国人基因组学大数据研究成果。这是由中国科学家主导，历时两年，对14余万 ...,华大基因：中国人基因组学大数据研究成果发布,http://tech.sina.com.cn/d/f/2018-10-11/doc-ifxeuwws3002049.shtml,大,2018-10-12 20:04:26
2,通信世界网消息（CWW）近日，知名作家王小山在微博连发两条博文炮轰飞猪旅行App利用大数据杀熟：“一张机票，查1104，到订的界面变成2322，过几个小时变成2796，在别家订了，1300，返回 ...,飞猪成“大猪蹄子”，今天，你被“大数据杀熟”了吗？,http://tech.sina.com.cn/roll/2018-10-11/doc-ifxeuwws3008962.shtml,大,2018-10-12 20:04:26
3,解决部门信息“孤岛”和信息“烟囱”问题，加快推进“互联网+电子政务”，建设“数字山东”，在山东省政府办公厅大数据和电子政务等管理职责的基础上，组建省大数据局，作为省政府 ...,山东将组建省大数据局 为省政府直属机构,http://tech.sina.com.cn/it/2018-10-09/doc-ifxeuwws2499941.shtml,大数据,2018-10-12 20:04:26
4,但近一两年的快速发展，对传统不良资产行业，尤其是中小微和零售不良的清收，已有较大突破。大数据、人工智能提效催收 大数据、人工智能、区块链等当下最热的金融科技手段，在不 ...,两万亿不良资产待处置 大数据、人工智能可提效催收,http://tech.sina.com.cn/i/2018-10-10/doc-ifxeuwws2606720.shtml,大数据,2018-10-12 20:04:27
5,今年恰逢黄金周制度施行20年，1999年国庆第一个“黄金周”时，全国出游人数达2800万人次，旅游综合收入141亿元，而如今这一组数字已经发生了爆炸式增长。随着国民收入水平的提高，黄金 ...,国庆黄金周20年，大数据告诉你中国消费真相,http://tech.sina.com.cn/roll/2018-10-10/doc-ifxeuwws2784321.shtml,大数据,2018-10-12 20:04:27
6,就上黑猫】相关新闻：作家王小山炮轰飞猪杀熟：别家卖2500 飞猪卖我3211 飞猪否认利用大数据杀熟：从来没有 也永远不会 原标题：飞猪回应质疑否认“大数据杀熟”，消费者该如何 ...,飞猪否认“大数据杀熟” 消费者该如何就杀熟维权？,http://tech.sina.com.cn/i/2018-10-08/doc-ihkvrhpt1684448.shtml,大数据,2018-10-12 20:04:27
7,毕业之后的去向无疑也是大家最为关注的点。此前，网上公布了美国137所大学专业的就业大数据分析，希望在毕业后找到一份心仪工作的学生们，值得参考一下！最受留学生青睐的专业方向 ...,IB出预估分：美国137所大学专业就业大数据分析,http://edu.sina.com.cn/ischool/2018-10-08/doc-ifxeuwws1944910.shtml,大,2018-10-12 20:04:27
8,近日，二手车拍卖平台天天拍车发布了《9月个人卖车大数据报告》。该报告统计了本月主要城市二手车的流向，以及不同品牌二手车的跨区域溢价。通过二手车拍卖平台，有越来越多的车 ...,9月二手车大数据：跨区域溢价成为关键词,http://auto.sina.com.cn/zz/7x24/2018-10-08/detail-ifxeuwws2140810.shtml,大数据,2018-10-12 20:04:27
9,记者日前从安徽省蚌埠市铁路公安处了解到，当地警方运用大数据分析严查国庆“网络黄牛”，截至目前，共破获各类倒票案件44起，抓获涉嫌倒票人员61人，共查获各类票证187张。今年9 ...,大数据助力安徽铁警严查国庆“网络黄牛”,http://tech.sina.com.cn/i/2018-10-06/doc-ifxeuwws1516398.shtml,大数据,2018-10-12 20:04:27
