,brief,header,news_url,pubtime,savetime
0,2018年9月12日下午，广西贵港市港北区人民法院举办广西脱贫攻坚大数据平台应用暨脱贫攻坚业务知识培训班，此次培训班由该院副院长谭虹主持，挂点中里乡山鹤村的第一书记谭菠受邀到会 ...,图集：港北法院举办脱贫攻坚大数据平台业务培训班,http://news.sina.com.cn/sf/publicity/fy/2018-09-14/doc-ihkahyhw8591469.shtml,大数据,2018-09-14 21:07:26
1,中新网9月14日电 近日，中国旅游研究院与携程旗下出境旅游运营服务商华远国旅联合发布了《2018上半年中欧旅游大数据报告》。中欧旅游年，欧洲越来越受到中国游客的青睐。报告根据我 ...,2018中欧旅游大数据报告：二三线游客倍增,http://finance.sina.com.cn/roll/2018-09-14/doc-ihkahyhw9814081.shtml,大数据,2018-09-14 21:07:26
2,指出，下一步，财政部将继续认真贯彻党中央、国务院决策部署，坚决打赢防范化解风险攻坚战。采用大数据手段创新管理方式。充分利用大数据、人工智能、云计算、区块链等信息技术 ...,财政部表态！将利用区块链建立大数据监管服务平台,http://finance.sina.com.cn/blockchain/roll/2018-09-14/doc-ifxeuwwr4303037.shtml,大数据,2018-09-14 21:07:26
3,原标题：2018物博会·中国大数据创新发展高峰论坛在无锡召开 经济日报-中国经济网无锡9月14日讯（记者李冬阳）9月14日，“2018世界物联网博览会·中国大数据创新发展高峰论坛”在无锡市 ...,2018物博会·中国大数据创新发展高峰论坛在无锡召开,http://news.sina.com.cn/c/2018-09-14/doc-ifxeuwwr4365596.shtml,大数据,2018-09-14 21:07:26
4,中国应急涨超8%。消息面上，中美要坐下来聊一聊了。商务部已确认接到了美方磋商邀请。三大数据值得投资者关注 接下来大盘会怎么走？三大数据值得关注。市场持续磨底，一再考研 ...,A股要变天？接下来大盘怎么走 关注三大数据,http://finance.sina.com.cn/stock/marketresearch/2018-09-14/doc-ihiixyeu7381310.shtml,大,2018-09-14 21:07:26
5,引入大数据风控等管理小微贷款风险 招行多举措化解“畏贷”心理 本报北京9月13日讯 记者郭子源报道：“小微企业融资难的原因之一，在于商业银行对小微企业的风险识别难以把控，一 ...,招行多举措化解畏贷心理 引入大数据风控等管理风险,http://finance.sina.com.cn/roll/2018-09-14/doc-ihiixzkm8567535.shtml,大数据,2018-09-14 21:07:26
6,国家卫生健康委员会日前发布《国家健康医疗大数据标准、安全和服务管理办法（试行）》，加强健康医疗大数据管理，明确由国家卫健委负责建立健康医疗大数据开放共享机制。健康 ...,医疗大数据新规发布：国家卫健委负责建立医疗大数据开放共享机制,http://finance.sina.com.cn/roll/2018-09-14/doc-ihkahyhw9620982.shtml,大数据,2018-09-14 21:07:27
7,人们不仅对这所历史悠久的顶尖学府怀抱着敬畏之心，更对能够成功进入这所大学深造的顶尖学霸们充满了好奇，他们是否在各方面都与众不同？日前，哈佛大学已经迎来了2022届的“小鲜肉 ...,官方调查为你解读哈佛大学新生大数据,http://edu.sina.com.cn/zl/2018-09-14/doc-ihkahyhw8824520.shtml,大,2018-09-14 21:07:27
8,原标题：2018中国大数据创新发展高峰论坛在锡举办？扬子晚报网9月14日讯（记者 张建波）9月14日，“2018世界物联网博览会”重要子论坛——“2018中国大数据创新发展高峰论坛”在无锡举行 ...,2018中国大数据创新发展高峰论坛在锡举办,http://news.sina.com.cn/o/2018-09-14/doc-ifxeuwwr4292141.shtml,大数据,2018-09-14 21:07:27
9,原标题：2018上半年出境游大数据：90后首超70后加入旅游主力军团 经济日报-中国经济网无锡9月14日讯（记者 魏金金）2018世界物联网博览会召开之际，在9月14日召开的“智慧旅游发展峰会 ...,2018上半年出境游大数据：90后首超70后加入旅游主力军团,http://news.sina.com.cn/c/2018-09-14/doc-ifxeuwwr4290237.shtml,大数据,2018-09-14 21:07:27
