,brief,header,pubtime,savetime
0,TokenInsight 今日发布 Ripple 项目的评级报告。Ripple 是一家致力于解决跨境支付过程中低效、高成本问题的金融科技公司，业务推进依赖的高执行力中心化管理与通证发行的去中心化理念是 Ripple 面临的最大争议之一。此外，Ripple 需要和超过 40 年历史的 SWIFT 竞争，后者在全球范围内有上万家合作机构，其优势更在于关系网，而不仅是技术。 TokenInsight 认为，Ripple 是一家优秀的公司，但就目前来看，XRP 通证的升值空间十分有限。综上，TokenInsight 对 Ripple 给出的评级为 BB，展望稳定。,TokenInsight 发布 Ripple 评级：BB，公司优质但其通证升值空间有限,17:47,2018-10-26 20:13:58
1,车辆数据共享与交易区块链项目 AMO 宣布与中国区块链项目 CarBlock 合作，更智能的收集车辆数据。通过将CarBlock的插件跟踪设备技术（也称为 OBD II）与输入到 AMO 基金会的区块链生态系统相结合，每个车主不仅能够为车辆数据区块链生态系统做出贡献，还能从中获得收益。,AMO 与 CarBlock 签署合同以扩大车辆数据收集,17:13,2018-10-26 20:13:58
2,据财经网，支付宝全球金融安全创新中心在成都揭牌成立。在金融安全方面，「蚂蚁风险大脑」是蚂蚁金服结合自身 10 多年的风险攻防经验，利用人工智能、云计算、区块链技术，用科技防范金融风险。它探索性地引入区块链技术，将相关金融行为「上链」，多方同时在线并形成协同机制，对风险进行准实时识别和穿透式监管。,支付宝用区块链等技术防范金融风险,14:37,2018-10-26 20:13:58
3,Zcash 将于 10月 29 日进行整体 Sapling 协议升级，据悉此次升级将关注用户隐私。 Zcash 首席技术官 Nathan Wilcoxk 说：「Sapling 协议将允许完成屏蔽传输，内存减少约 100 倍，速度可能提高 6 倍或更多。」,Zcash 下一次升级将转账速度提升 6 倍,14:25,2018-10-26 20:13:58
4,Erste Group 和 Asfinag 通过区块链平台在欧洲进行了首个端到端数字债券融资工具发行。Erste Group 是中欧和东欧最大的金融服务提供商之一；Asfinag 是一家为奥地利高速公路计划、融资、建造、维护和收取通行费的奥地利国有公司。,Erste Group 和 Asfinag 通过区块链平台完成欧洲首个端到端数字债券融资工具发行,11:24,2018-10-26 20:13:59
5,据星球日报消息，接近比特大陆核心投资人表示，关于比特大陆提供虚假融资信息纯属无稽之谈，也完全没有必要。事实是因为太火爆，各机构为售卖份额，自己制作 PPT 并放入了网络上的不实信息。 早前 CoinDesk 调查发现，参与比特大陆上市前融资轮的投资者收到关于比特大陆得到三家知名机构资助信息的错误暗示。若是比特大陆所为，可能面临监管追责。,中国媒体报道：比特大陆不实融资信息系其他机构为售卖份额所为,08:43,2018-10-26 20:13:59
6,万事达卡申请新专利，描述了一个能同时跟踪加密资产和法定资产的系统，将基于区块链的资产与法币存款账户进行对接。,万事达卡申请新专利，将加密资产与法币存款账户对接,08:00,2018-10-26 20:13:59
7,此前加入加密货币交易所 IronX 并担任咨询职务的英国议会议员 Stephen Hammond 宣布退出，他担心在 IronX 担任职位可能会被视为存在利益冲突。Hammond 仅在该公司担任职务四天。,英国议会议员退出加密交易所 IronX,06:26,2018-10-26 20:13:59
8,加密货币软件提供商 Blockchain 宣布推出一款专门用于该公司旗舰钱包的定制硬件钱包，名为 Lockbox。,加密货币软件提供商 Blockchain 推出硬件钱包,06:25,2018-10-26 20:13:59
9,瑞典公司 Trijo 今天宣布他们成为首批获得爱沙尼亚加密货币交易许可证的公司之一。此外，该许可证将使 Trijo 能够在整个欧盟作为受监管的加密货币交易所运营。根据 Trijo 的首席执行官 TotteLfstrm 的说法，该交易所有望在明年年初推出，目前仍有一些工作要做以符合爱沙尼亚许可证的要求。此外，Trijo 打算在进入更广泛的欧盟市场之前在瑞典推出交易所。,Trijo 获得在欧盟运营加密交易所的许可证,04:18,2018-10-26 20:13:59
