,brief,header,news_url,pubtime,savetime
0,Netflix的高管一开始为此颇为头疼，但最后还是意识到一点：不能“唯数据论”。因此他们开始与传统的影视业者加强交流，甚至为此更换高管。以下为文章全文：Netflix的高管有段时间感到备 ...,大数据为王还是尊重影视圈？Netflix最终选择好莱坞,http://tech.sina.com.cn/i/2018-11-12/doc-ihmutuea9479322.shtml,大数据,2018-11-13 20:02:47
1,针对社会普遍关注的综合素质评价；为了进一步完善学生综合素质评价，目前清华附中已经形成了一套完善的基于大数据的综合素质培养体系。清华大学附属中学校长王殿军 国际教育不等 ...,清华附中校长王殿军：基于大数据的综合素质评价,http://edu.sina.com.cn/ischool/2018-11-12/doc-ihmutuea9421932.shtml,大数据,2018-11-13 20:02:48
2,,一张图看懂2018年双十一大数据：下单金额广东最多,http://tech.sina.com.cn/i/2018-11-12/doc-ihnstwwq7700478.shtml,大数据,2018-11-13 20:02:48
3,近日，工业和信息化部办公厅下发《工业和信息化部办公厅关于公布2018年大数据产业发展试点示范项目的通知》，在800多个申报项目中，曙光申报的面向智能制造的工业大数据示范应用平台 ...,2018年大数据产业发展试点示范项目公布 曙光入选,http://tech.sina.com.cn/roll/2018-11-10/doc-ihmutuea8738551.shtml,大数据,2018-11-13 20:02:48
4,近日，58同城发布了针对设计师、程序员、快递员、客服四大行业的“双十一”热门行业大数据，其中设计师的薪酬最高，上海设计师薪资达到9311元；程序员企业需求增长最快，成都10月程序 ...,58同城发布2018“双十一”热门行业大数据：北京快递员平均薪资超7千元,http://tech.sina.com.cn/roll/2018-11-08/doc-ihnprhzw3990320.shtml,大数据,2018-11-13 20:02:48
5,近期，《创业时代》《正阳门下小女人》《风再起时》等展现改革开放的创业题材电视剧正在各大卫视热播。今年是改革开放40周年，很多展现改革大潮的题材剧集中播出。新京报记者统计近 ...,创业剧为何这么多，大数据让你明白玄机,http://tech.sina.com.cn/roll/2018-11-11/doc-ihnprhzx0545402.shtml,大数据,2018-11-13 20:02:48
6,随之将10月推向了回收高峰期。爱回收大数据研究院分析了热门新机发布后的回收数据，展示出安卓与苹果用户迥然相异的回收习惯。安卓回收增速碾压苹果（IOS）根据爱回收大数据研究 ...,爱回收大数据:安卓VS苹果 回收习惯大不同,http://tech.sina.com.cn/mobile/n/n/2018-11-07/doc-ihmutuea7893235.shtml,大数据,2018-11-13 20:02:48
7,女演员的婚育和年龄增长是否影响其事业发展？新京报记者统计近年已生孩子的15位女演员在生育前后的作品数量，探究生育对女演员的职业发展影响。新京报制图/许骁 7人生育后明显戏量减 ...,女演员生了孩子没戏拍？大数据告诉你答案,http://ent.sina.com.cn/v/m/2018-11-05/doc-ihmutuea6982766.shtml,大数据,2018-11-13 20:02:48
