,brief,header,pubtime,savetime
0,由亚洲区块链风险投资公司 Sora Ventures 举办的区块链峰会 Sora Summit 今日在澳门举办，Kucoin Fund 副总裁 Johnny Lye 表示个人投资者交易下降量与交易所交易下降量不成等比，机构型用户将是交易所未来重点培养的一个方向，未来更多个人投资者将会把个人资产托管给机构型用户。,Kucoin Fund 副总裁：未来个人投资者将把资产托管给机构型用户,17:39,2018-11-13 20:03:46
1,亚洲区块链风险投资公司 Sora Ventures 举办的区块链峰会 Sora Summit 今日在澳门举办，安永中国合伙人 Darwin Tang 在峰会上表示：2019 年区块链技术的发展将由监管机构牵头推动，不断促进区块链的发展，这种发展模式也可以解决区块链技术发展中的隐私、安全和合规问题。另一方面，区块链技术本身的发展会迎合其他新技术，比如物联网，尤其明年到后年 5G 技术的推广，包括区块链技术本身需要先天适合的场景、点对点的交易，所以区块链与 5G 结合、物联网结合会有很多应用的个案出现。,安永中国合伙人：2019 年将由监管机构牵头推动区块链技术发展,16:52,2018-11-13 20:03:46
2,亚洲区块链风险投资公司 Sora Ventures 举办的区块链峰会 Sora Summit 今日在澳门举办，普华永道中国合伙人 CYCheung 在公链与联盟链的讨论中表示，对于传统企业来说，公链对于参与者没有设置任何限制，企业仍然有隐私与安全方面的顾虑。联盟链就像是中间站，传统公司通过联盟链了解、进入、信任区块链，并可以继续向前发展。,普华永道中国合伙人 CYCheung：联盟链是传统公司加入区块链世界的中间站,15:03,2018-11-13 20:03:46
3,为应对 BCH 硬分叉，BTC.com 将在挖矿服务、收益发放及重放保护三个方面作出应对措施：1.分叉期间 BTC.com 矿池比特币现金挖矿将使用 BitcoinABC 客户端，挖矿服务正常运行；2.自北京时间 11 月 16 日早 8:00 起，矿池暂停比特币现金挖矿收益发放，所有收益暂存在矿池端，待主网稳定后恢复发放，具体时间会另行通知；3.由于硬分叉后新出现的与比特币现金不兼容版本 BitcoinSV 没有添加重放保护，为避免用户在分叉后的交易中资产遭受损失，BTC.com 会对在矿池中的比特币现金进行保护。,BTC.com 矿池公布 BCH 硬分叉的应对措施,14:52,2018-11-13 20:03:46
4,近日，有媒体称即将在香港上市的矿机企业比特大陆多名董事退出。据新浪科技接近比特大陆的证券权威人士表示，该报道系误读。此外，比特大陆拟上市主体为「比特大陆科技控股有限公司」，而调整董事会的主体为比特大陆下属的全资子公司。,证券权威人士称比特大陆多名董事退出系误读,11:53,2018-11-13 20:03:46
5,据 Tokenview 数据显示，24 小时成交额排行中成交额排名第一的是 BTC，其 24 小时成交额为 43.17 亿美元，占比为 32.88%；排名第二的是 USDT，其 24 小时成交额为 26.75 亿美元，占比为 20.37%；排名第三的是 ETH，其 24 小时成交额为 14.19 亿美元，占比为 10.81%；排名第四的是 BCH，其 24 小时成交额为 9.63 亿美元，占比为 7.34%；排名第五的是 EOS，其 24 小时成交额为 6.13 亿美元，占比为 4.67%。,行情 | 24 小时市值前五的数字货币成交额排名及占比,11:42,2018-11-13 20:03:47
6,据国家互联网金融安全技术专家委员会官网文章报道，区块链安全技术检测中心的成立标志着区块链行业安全正在得到国家级网络安全机构的重视，将为行业发展和地方产业发展起到保障和推动作用。检测中心将围绕网络安全、区块链底层技术和上层应用的安全，面向行业开展区块链代码审计、安全检测等工作。10 月 24 日，国家互联网应急中心与长沙经开区正式签约，联合成立了全国首家区块链安全技术检测中心。,国家互联网应急中心联合长沙经开区成立区块链安全技术检测中心,10:51,2018-11-13 20:03:47
7,加密资产投资基金 Kenetic 创始合伙人朱沛宗在澳门举行的 Sora Summit 上表示，目前整个区块链行业面临寒冬，所有投资者，无论大小，应该共同帮助所有的区块链初创公司，无论是基础协议项目还是应用型项目，为其提供帮助，让区块链行业能够度过目前的寒冬，成为一个真正意义上可以存活下来并能持续发展的行业。朱沛宗表示，2019 年将是转折的一年，值得投资那些基本面良好的区块链项目。所谓基本面良好，朱沛宗说，并不仅仅指技术基本面，而是指那些真正可以实现业务应用的项目。他看好并希望投资那些有能力可以实现业务规模化发展、有可应用产品、能够获得收入的项目。,Kenetic 创始人朱沛宗：2019 年是加密市场转折点，看好能获得收入的区块链项目,10:21,2018-11-13 20:03:47
8,据区块链数据供应商 Coin.Dance 统计，截止本文发稿时，比特币现金网络上共有 2246 个公共节点，其中 BCH ABC 节点有 1077 个，BCH SV 节点有 161 个；BCH ABC 已经获得了Bitpay、币安和Coinbase 等交易所支持，而 BCH SV 得到了最大比特币现金矿池 Coingeek 的支持。而从算力角度看，截止发稿时，BCH SV 控制着比特币现金网络算力的 73%。,BCH ABC 与 BCH SV 节点数对比：1077 比 161,07:58,2018-11-13 20:03:47
9,前华尔街明星对冲基金经理 Mike Novogratz 创建的加密资产投资银行 Galaxy Digital 宣布总裁 Richard Tavoso 和交易部门联合负责人 David Namdar 离职。该公司同时表示，正在对旗下的加密资产顾问咨询业务进行重新定位，将更加关注大型机构投资者服务，而非小型 ICO 业务。该公司同时宣布关闭温哥华办公室。,Galaxy Digital 顾问咨询业务转型，多名高管离职,07:36,2018-11-13 20:03:47
