,brief,header,pub_time,type,url
0,第三方支付C端战局已定，B端将迎来竞争激烈期。,从单一通道到深耕产业链，B端行业支付的破局之路,10小时前,AI+,https://www.leiphone.com/news/201808/4OJYN0Ey02C0xZ5f.html
1,从今年年初到现在的总投资额（含VC、PE和并购）已超过去年全年。,58亿融资额超去年总量，监管、保险快马加鞭 | 毕马威2018上半年金融科技报告（附下载）,08月06日 21:17,AI+,https://www.leiphone.com/news/201808/KC8JmA07AaSeycy8.html
2,AI创业如大海行船，重要的不是你驶出了多远，而是有没有找准定位和方向，落地下来。,睿视智觉龚纯斌：创业三年，我们在计算机视觉路上的收获与思考,08月06日 18:45,AI+,https://www.leiphone.com/news/201808/GzjWZHJKPMsPTfCk.html
3,讨论主要围绕“智能路由这五年“、”路由器算力升级的驱动力“和”路由器+区块链：下一个是机会还是坑“三个话题进行。,路由器+区块链：天使还是魔鬼？——AI研习社闭门沙龙第一期活动顺利举办,08月06日 12:41,AI+,https://www.leiphone.com/news/201808/VxWRV9AdURvQtI3y.html
4,数字货币与货币数字化的本质区别在于货币的控制权是否发生转移。可编程的智能数字货币，可以让央行拥有更大的经济调节能力。,区块链研习 |  对央行数字货币的猜测——无杠杆、可编程自动回笼,08月06日 12:15,AI+,https://www.leiphone.com/news/201808/vLmQdQ9huk4phk17.html
5,美国财政部近日发布222页报告，鼓励Fintech创新,美国财政部发布222页Fintech报告，释放积极信号,08月05日 19:28,AI+,https://www.leiphone.com/news/201808/N4iybNVQp1nwHLcN.html
6,微软、ICE计划推出一个全球平台——让人们能够购买、销售、存储和使用数字资产，比如比特币。,微软、ICE预计11月启动数字资产项目，有什么名堂？,08月05日 17:40,AI+,https://www.leiphone.com/news/201808/3MfeL8sxx1nUa0BQ.html
7,智能路由经历了五年，路由器+区块链，究竟是下一个机会还是坑？AI研习社闭门沙龙，邀你一起来深入探讨。,AI研习社闭门沙龙：路由器+区块链，天使还是魔鬼？,08月04日 23:25,AI+,https://www.leiphone.com/news/201808/zG1a27X2EHgrxdq6.html
8,桂斌在区块链大会上的主题演讲题目为《链接升级——SLife赋能实体经济》，SLife向我们亮出了它的决心，至于是否真的准备好，希望读者能从这篇采访中窥得一二。,区块链赋能实体经济，SLife准备好了吗？,08月04日 22:19,AI+,https://www.leiphone.com/news/201808/GJLhNR9xq5pnhxGZ.html
9,胸部X光数据库中包含近10600张CT扫描图像。,NIH发布包含 10600 张 CT 图像数据库，为 AI 算法测试铺路,08月04日 17:14,AI+,https://www.leiphone.com/news/201808/b7ViRPWUnWQ8CWSb.html
10,沃尔玛正在与初创公司Alert Innovation合作一个自动化系统。,沃尔玛测试杂货配送机器人，计划年底覆盖 2000 家门店,08月04日 11:43,AI+,https://www.leiphone.com/news/201808/9MCjJIUXOErqnQrv.html
11,在BCH创立的周年纪念日里，我们需要重新审视是什么原因导致这种分叉币的存在，以及它存在的目的是什么？,BCH一周年：从硬分叉到顺风顺水,08月02日 18:49,AI+,https://www.leiphone.com/news/201808/hg0C5jc93dRJ1BVH.html
12,最先想出“好点子”只是创新的第一步，如何把“好点子”规模化，成功地执行一千、一万遍才是最重要的部分。,“扫玛购”上线半年后，沃尔玛、腾讯和我们聊了聊背后的故事,08月02日 18:31,AI+,https://www.leiphone.com/news/201808/jQM2IR2RJ8xkOPMq.html
13,“开始总是分分钟都妙不可言。”,蜜糖变砒霜：90%美国公司区块链项目将不再重启,08月02日 14:15,AI+,https://www.leiphone.com/news/201808/G5rRe4TvhCzJbIhJ.html
14,知名公链阿希链宣布已获得比特大陆（Bitmain）5000万元人民币的战略投资。,阿希链获得比特大陆战略投资,08月01日 23:32,AI+,https://www.leiphone.com/news/201808/YjtFg556SFNtAcaK.html
15,黄章为了这款他要全力打造的产品，还是下了不少功夫。,魅族 16 发布：凉了一半的魅族还能回血吗？,4小时前,业界,https://www.leiphone.com/news/201808/Glb4ARNQLfZPRyUu.html
16,伴随着本轮融资的完成，知乎将会在商业化道路上越走越远。,知乎完成 2.7 亿美元 E 轮融资，将大力投入 AI 技术与商业化,2小时前,业界,https://www.leiphone.com/news/201808/eCSBhWeWLqahJRHa.html
17,8月8日，三星电子宣布，其母公司三星集团将在未来三年投资25万亿韩元(合220亿美元)用于人工智能、5G移动技术、汽车电子元件以及生物制药业务。,三星又下重注：3年内狂撒220亿美元布局AI、5G等领域,3小时前,业界,https://www.leiphone.com/news/201808/97jXNNPF9FkMgtt0.html
18,"大朋DPVR宣布,将于8月8日0点在京东、天猫和3D播播以1399元的价格正式对消费者开放预订旗下VR一体机新品 - 全景声巨幕影院。",售价1399，大朋DPVR全景声巨幕影院8月8日0点全网开抢,4小时前,业界,https://www.leiphone.com/news/201808/5kwhmMeuF7V39NeD.html
19,手机已经成为现代人的身体器官，当然，在汽车场景中，人们依然摆脱不了手机的吸引力。,亲测比亚迪 DiLink：海量车机APP、超大旋转屏，车内可丢掉手机了,5小时前,业界,https://www.leiphone.com/news/201808/shsUiTTIddGf1dU8.html
20,vivo成功迈入游戏圈，未来电竞之路值得期待,“百人团战”之外，看vivo如何玩转ChinaJoy2018？,5小时前,业界,https://www.leiphone.com/news/201808/byRCVVRHJaLqLvZP.html
21,像其最大竞争对手甲骨文那样也有两位CEO了,Salesforce高管洗牌，迎来第二个CEO，咋回事？,9小时前,业界,https://www.leiphone.com/news/201808/Z2cJa0XqvPLktez0.html
22,和解金额未透露，未公布责任员工名单,“数据丢失事件”续集：腾讯云还原“人为失误”全过程,20小时前,业界,https://www.leiphone.com/news/201808/CbofucSCq8G5yRrP.html
