,header,pub_time,url,views
0,探索CyberMiles生态系统：ELONCITY如何连接Plasma与电？,2018-08-08 20:31:32,http://www.8btc.com/electricity-with-eloncity,139
1,全球首个7nm芯片成功量产，还有“会挖矿的”电视机和取暖器,2018-08-08 19:24:34,http://www.8btc.com/7nm-avalonminer-a9,2099
2,【巴比特每日热聊榜】感觉慌的老铁有多少？,2018-08-08 19:14:14,http://www.8btc.com/p248466,983
3,Bithank今日正式上线：让属于用户的回到用户手中！,2018-08-08 19:00:05,http://www.8btc.com/bithank,1032
4,Andreas Antonopoulos：我对比特币忠心不二，撰写《精通以太坊》因他们的技术很有趣,2018-08-08 18:04:42,http://www.8btc.com/andreas-antonopoulos-mastering-ethereum,1809
5,深度+ | 比特币ETF那么火，我们真的需要它吗？,2018-08-08 16:46:29,http://www.8btc.com/bitcoinetf-good-bad,5734
6,细数各方对监管的呐喊：错过了区块链，就错过了……,2018-08-08 16:46:00,http://www.8btc.com/calls-for-more-favorable-regulation,2133
7,律师探案：我们投资比特币，法律在做什么,2018-08-08 16:33:57,http://www.8btc.com/qiqinglawyar20180806,2083
8,区块链底层架构分析：私有链 vs 公有链 vs 联盟链,2018-08-08 15:29:33,http://www.8btc.com/blockchain-architecture-2,1337
9,一亿美金成立生态基金，分布式资本牵头，想要逆势突围的基金们有哪些“投资逻辑”,2018-08-08 14:08:52,http://www.8btc.com/shawshank-2,3255
10,美国俄亥俄州宣布：承认区块链电子存证的法律效力,2018-08-08 12:52:44,http://www.8btc.com/ohio-recognize-blockchain-data,3214
11,深度+丨比特币ETF在2018年肯定没戏？大机构和权威人士给出了结论,2018-08-08 11:56:31,http://www.8btc.com/bitcoin-etf-not-likely-in-2018,9737
12,漫谈公链发展：交易所与公链的缠结,2018-08-08 11:51:10,http://www.8btc.com/public-chain-and-exchange,134
13,巴比特独家 | 孟岩：QOS上线为计划之中，但币改非FCoin专属,2018-08-08 11:48:25,http://www.8btc.com/token_modification_fcoin,5525
14,山寨Fomo3D风险分析报告,2018-08-08 11:26:22,http://www.8btc.com/risk-of-fake-fomo3d,1805
15,深入了解以太坊：数据到底是如何存储在以太坊网络的？,2018-08-08 11:21:29,http://www.8btc.com/getting-deep-into-ethereum-how-data-is-stored-in-ethereum,2524
16,特朗普前顾问：比特币运作机制太复杂，无法成为全球性货币,2018-08-08 11:10:01,http://www.8btc.com/bitcoin-trump-adviseor,5997
17,菲律宾利用区块链技术拯救污染河流,2018-08-08 11:04:10,http://www.8btc.com/philippine-project-to-use-blockchain-to-clean-up-dirty-river,2272
18,资本寒流吹入区块链,2018-08-08 11:01:05,http://www.8btc.com/cold-flew-capital,3977
19,中国是否正在领先区块链创新竞赛？,2018-08-08 10:52:11,http://www.8btc.com/china-leading-blockchain-contest,2130
