,brief,header,pub_time,url
0,早前，商务部网站消息称，美国“Autel Robotics公司”指控大疆创新科技有限公司及其关联公司的无人机及其组件侵犯了其专利权。记者调查发现，Autel Robotics公司其实为总部位于深圳的“道通智能航空技术有限公司”李红京持股比例91.25%该公司也是无人机生产企业，与大疆互为竞争对手关系。（财联社）,对大疆无人机提出337调查的美国公司母公司为深圳企业,2018-09-04 19:57,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135343&title=%E6%97%A9%E5%89%8D%EF%BC%8C%E5%95%86%E5%8A%A1%E9%83%A8%E7%BD%91%E7%AB%99%E6%B6%88%E6%81%AF%E7%A7%B0%EF%BC%8C%E7%BE%8E%E5%9B%BD%E2%80%9CAutel%20Robotics%E5%85%AC%E5%8F%B8%E2%80%9D%E6%8C%87%E6%8E%A7%E5%A4%A7%E7%96%86%E5%88%9B%E6%96%B0%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8F%8A%E5%85%B6%E5%85%B3%E8%81%94%E5%85%AC%E5%8F%B8%E7%9A%84%E6%97%A0%E4%BA%BA%E6%9C%BA%E5%8F%8A%E5%85%B6%E7%BB%84%E4%BB%B6%E4%BE%B5%E7%8A%AF%E4%BA%86%E5%85%B6%E4%B8%93%E5%88%A9%E6%9D%83%E3%80%82%E8%AE%B0%E8%80%85%E8%B0%83%E6%9F%A5%E5%8F%91%E7%8E%B0%EF%BC%8CAutel%20Robotics%E5%85%AC%E5%8F%B8%E5%85%B6%E5%AE%9E%E4%B8%BA%E6%80%BB%E9%83%A8%E4%BD%8D%E4%BA%8E%E6%B7%B1%E5%9C%B3%E7%9A%84%E2%80%9C%E9%81%93%E9%80%9A%E6%99%BA%E8%83%BD%E8%88%AA%E7%A9%BA%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E2%80%9D%E6%9D%8E%E7%BA%A2%E4%BA%AC%E6%8C%81%E8%82%A1%E6%AF%94%E4%BE%8B91.25%25%E8%AF%A5%E5%85%AC%E5%8F%B8%E4%B9%9F%E6%98%AF%E6%97%A0%E4%BA%BA%E6%9C%BA%E7%94%9F%E4%BA%A7%E4%BC%81%E4%B8%9A%EF%BC%8C%E4%B8%8E%E5%A4%A7%E7%96%86%E4%BA%92%E4%B8%BA%E7%AB%9E%E4%BA%89%E5%AF%B9%E6%89%8B%E5%85%B3%E7%B3%BB%E3%80%82%EF%BC%88%E8%B4%A2%E8%81%94%E7%A4%BE%EF%BC%89
1,36氪讯，今日晚间，中手游科技集团有限公司向香港联交所正式递交主板上市申请。招股书显示，中手游2018年上半年持续经营业务收入为6.73亿元，同比增长15.95%。,中手游递交招股书：今年上半年营收6.725亿元,2018-09-04 19:50,http://www.hkexnews.hk/APP/SEHK/2018/2018090401/a16941/CCMGE-20180904-24.PDF
2,36氪讯，猎豹移动报美股盘前涨8.4%。此前据证券时报报道，猎豹移动私有化或将与小米集团合并。,传猎豹移动私有化或将与小米合并，猎豹移动美股盘前涨8.4%,2018-09-04 19:44,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135341&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C%E7%8C%8E%E8%B1%B9%E7%A7%BB%E5%8A%A8%E6%8A%A5%E7%BE%8E%E8%82%A1%E7%9B%98%E5%89%8D%E6%B6%A88.4%25%E3%80%82%E6%AD%A4%E5%89%8D%E6%8D%AE%E8%AF%81%E5%88%B8%E6%97%B6%E6%8A%A5%E6%8A%A5%E9%81%93%EF%BC%8C%E7%8C%8E%E8%B1%B9%E7%A7%BB%E5%8A%A8%E7%A7%81%E6%9C%89%E5%8C%96%E6%88%96%E5%B0%86%E4%B8%8E%E5%B0%8F%E7%B1%B3%E9%9B%86%E5%9B%A2%E5%90%88%E5%B9%B6%E3%80%82
3,近日，中国移动多地分公司宣布在8月31日起取消8元档飞享套餐。如山西、四川、广西等公司均已下架8元档飞享套餐。对此，移动方面发文称：“因广大用户通信需求快速增长，部分产品已经无法满足需求”。(南奥一网）,中国移动宣布下线8元套餐，存在10年之久的“保号套餐”将作古,2018-09-04 19:35,http://www.oeeee.com/mp/a/BAAFRD000020180904100823.html
4,近日，马斯克表示，公司计划采用自主研发的AI芯片以替代英伟达的芯片，该芯片的性能要比目前特斯拉采用的英伟达芯片快10倍。特斯拉自主设计的计算机可实现2000多帧/秒，并提供完全冗余及故障切换。该芯片会在未来4-6个月内交付，将被用于3.0版Autopilot硬件中，特斯拉将为完全自动驾驶的实现提供维护及支持。（PChome）,马斯克：自研AI芯片性能强10倍，半年内交付,2018-09-04 18:53,https://tech.sina.com.cn/roll/2018-09-04/doc-ihiqtcap1524683.shtml?cre=tianyi&mod=pctech&loc=9&r=0&doct=0&rfunc=46&tj=none&tr=0
5,花旗将京东列入负面催化观察名单。（彭博）,花旗将京东列入负面催化观察名单,2018-09-04 18:51,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135338&title=%E8%8A%B1%E6%97%97%E5%B0%86%E4%BA%AC%E4%B8%9C%E5%88%97%E5%85%A5%E8%B4%9F%E9%9D%A2%E5%82%AC%E5%8C%96%E8%A7%82%E5%AF%9F%E5%90%8D%E5%8D%95%E3%80%82%EF%BC%88%E5%BD%AD%E5%8D%9A%EF%BC%89
6,36氪获悉，滴滴出行将于9月8日23点至9月15日凌晨5点期间在中国大陆地区暂停提供深夜23:00-5:00时间段的出租车、快车、优步、优享、拼车、专车、豪华车服务。单车、代驾、公交、海外自驾租车及二手车服务照常。,滴滴出行启动安全大整治 ，9月8日至15日暂停深夜服务,2018-09-04 18:43,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135337&title=36%E6%B0%AA%E8%8E%B7%E6%82%89%EF%BC%8C%E6%BB%B4%E6%BB%B4%E5%87%BA%E8%A1%8C%E5%B0%86%E4%BA%8E9%E6%9C%888%E6%97%A523%E7%82%B9%E8%87%B39%E6%9C%8815%E6%97%A5%E5%87%8C%E6%99%A85%E7%82%B9%E6%9C%9F%E9%97%B4%E5%9C%A8%E4%B8%AD%E5%9B%BD%E5%A4%A7%E9%99%86%E5%9C%B0%E5%8C%BA%E6%9A%82%E5%81%9C%E6%8F%90%E4%BE%9B%E6%B7%B1%E5%A4%9C23:00-5:00%E6%97%B6%E9%97%B4%E6%AE%B5%E7%9A%84%E5%87%BA%E7%A7%9F%E8%BD%A6%E3%80%81%E5%BF%AB%E8%BD%A6%E3%80%81%E4%BC%98%E6%AD%A5%E3%80%81%E4%BC%98%E4%BA%AB%E3%80%81%E6%8B%BC%E8%BD%A6%E3%80%81%E4%B8%93%E8%BD%A6%E3%80%81%E8%B1%AA%E5%8D%8E%E8%BD%A6%E6%9C%8D%E5%8A%A1%E3%80%82%E5%8D%95%E8%BD%A6%E3%80%81%E4%BB%A3%E9%A9%BE%E3%80%81%E5%85%AC%E4%BA%A4%E3%80%81%E6%B5%B7%E5%A4%96%E8%87%AA%E9%A9%BE%E7%A7%9F%E8%BD%A6%E5%8F%8A%E4%BA%8C%E6%89%8B%E8%BD%A6%E6%9C%8D%E5%8A%A1%E7%85%A7%E5%B8%B8%E3%80%82
7,记者获悉，猎豹移动私有化的主导方有可能为同属“雷军系”旗下的小米集团，通过收购整合猎豹移动成为一家真正的互联网企业，业务上可形成较大的协同效应。(证券时报）,猎豹移动私有化或将与小米集团合并,2018-09-04 18:32,http://kuaixun.stcn.com/2018/0904/14496806.shtml
8,据外媒报道，明年 iPhone 将迎来苹果史上最大的后置相机升级，装备全新 3D 感测技术。报道称，2019 年推出的两款 OLED 屏幕 iPhone 都很可能采用 3 镜头并搭配 ToF3D 感测技术，而且 LCD 版 iPhone 也很可能从单镜头升级到双镜头，这些设计变更将为新 iPhone 带来创新的增强现实功能及更优秀的成像表现。(macx),传2019款iPhone 将升级三镜头，搭配 ToF 3D 感测技术,2018-09-04 18:29,https://www.macx.cn/thread-2216128-1-1.html
9,据Engadget报道，欧盟委员会负责管理网络、内容和技术的部门主管罗伯托·维奥拉证实，将于今年12月份生效的新法规要求，Netflix、亚马逊Prime Video等流媒体服务必须确保其至少30%的内容预算投入成员国，用于制作本地内容。维奥拉指出，欧盟成员国可以选择要求流媒体公司将本地内容预算增加到40%。（网易）,欧盟将出新规：流媒体网站必须确保本地内容制作,2018-09-04 18:00,http://tech.163.com/18/0904/16/DQSG073L00097U7R.html
