,header,pub_time,url,views
0,对话蔡维德：区块链监管力不从心是因为监管者没有使用区块链技术,2018-09-04 19:29:50,http://www.8btc.com/caiweide-qukuailian-jianguan,229
1,比特币重回7300美元，多空大战进入下半场,2018-09-04 19:26:07,http://www.8btc.com/coinmarket-16,440
2,从五大人群看比特币社区，你是哪一种？,2018-09-04 18:47:20,http://www.8btc.com/bitcoin-five-different-groups,1383
3,比特币现金走进欧洲、澳洲和加拿大21000个零售网点,2018-09-04 18:19:08,http://www.8btc.com/21000-new-locations,828
4,粤港澳大湾区贸易金融区块链平台在深圳正式上线试运行,2018-09-04 17:09:49,http://www.8btc.com/yuegangao-jinrong-maoyi-qukuailian,1466
5,“我们不是在生活，而是在生存”——比特币改变了委内瑞拉人的生命轨迹,2018-09-04 17:06:30,http://www.8btc.com/surviving-venezuela,6073
6,传统互联网游戏已无新意，且看区块链如何给游戏行业注入活力,2018-09-04 17:01:07,http://www.8btc.com/internet-blockchain-game,1300
7,香港买壳之后——虚拟货币交易平台如何与监管共舞？,2018-09-04 16:58:56,http://www.8btc.com/dancing-with-law,1071
8,以太坊数据结构与存储分析,2018-09-04 16:58:02,http://www.8btc.com/yitaifang-shujujiegou-eth,879
9,比特币布道者：选择主流币，持有5年，玩的开心就对了,2018-09-04 16:34:53,http://www.8btc.com/just-have-fun-with-crypto-investing,1764
10,宣称比iPhone更时尚，俄罗斯一公司推出家用艺术矿机,2018-09-04 16:13:53,http://www.8btc.com/russians-design-%d0%b0-beautiful-mining-rig,1239
11,快播创始人王欣已成立人工智能和区块链公司，持股比例超过9成，李学凌何小鹏姚劲波悉数入场,2018-09-04 16:03:14,http://www.8btc.com/kauibo-wangxin-qukuailian,1810
12,区块链技术与央行数字货币需求的分歧和应对,2018-09-04 15:32:01,http://www.8btc.com/yanghang-fenqi,1400
13,区块链这一年：2017-2018,2018-09-04 14:55:45,http://www.8btc.com/this-year-blockchain,2292
14,对话国家信息中心朱幼平：区块链“824监管”更“较真”，且短时间内不会放松,2018-09-04 14:54:24,http://www.8btc.com/zhuyouping-qukuailian-jianguan,2190
15,意大利：那不勒斯市计划推出自主加密货币，争取更大地方自治权,2018-09-04 14:29:25,http://www.8btc.com/naples-mayor-launch-autonomous-cryptocurrency,1175
16,时隔4年，这个持有11.1万BTC的钱包突然开始转币，网友脑洞大开,2018-09-04 14:07:29,http://www.8btc.com/800m-bitcoin-wallet,7275
17,收录1600份白皮书，他立志创建加密白皮书的维基百科,2018-09-04 14:06:18,http://www.8btc.com/man-amasses-worlds-largest-collection-of-crypto-white-papers,1738
18,由顺风车悲剧暴露的人工客服缺陷，AI能做得更好吗？,2018-09-04 13:51:02,http://www.8btc.com/didi-shunfengche-ai,1227
19,股票：通证经济的历史、现在与未来,2018-09-04 12:32:18,http://www.8btc.com/gupiao-tongzhengjingji,1680
