,brief,header,pub_time,type,url
0,近期，今日头条上线借贷服务平台“放心借”，定位于现金贷导流平台，迟到的流量巨头终于还是入场了。同期，微信也在理财通里悄悄上线了消费贷款导流产品“周转”。放眼望去,从今日头条入局导流平台，看消费金融机构管道化的命运,41分钟前,AI+,https://www.leiphone.com/news/201809/31vOTVWZij7ZmVz4.html
1,谈起安防，傅剑辉有说不完的话。,一个安防老兵的“折腾人生”,8小时前,AI+,https://www.leiphone.com/news/201809/wXY6NcUfjFNSOEgk.html
2,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
3,“选择正确的问题，比寻找新奇的解决方案更加重要”，郑叶来提到。,云服务做桥头堡  华为如何诠释别样AI之道？,1小时前,业界,https://www.leiphone.com/news/201809/NWZIH2GB4zeqeZui.html
4,ABC 3.0对百度云基础产品有何新要求，百度云副总经理谢广军的“探索”或许能解答这个问题。,专访百度云副总经理谢广军：打磨稳定高效IT基础设施，重在场景化落地,3小时前,业界,https://www.leiphone.com/news/201809/6vMQE4fI61Tq1fie.html
5,世界人工智能大会期间，特朗普政府将从下周起对 2000 亿美元中国产品加征 10% 关税。,贸易战也挡不住 Google 对中国的热情 | WAIC 2018,3小时前,业界,https://www.leiphone.com/news/201809/F60sjr4s8aIGgGY9.html
6,不同于互联网云服务商，华为设备提供商的属性早就为其开展云服务提供了IT基础，在数据中心领域也是如此。,从华为IT变革说起：探秘华为云的数据中心“硬”实力   ,4小时前,业界,https://www.leiphone.com/news/201809/r4r6y43DAM4rfzDN.html
7,“去金融化”的一次最大举动,京东金融改名京东数科：不做金融了做什么？,7小时前,业界,https://www.leiphone.com/news/201809/ykGA8DWaUvG3LgTn.html
8,黄山1号诞生了。,华米科技的第一步：全球首款可穿戴AI芯片黄山1号登场,8小时前,业界,https://www.leiphone.com/news/201809/oZEDAZak7RrKLOqm.html
9,千寻位置的这些硬件和解决方案，已经被多个大型车企的预研车型采纳，高精度定位能力将成为未来智能汽车不可或缺的一项基础设施。,千寻位置华为合作LTE-V2X车载终端，6大车厂率先使用,8小时前,业界,https://www.leiphone.com/news/201809/V8JioclMXrtXo0KF.html
10,FP5280G2迎来市场首秀,浪潮商用机器推出FP5280G2重磅机型  POWER平台华丽转身云计算大数据先锋骑兵,9小时前,业界,https://www.leiphone.com/news/201809/jAh0FXKSWiqX7H9R.html
11,云从科技“造芯”工信部力挺 再不懂真的要被淘汰了,工信部公布2018人工智能创新项目 云从科技布局AI芯片,10小时前,业界,https://www.leiphone.com/news/201809/qktToAztSguCKoyo.html
12,北京时间9月18日凌晨，iOS 12 如约推送到各台 iOS 设备之上。,iOS12正式上线，速度大提升；联想回应“不是一家中国公司”报道；华为痛失韩国5G订单 | 雷锋早报,11小时前,业界,https://www.leiphone.com/news/201809/qILbr815pEOoHhXe.html
13,随着RISC-V商业落地的向前推进，业界也充满了期待，但是从指令集设计到最终的应用，我们对RISC-V或许有些误解。,让Arm感到压力的开源指令集RISC-V，我们对它有些误解？,13小时前,业界,https://www.leiphone.com/news/201809/acACKzbODoc8G9ak.html
