,header,pub_time,url
0,小赢科技在美提交IPO招股书，拟筹资2.5亿美元,15:47,http://news.pedaily.cn/201808/435163.shtml
1,慧科教育完成D轮融资，新龙脉资本与泛海集团投资,15:01,http://news.pedaily.cn/201808/435160.shtml
2,快讯|上海决定设立文化产业发展投资基金,10:33,http://pe.pedaily.cn/201808/435145.shtml
3,快讯|熊猫快收宣布获千万级融资 下阶段将实施“百城万店，拓点扶持”计划,10:08,http://pe.pedaily.cn/201808/435140.shtml
4,快讯|程天科技完成数千万元Pre-A轮融资，加大外骨骼机器人研发投入,10:06,http://pe.pedaily.cn/201808/435141.shtml
5,快讯|英联完成收购渣打银行亚洲房地产股本投资业务,9:51,http://pe.pedaily.cn/201808/435137.shtml
6,快讯|博鸟绘本获1000万元Pre-A轮融资 由真格基金领投,8:24,http://pe.pedaily.cn/201808/435128.shtml
7,快讯|富士康联合3家公司组建一支早期风险投资基金 规模1亿美元,8:15,http://pe.pedaily.cn/201808/435125.shtml
8,快讯|蹭个车完成数千万天使轮融资 专注于二手车全生命周期服务,21:18,http://pe.pedaily.cn/201808/435121.shtml
9,快讯|金蝶汽车网络获大搜车A轮融资 加速进军汽车行业信息化领域,21:07,http://pe.pedaily.cn/201808/435120.shtml
10,快讯|华和生鲜完成数千万元Pre A轮融资 专注于农贸市场的改造和运营,20:56,http://pe.pedaily.cn/201808/435119.shtml
11,健康零食品牌阻脂获数百万元天使轮融资，capinno创+的数百万天使轮融资,16:51,http://news.pedaily.cn/201808/435113.shtml
12,智能化整体方案提供商“希思腾科”获近千万元融资，助力资本等联合投资,15:42,http://news.pedaily.cn/201808/435110.shtml
13,欧电云完成B+轮亿级人民币融资，为企业建设全渠道一体化云中台,14:19,http://pe.pedaily.cn/201808/435106.shtml
14,快讯|易鸿智能完成数千万元A轮融资，由源渡创投领投,14:12,http://pe.pedaily.cn/201808/435104.shtml
15,快讯|震坤行工业超市完成1.29亿美元C轮融资，老虎环球基金、君联资本领投,10:33,http://pe.pedaily.cn/201808/435092.shtml
16,生鲜连锁品牌天鲜配获千万级PreA轮战略投资，2018年销售额将达1亿元,9:13,http://pe.pedaily.cn/201808/435089.shtml
17,智能销售服务商探迹科技获阿里巴巴、启明创投数千万A轮投资，打造全流程智能销售解决方案,8:51,http://pe.pedaily.cn/201808/435086.shtml
18,闪送完成D1轮6000万美元融资，五岳资本领投,8:15,http://pe.pedaily.cn/201808/435085.shtml
19,快讯|再添重量级合作伙伴，惠下单获平安海外基金投资,14:35,http://pe.pedaily.cn/201808/435068.shtml
