,brief,header,pubtime,savetime
0,在曼谷举行的比特币现金 BCH 采矿协议闭门会议上，以太坊联合创始人 Vitalik Buterin 做了简短分享，并对 BCH 的发展表示祝贺。不过关于这次会议的具体细节并不多。莱比特矿池 CEO 江卓尔表示大家不用担心，曼谷会议与会者形成了相当程度的共识，事情有逻辑上完善的解决路径。,Vitalik Buterin 现身曼谷 BCH 采矿协议闭门会议,07:46,2018-09-02 19:32:58
1,据福布斯报道，区块链技术市场可能在三年内突破 20 亿美元，企业、非政府组织和政府都意识到，这一技术可以提升客户信任、减少假冒商品、降低交易成本。根据自由职业网站 Upwork 的数据，区块链是其季度技能指数中最热门的技术。即使数字货币市场冷却下来，对区块链工作技能的需求在今年第一季度也增长了 6000%。,福布斯：区块链技术市场或在三年内突破 20 亿美元,07:40,2018-09-02 19:32:59
2,北京市近日编制了《北京市金融突发事件应急预案》，并已经以市应急委名义正式印发实施。据介绍，《预案》突出金融风险监测防范，把主动防范化解系统性金融风险摆在突出重要位置，强化了金融风险监测、风险评估、风险防范、预警响应的内容。同时，《预案》还重点考虑金融突发事件行业属性，坚持「管行业必须管风险」，与中央金融监管部门在京派驻机构协同合作，加强本市相关部门监管协作，构建分级负责、分类处置、综合协调的金融突发事件应对体系，完善应急响应处置措施。,北京市发布金融突发事件应急预案，加强风险监管,07:38,2018-09-02 19:32:59
3,据 Business insider 消息，中国人民保险集团 PICC 与唯链和 DNV GL 达成合作伙伴关系，后两者将为人保集团提供区块链解决方案，协助人保集团数字化转型。,唯链与 DNV GL 为人保集团提供区块链技术支持,07:35,2018-09-02 19:32:59
4,德国统计机构 Statista 对欧美 15 个主要国家进行了数字货币持有率调查。调查结果显示，18% 的土耳其人持有数字货币，在 15 个样本中高居第一。分析认为，土耳其居民的数字货币高持有率与该国货币危机有关，民众对法币的信任度较低。,土耳其居民对法币信任度较低，18% 持有数字货币,07:33,2018-09-02 19:32:59
5,据新浪科技，共享单车服务商 ofo 方面就近期媒体报道回应称，所谓滴滴收购 ofo 是虚假消息；区块链是该公司一直探索的技术方向，不存在转投一说。,ofo 回应媒体报道：滴滴收购是假消息， 区块链一直关注并非转投,07:28,2018-09-02 19:33:00
6,据 coinspeaker 报道，国际数字货币和区块链多中心化协会 IDACB 将与彭博社和路透社合作，向两家资讯服务商提供符合其标准的加密行业新闻，而彭博社和路透社会将分析和金融区块链数据纳入其资讯产品中。,IDACB 将与彭博社和路透社合作，提供加密行业新闻,07:25,2018-09-02 19:33:00
7,据 Business insider 报道，Fundstrat 创始人 Tom Lee 认为，期货让投资者有机会押注资产的未来价格。芝加哥期权交易所 CBOE 和 芝加哥商品交易所 CME 推出 BTC 期货的消息推动了比特币在去年 12 月底创下历史新高。 但是在 BTC 期货上线后，比特币价格下跌，比 2017 年底创下的历史新高以来已下跌超过 70％。ETH 期货可能会对其价格产生类似的影响，但是对 BTC 可能是一件好事，因为可以缓解对 BTC 做空的压力。,Tom Lee：ETH 期货或影响其价格下跌，但对 BTC 是好事,07:18,2018-09-02 19:33:00
8,比特币现金 BCH 官方推特发布消息称，BCH 压力测试已经开始。截至约 21 时，BCH 在过去 24 小时处理了 126.5876 万笔交易。BMG 矿池刚刚挖出 10MB 大小的第 44705 区块。,BCH 压力测试已经开始，24 小时处理交易达 126 万笔,07:03,2018-09-02 19:33:00
9,据 Grand View Research 的研究报告显示，2024 年全球区块链技术市场规模将达到 759 亿美元，而年内复合增长率 CAGR 将以 37.2％ 的速度增长，受众对区块链市场的兴趣继续在全球范围内增长。,调查报告：2024 年全球区块链技术市场将达到 759 亿美元规模,09月01日 07:46,2018-09-02 19:33:00
10,据 TokenInsight 数据监测显示，EOS 侧链 FIBOS 自 8 月 28 日正式上线以来已经筹集到 85 万个 EOS。FIBOS 支持使用 JS 开发智能合约，提供智能合约的开发、部署和通证体系。其通证 FO 的兑换采用 Bancor 协议，供应量越少，价格越高。因此在 FO 总量固定的情况下，可兑换 FO 数量越少，FO 相对于 EOS 的价值越高。目前该项目但是该项目处于早期阶段，协议内容尚未完全公布，通证价值存在一定风险。,TokenInsight：EOS 侧链 FIBOS 发布 48 小时筹集超 85 万 EOS,09月01日 07:43,2018-09-02 19:33:01
11,据华西都市报报道，阿里巴巴副总裁朱卫国近日称：「塑造人类未来有三大因素，包括人工智能、区块链和基因编辑。人工智能和区块链是硬趋势，人类将进一步刷新其链接方式，实现线上和链上的迁徙。」区块链技术虽然火热，但应用场景并不丰富。对此朱卫国表示，由于区块链是新技术，社会还对它缺乏基本的认知。,阿里巴巴副总裁：社会对区块链缺乏基本认知,09月01日 07:36,2018-09-02 19:33:01
12,据 nulltx 报道，EOS 根据流行程度对 DApp 进行排名，8 月排名前六的 DApp 依次是：EOSBet、Newdex、DEXEOS、Lucky、EOS Lottery和DeltaDex。EOSBet 是一个去中心化的智能赌场项目。,EOS DApp 排名，EOSBet 位列第一,09月01日 07:29,2018-09-02 19:33:01
13,根据公开数据显示，GitHub 更新 90 天代码提交排名前十的是 ZRX、ELF、RHOC、ZSC、TRX、XMX、REN、RDN、NLG、ADA。,GitHub 代码更新中 ZRX 排名第一,09月01日 07:27,2018-09-02 19:33:01
14,14 位以太坊核心开发者在新一轮视频会议上讨论了对拟议的「难度炸弹」和出块奖励制度的更改。开发者们决定支持 EIP1234，减少出块奖励，并延迟「难度炸弹」，拟议的 EIP1234 将被添加到定于 10 月举行的君士坦丁堡升级会议中。,以太坊开发者决定减少出块奖励，延迟「难度炸弹」,09月01日 07:22,2018-09-02 19:33:01
15,据火币官方文件显示，8 月 27 日火币集团董事长CEO 李林亲自签发了关于辞退胡天敏、吕春泉的内部通报。通报说明，「集团交易所事业群 -pro 交易所运营部渠道运营组总监胡天敏作为部门管理者，对部门拆单付款负有付款审批责任，同时，在部分渠道供应商联合欺诈渠道推广费用的过程中，胡天敏也负有付款审批责任。以上行为均严重违反了公司规章制度，对此，公司决定对胡天敏、吕春泉做出辞退处理，即刻生效。 」,火币集团辞退交易所渠道运营组总监胡天敏及下属吕春泉,09月01日 07:19,2018-09-02 19:33:02
16,芝加哥商品交易所 CME 比特币期货 BTC 10 月合约收涨 240 美元，涨幅大约 3.53%，报 7045 美元，本周累涨逾 6.82%，8 月份则累跌逾 8.86%，据统计，6 月 29 日以 5865 美元创前月合约收盘纪录最低。芝加哥期权交易所 CBOE 比特币期货 XBT 10 月合约收涨 207.50 美元，涨超 3.03%，报 7047.50 美元，本周累涨约 6.66%，8 月份则累跌逾 8.59%，6 月 29 日也以 5897.50 美元创 CBOE 比特币期货前月合约收盘纪录最低。,比特币期货 8 月份跌超 8%,09月01日 07:11,2018-09-02 19:33:02
17,知识产权产业媒体 IPRdaily 发布「2018 年全球区块链专利企业排行榜（TOP100）」，百强榜单显示，中国公司占半数以上，BAT 悉数上榜。阿里巴巴以 90 项专利数再次排名第一，IBM 和 MasterCard 分别以 89、80 专利数排榜单第二、三名。腾讯科技位列第 8，百度位列第 40 名。,2018 年全球区块链专利百强发布：阿里手握 90 件再登顶,08月31日 21:41,2018-09-02 19:33:02
18,物联网区块链项目 CPChain 物信链于 2018 年 8 月 31 日正式发布 RNode 荣誉节点生态框架，采用了由上海交通大学分布式智能系统实验室自主研发的 DPoR 共识协议，首次推出了动态委员会的概念，强调了节点选举动态化、去中心化、民主化及防御性。DPoR 独创的节点信誉度评估模型，从通证余量、交易记录、数据上传记录、代理记录、链维护历史 5 个维度对荣誉节点进行综合评估，节点最终的信誉度值越高，越有机会被选入委员会。在荣誉节点激励方面，CPChain 提出基本奖励+额外奖励的概念，确保节点的稳定收益。RNode 荣誉节点是一种动态的，相对去中心化的节点生态，CPChain 希望社区参与者作为节点，为 CPChain 生态做出贡献的同时，能够获得相应的利益。,CPChain 正式发布 RNode 荣誉节点生态框架,08月31日 21:30,2018-09-02 19:33:02
19,据 TokenInsight 数据监测显示，EOS 首个侧链 FIBOS 于 8 月 28 日正式上线，支持使用 JS 开发智能合约，致力于提供智能合约的快速开发、部署和稳定且流动的通证体系。其通证 FO 的兑换采用 Bancor 协议，供应量越少，价格越高。因此，在 FO 总量固定的情况下，可兑换 FO 数量越少，FO 相对于 EOS 的价值越高。目前该项目已经筹集到 85 万个 EOS，热度还在持续上升中。但是该项目处于早期阶段，协议内容尚未完全公布，通证价值存在一定风险。TokenInsight 将对此项目保持持续关注。,TokenInsight：EOS 首个侧链 FIBOS 发布，48 小时筹集超 85 万 EOS,08月31日 21:27,2018-09-02 19:33:02
20,万维链周四通过官方推特宣布加盟企业以太坊联盟 EEA。万维链副总裁 Oliver Birch 称：「非常高兴成为 EEA 一员。联盟让我们能与各行各业领导企业一同解决区块链具体用例。我们期待帮助联盟将全球数字资产连接起来。」 EEA 包括了摩根大通、埃森哲、安永、微软等财富 500 强企业，以及众多科技初创企业、技术研究机构及以太坊专家等等。万维链则是一个集隐私保护+跨链+智能合约三大特征的基础底层平台。,万维链加入企业以太坊联盟,08月31日 17:36,2018-09-02 19:33:03
21,据 CNBC 报道，比特币已被德国财政部认可为「账户单位」，这意味着它可用于该国的税务和交易。财政部在一份声明中表示，比特币不属于电子货币或外币，而是德国银行业规则下的金融工具。该部表示，它更像是可以用于「多边清算圈（multilateral clearing circles）」的「私人资金（private money）」。,德国财政部：比特币是私人资金，可用于税务及交易目的,08月31日 15:16,2018-09-02 19:33:03
22,据链得得消息，近日，一位区块自媒体负责人已被公安部门帯走协助调查。这家自媒体以币圈爆料而活跃。近日中国以「区块链」名义行非法金融行为的整顿正在进行，继一大批区块链自媒体微信公众号被永久关停之后，经权威渠道获悉，部分涉嫌非法集资和诈骗的项目、相关媒体已经开始被重点审查。,据报一位区块链自媒体负责人被公安带走调查,08月31日 14:48,2018-09-02 19:33:03
23,以太坊网页端钱包 Mycrypto 获得 400 万美元 A 轮融资，Polychain领投。Mycrypto 是 MyEtherWallet 分叉版本。MyEtherWallet 之前以便捷的以太坊、ERC-20 代币的网页版钱包解决方案而广受加密货币用户欢迎。,Mycrypto 获得 400 万美元 A 轮融资,08月31日 13:43,2018-09-02 19:33:03
24,据 cointelegraph 消息，昨天雅虎财经在其平台上买卖交易了 BTC、ETH 和 LTC。今日雅虎财经公关代表 Caitlin O'Neill 解释说：昨日推出的买卖交易仅针对 IOS 应用程序。桌面、移动网络和 Android 等相关应用将在未来几周内推出。,雅虎加密交易目前仅在 IOS 应用程序上可用,08月31日 13:39,2018-09-02 19:33:03
25,据 bitcoin.com 消息，韩国庆尚北道计划以一种数字货币来取代当地九个城市过去常用的代金券，该数字货币暂命名为 Gyeongbuk 币。据悉，当地或将打造一个专门的交易平台，在这个交易平台上，Gyeongbuk 币可用于直接买卖。另外，Gyeongbuk 币在当地可用作付款方式，商家可通过智能手机扫描二维码接收。,韩国庆尚北道计划发行一种数字货币，欲取代当地一种代金券,08月31日 13:21,2018-09-02 19:33:04
