,brief,header,pubtime,savetime
0,对于利用空投来分发代币，比特币钱包供应商 Blockchain 的总裁兼首席法律官 Marco Santori 认为，「空投不会造成伤害，同时没有绕过证券法。事实上，空投可以做得更好。」,Blockchain CEO：空投没有绕过证券法,08:47,2018-10-21 18:28:13
1,数字货币场外交易（OTC）做市商 Genesis Global Trading 的 CEO Michael Moro 表示，他们有 2/3 贷款投资组合没有用于做空。Moro 表示，截至 9 月 30 日的活跃贷款中，只有 1/3 用于对冲或做空，60% 的贷款组合仍然是比特币，以太坊只占贷款组合的 4%。「所以做空并不是比特币或以太坊价格下跌的原因，它仅仅是自然人持有者实际卖出，而非看空者裸卖空。」,场外做市商：做空不是比特币或以太坊价格下跌的原因,08:46,2018-10-21 18:28:13
2,近日，加拿大一家比特币 ATM 公司被一名诈骗受害者诉，法官裁定该公司不承担由此造成的损失。受害者起诉加拿大 Instacoin ATM 机公司，要求取回她通过该公司的比特币 ATM 寄给骗子的 6.25 万加元，她一直以为自己是在把钱转到加拿大税务局（CRA）来缴税。法官表示，该女子是用比特币兑换现金，而不是让比特币 ATM 公司把钱送到税务机构，所以公司不应承担损失。,加拿大法官：比特币 ATM 不承担诈骗受害者的损失,08:33,2018-10-21 18:28:14
3,由于印度储备银行（RBI）的银行业禁令，印度交易所托管的点对点（P2P）加密货币交易平台的交易量正在迅速增加。「印度人正以惊人的方式升级到 P2P，」当地加密交易所 Wisirx 的首席执行官 Nischal Shetty 表示。随着印度最高法院继续推迟审理针对 RBI 的银行业禁令的申诉，越来越多的印度交易所针对银行问题实施了自己的解决方案，如使用 P2P 交易和启动加密货币 ATM。,印度加密交易所 P2P 交易量正迅速增加,08:32,2018-10-21 18:28:14
4,印度交易所 Unocoin 官推表示，「我们的机器（ATM 机）运行得不太好，但几乎没有主流媒体进行报道。该机器仍处于最终测试模式，并将在未来一周开始运行。这台机器已从原来的安装地点临时搬离。」据悉，由于印度监管机构不断加密货币业务进行限制，印度交易所 Unocoin 正尝试使用稳定币和比特币 ATM 机来帮助用户继续交易。,Unocoin：将在未来一周开始运行稳定币和比特币 ATM 机,08:29,2018-10-21 18:28:14
5,东京大学、信息技术公司 Japan Unisys、电力公用事业公司 Kansai electric Power 和日本最大的三菱 UFJ 银行（Mitsubishi UFJ Bank）将合作研究由区块链提供动力、管理电力直接交易的专门平台的可行性。该研究涉及到太阳能发电等可再生能源的广泛使用，这将导致目前的电力供应系统从传统的大规模集约型转变为自我持续的分布式发电。,日本 Unisys 将建立区块链平台以促进电力交易,08:22,2018-10-21 18:28:14
6,俄罗斯议员在宣读一份关于数字货币监管的法案草案前，将加密货币挖矿的定义从草案中删除。因此，新法律将不会涉及矿业公司的税务问题。杜马金融市场委员会主席阿克萨科夫表示如果法律要定义加密挖掘，那么它也需要定义加密货币。他进一步补充说，将采矿纳入政府提出的监管将是「毫无意义的」 。他认为，如果需要，采矿应该由税务监管机构管辖。,俄罗斯数字货币监管草案删除加密货币挖矿定义,08:12,2018-10-21 18:28:14
7,韩国 SK 电讯宣布计划展开一系列区块链业务，首先于明年第一季度推出基于区块链技术的数字身份证。10 月 18 日，SK 电讯已经与韩国土地住宅公社签署合作协议，将把数字身份证用于出租房申请资格管理等。,韩国 SK 电讯将推出基于区块链技术的数字身份证,07:31,2018-10-21 18:28:14
8,ICO 评级公司最近的一份报告发现，只有 46% 的加密货币交易所达到了预期的安全参数，其余 54% 的交易所被认为采取了低于标准的安全措施，使得数十万交易员和投资者面临风险。样本交易所包括 100 家交易所，所有交易所的 24 小时交易量均超过 100 万美元。,超过一半的交易所都有安全漏洞,03:56,2018-10-21 18:28:14
9,莱特币官方宣布，即将发布的 Litecoin Core 0.17 将降低网络费用 10 倍。目前网络上的平均交易费用每 KB 为 0.05 美元，调整后将变每 KB 为 0.005 美元，并回到 2015 年的水平。核心首席开发人员 Adrian Gallaghe 表示，为了鼓励更多人使用 Litecoin，我认为降低费用是件好事。,莱特币新版本拟降低 10 倍手续费，回到 2015 年水平,14:14,2018-10-21 18:28:14
10,日本的传统风险投资机构 Infinity Ventures 计划明年推出一个目标全球市场的区块链投资基金，该机构未披露此基金具体规模。Infinity Ventures 目前的投资人包括大和证券、日本的电信运营商 KDDI 和 Line 等。该风投已经涉足区块链领域投资，投资了台湾的两家加密资产交易所 MaiCoin 和 Cobinhood。该机构合伙人黄立安是这两笔投资的背后推手，他常驻台湾，也是 17 直播的投资人之一，同时是 17 直播创始人黄立成的堂弟。黄立成近期创立了区块链社交项目秘银（Mithril），进入加密货币领域。,日本风投 Infinity Ventures 计划推出目标全球的区块链投资基金,08:11,2018-10-21 18:28:14
11,去中心化金融衍生品公司 dYdX 完成 1000 万美元的 A 轮融资，由 a16z 和 Polychain Capital 领投，Craft Ventures、贝恩风投、Dragonfly Capital、VY Capital、Abstract Ventures、1confirmation 和 Kindred Ventures 跟投。该公司推出了可以用于做空以太坊代币 ETH 和其他 ERC20 标准代币的协议，该协议可以用于对这些代币进行杠杆投资。其创始人 Antonio Juliano 于 2015 毕业普林斯顿大学于计算机科学专业，曾经是 Coinbase 的软件工程师，后在 Uber 工作过一段时间，之后，短暂创立过一家名为「Weipoint」的初创公司，开发一种针对去中心化网络的搜索引擎。该公司去年 10 月完成 200 万美元的种子轮融资，Andreessen Horowitz 和 Polychain 领投，Kindred Ventures 和 Abstract Ventures 跟投。,可做空以太坊代币的去中心化衍生品公司 dYdX 完成 1000 万美元 A 轮融资,07:54,2018-10-21 18:28:14
12,刚刚宣布将入场加密货币领域的资产管理巨头富达集团已经在 LinkedIn 上发布招聘广告，为其新设立的 Fidelity Digital Assets 招募人才。目前发布的相关职位包括高级技术风险分析师、高级交易结算分析师等职位。,富达发布招聘启事，为新设立的加密资产公司招募人才,05:48,2018-10-21 18:28:14
13,国际反洗钱金融行动特别工作组（FATF）表示，明年夏天之前将公布一系列打击加密货币领域洗钱活动的规定，将针对加密资产交易所推出牌照机制或监管规定，这些措施亦有可能涉及数字钱包和提供 ICO 服务的公司。FATF 将定期评估各国实行这些规定的情况，一旦认定某国推行不力，可能被列入国际反洗钱组织的黑名单，限制进入国际金融系统。,反洗钱国际组织计划明年夏天前推出加密货币领域反洗钱规定,03:27,2018-10-21 18:28:14
14,互联网安全公司 Group-IB 发布的年度报告显示，自 2017 年初以来，来自朝鲜名为「Lazarus」的黑客组织是 14 起加密资产交易所被盗事件的幕后主谋，共有约 5.71 亿美元的加密资产在这些黑客攻击中被盗。,报告：朝鲜黑客组织 Lazarus 今年以来共盗取 5.71 亿美元的加密资产,02:26,2018-10-21 18:28:14
15,原计划于今年 11 月启动的以太坊君士坦丁堡（Constantinople）升级将推迟至 2019 年年初。在周五的一个电话会议上，以太坊开发者确认了这一决定，希望能够在明年 1 月末或 2 月份完成升级。开发者最近在测试网络上发布的以太坊升级代码中发现了几个问题，目前正在进行修补。,以太坊君士坦丁堡升级将推迟至 2019 年年初,02:25,2018-10-21 18:28:15
16,安永发布的报告显示，通过 ICO 等方式募资的加密货币项目，已经有约三分之一几乎失去全部价值，86% 的项目目前的交易价格低于上市价格，2017 年进行 ICO 的项目中，有 71% 仍然缺乏可用产品。,安永：约三分之一 ICO 代币几乎失去全部价值,02:19,2018-10-21 18:28:15
