,brief,header,pub_time,type,url
0,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
1,浪潮商用机器公司是浪潮控股的中国本土服务器厂商,母公司背书，浪潮与IBM10亿合资的IPS携POWER9全线新品亮相,3小时前,业界,https://www.leiphone.com/news/201810/nZUe0qC5IYcM642a.html
