,brief,header,news_url,pubtime,savetime
0,揭秘北京限竞房时代大数据，别墅需求如何办？来源：大伟看楼市 楼市稳，供应“小”，需求越来越大！7月过去了，在7月全月31天，北京合计二手房住宅签约14826。环比下调了6.3%。但同 ...,北京别墅大数据：库存不足7000套 购房者希望收藏,http://finance.sina.com.cn/china/gncj/2018-08-15/doc-ihhtfwqr4236619.shtml,大数据,2018-08-15 19:49:45
1,原标题：安徽合肥推进建设国家健康医疗大数据中部中心？？？？大数据中心总部（含机房）效果图。资料图 中新网合肥8月15日电(夏莹)近日，合肥市委、市政府召开了专题会议，调度部 ...,安徽合肥推进建设国家健康医疗大数据中部中心,http://news.sina.com.cn/o/2018-08-15/doc-ihhtfwqr8143353.shtml,大数据,2018-08-15 19:49:45
2,原标题：大数据打造“智慧案管”福州市鼓楼区检察院改进软硬件设施推进案件管理工作 福建法治报-海峡法治在线8月15日讯？“智慧案管”建设是案件管理工作迈向规范化、科学化和智能 ...,大数据打造“智慧案管”,http://news.sina.com.cn/c/2018-08-15/doc-ihhtfwqr7346806.shtml,大数据,2018-08-15 19:49:45
3,原标题：5G、云计算、大数据…一个很牛的试车场在襄阳初建成 5G、云计算、大数据等技术大显身手 襄阳初步建成智能网联化汽车试验场 湖北日报讯（记者李剑军、通讯员达安宣）国家智 ...,5G、云计算、大数据…一个很牛的试车场在襄阳初建成,http://news.sina.com.cn/o/2018-08-15/doc-ihhtfwqr6930350.shtml,大数据,2018-08-15 19:49:47
4,分析人士认为，9月份MSCI将进入纳入A股的第二步，有望带来约165.4亿美元的增量资金。近期，多数外资机构仍对A股市场前景看好，以QFII为代表的外资动向愈发受到市场关注。今日本报特从QFII ...,三大数据解密外资新动向 QFII二季度增仓21股,http://finance.sina.com.cn/money/fund/jjcc/2018-08-15/doc-ihhtfwqr3011053.shtml,大数据,2018-08-15 19:49:47
5,新华社贵阳8月15日电（记者肖艳）全国首个大数据综合试验区贵州，加快推动大数据与实体经济、社会治理、民生服务、乡村振兴的深度融合，深耕大数据“试验田”。据贵州省大数据发展 ...,贵州：“四个融合”深耕全国首个大数据“试验田”,http://finance.sina.com.cn/roll/2018-08-15/doc-ihhtfwqr3942264.shtml,大数据,2018-08-15 19:49:47
6,原标题：教育部公示大学申报新专业 大数据继续领跑 教育部公示大学申报新专业和申请撤销专业 新增专业共2542个 高校申报新专业 大数据领跑 大学申报新专业和申请撤销专业眼下正在公示 ...,教育部公示大学申报新专业 大数据继续领跑,http://news.sina.com.cn/o/2018-08-15/doc-ihhtfwqr3393676.shtml,大,2018-08-15 19:49:47
7,原标题：人像大数据 精准抓逃犯“他刚走进售票大厅，还没开始买票就被我们抓获了。”前不久，一名白发男子来到贵阳市金阳客车站准备坐车去往外地，车站监控摄像头采集到他的面部 ...,人像大数据 精准抓逃犯,http://news.sina.com.cn/c/2018-08-15/doc-ihhtfwqr2600146.shtml,大数据,2018-08-15 19:49:47
8,如今它却有望成为世界领先的电商零售企业。京东正在推动人工智能、大数据和机器人技术的发展，同时为第四次工业革命建立零售业的基础设施。利用其在全球零售行业的专长，并投 ...,只争朝夕，京东发力人工智能、大数据与机器,http://tech.sina.com.cn/roll/2018-08-14/doc-ihhtfwqq8666776.shtml,大数据,2018-08-15 19:49:47
9,为进一步加快推进大数据产业发展，培育转型发展新动能，山西省吕梁市着力推进从“挖煤”到“挖数据”的转变。冯帅摄 中新网太原8月14日电(刘小红)为进一步加快推进大数据产 ...,山西吕梁从“挖煤”到“挖数据”：大力发展大数据产业,http://finance.sina.com.cn/roll/2018-08-14/doc-ihhtfwqr1128136.shtml,数据,2018-08-15 19:49:47
