,brief,header,news_url,pubtime,savetime
0,新华社杭州9月17日电（记者马剑）随着大数据时代到来，个人信息泄露的问题日渐凸显。阿里巴巴（中国）有限公司等12家大数据企业17日在杭州签署《个人信息保护倡议书》，承诺保障 ...,阿里巴巴等12家大数据企业发起个人信息保护倡议,http://tech.sina.com.cn/i/2018-09-17/doc-ifxeuwwr5208487.shtml,大数据,2018-09-17 20:11:53
1,大数据时代下，如何让停车更“智慧”很多车友都在抱怨，在城市里开车出行，较担心的就是车子开到了目的地，却找不到停车位，而对于这种情况，很大原因是因为数据的不流通而导致的 ...,数博热词|大数据时代下，如何让停车更“智慧”,http://news.sina.com.cn/c/2018-09-17/doc-ihkhfqns0825152.shtml,大数据,2018-09-17 20:11:53
2,原标题：数博短评 大数据技术榜单凸显贵州求贤若渴 贵州省科技厅日前发布全省大数据领域技术榜单，针对贵州大数据产业的关键技术瓶颈，制定首批大数据技术榜单，确立块数据与区域 ...,数博短评 大数据技术榜单凸显贵州求贤若渴,http://news.sina.com.cn/c/2018-09-17/doc-ihkhfqns0824909.shtml,大数据,2018-09-17 20:11:53
3,原标题：数博热词｜“大数据医疗”会在哪些方面影响我们的生活？随着近两年大数据的快速发展，及各行业对大数据运用，渐成浪潮渗透到每个行业中，如大数据医疗，大数据交通，大 ...,数博热词｜“大数据医疗”会在哪些方面影响我们的生活？,http://news.sina.com.cn/c/2018-09-17/doc-ifxeuwwr5302093.shtml,大数据,2018-09-17 20:11:53
4,原标题：数谷巡礼丨保持大数据先行优势 打造中国数谷？周四维 制图“紧紧围绕打造中国数谷，全力以赴发展数字经济。加快推进国家大数据综合试验区核心区建设，保持大数据先行优势 ...,数谷巡礼丨保持大数据先行优势 打造中国数谷,http://news.sina.com.cn/c/2018-09-17/doc-ihkhfqns0825511.shtml,大数据,2018-09-17 20:11:54
5,原标题：数博热词|“大数据产业”提高人工效率 随着智能技术在现实生活中的广泛应用，人们越来越感受到电子产品为生活所带来的各种便利，特别是在20世纪80年代，智能家居的出现更 ...,数博热词|“大数据产业”提高人工效率,http://news.sina.com.cn/c/2018-09-17/doc-ihkhfqns0824892.shtml,大数据,2018-09-17 20:11:54
6,原标题：数博热词|“大数据便民服务”开启政府服务新模式 近年来，随着新一代信息技术的迅猛发展，数据的数量、规模不断扩大，数据已日益成为一种重要的生产要素和重要资源。谁掌 ...,数博热词 |“大数据便民服务”开启政府服务新模式,http://news.sina.com.cn/c/2018-09-17/doc-ihkhfqns0824838.shtml,大数据,2018-09-17 20:11:54
7,"依托大数据助力贵州交通“乘云而上”近年来,省交通运输厅认真贯彻落实交通运输部和省委、省政府推进大数据发展的战略部署，以国家大数据(贵州)综合试验区建设为契机，以交通大数据 ...",数博热词 | 依托大数据助力贵州交通“乘云而上”,http://news.sina.com.cn/c/2018-09-17/doc-ihkhfqns0824965.shtml,大数据,2018-09-17 20:11:54
8,本文原标题：《大数据有话说丨2019全球毕业生就业竞争力排名 清华进入前十名》9月12日，QS全球高等教育集团发布了2019年度全球毕业生就业竞争力排名。中国共有34所进入前500名，其中内 ...,大数据丨2019全球毕业生就业竞争力排名，清华进入前十名,http://news.sina.com.cn/o/2018-09-17/doc-ifxeuwwr5280256.shtml,大数据,2018-09-17 20:11:54
9,36氪获悉，AI＋教育类项目极课大数据已经完成？C 轮融资，本轮为好未来战略融资。2017 年 10 月，团队获得了丹华资本（DHVC）和 A 轮投资方？XVC？参与跟投的 1 亿元 B 轮融资。极课大数据创 ...,「极课大数据」完成 C 轮融资，本轮为好未来战略投资,http://tech.sina.com.cn/roll/2018-09-16/doc-ifxeuwwr4885769.shtml,大数据,2018-09-17 20:11:54
