,brief,classes_name,header,news_url,pubtime,savetime
0,11月19日，习近平文莱之行的多场活动在文莱努洛伊曼王宫展开。这是习近平第一次到访。,澎湃新闻,习近平的首次文莱之行，这七个视角您值得一看,https://www.thepaper.cn/newsDetail_forward_2652134,9小时前,2018-11-20 20:28:56
1,学校简称的争议延伸到了武汉地铁站名的使用上。武汉地铁集团根据华中科技大学方面的意见，将原本定名的“华科大站”更名为“华中大站”。,澎湃新闻,谁的“华中大”？,https://www.thepaper.cn/newsDetail_forward_2653653,1小时前,2018-11-20 20:28:57
2,近日，针对俞敏洪有关女性的错误言论，全国妇联、北京市妇联等均发声予以批驳。11月20日，俞敏洪专程来到全国妇联机关，向广大女同胞诚恳道歉。,澎湃新闻,俞敏洪到全国妇联机关向广大女同胞道歉：深感不安和自责,https://www.thepaper.cn/newsDetail_forward_2654092,2小时前,2018-11-20 20:28:57
3,20日下午，何引丽接受北青报记者采访表示，志愿者没有必要自责。她认为，对自己能披国旗深感荣幸。同时，她也表示，希望在以后的比赛中，自己能在跑完终点后再披上国旗。,澎湃新闻,何引丽：没有对递国旗志愿者感到生气，只是对比赛结果很遗憾,https://www.thepaper.cn/newsDetail_forward_2654510,43分钟前,2018-11-20 20:28:57
4,1月20日，证监会发审委召开年内第175次发审会，山东青岛农商行IPO成功过会，将成为A股首家资产规模超过2000亿元的农商行。,澎湃新闻,青岛农商行过会，将成A股首家资产规模超2000亿的农商行,https://www.thepaper.cn/newsDetail_forward_2653853,15分钟前,2018-11-20 20:28:57
5,两国元首共同规划双边关系未来发展，达成重要共识，一致决定在相互尊重、坦诚相待、平等互利、合作共赢基础上建立中菲全面战略合作关系。,澎湃新闻,习近平同菲总统杜特尔特举行会谈：建立中菲全面战略合作关系,https://www.thepaper.cn/newsDetail_forward_2654746,16分钟前,2018-11-20 20:28:57
6,联合国副秘书长、联合国环境署执行主任埃里克·索尔海姆表示，城市、州、民间社会组织和私营部门可能是二氧化碳减排斗争中的重要资源。,澎湃新闻,特朗普“退约”后续：联合国称非国家行动者成为减排关键因素,https://www.thepaper.cn/newsDetail_forward_2654371,20分钟前,2018-11-20 20:28:57
7,11月20日，A股三大指数全天呈现单边下挫走势，创业板指数大跌2.80%，个股一片惨绿，沪深两市翻红个股仅345只。,澎湃新闻,A股市场大跌逾2%后怎么走：“此次调整不会是反弹结束”,https://www.thepaper.cn/newsDetail_forward_2653967,24分钟前,2018-11-20 20:28:57
8,当地时间11月16日，美国芝加哥第四高楼电梯电缆出现断裂，下坠84层，厢内6人无伤亡。消防员在11层的车库墙壁上凿开一个洞以进入电梯进行救援救援。,澎湃新闻,美国一高楼电梯下坠84层，厢内载6人,https://www.thepaper.cn/newsDetail_forward_2653649,24分钟前,2018-11-20 20:28:57
9,美国总统特朗普当地时间19日再度通过社交媒体账户“炮轰”巴基斯坦。这已经是特朗普连续两天通过不同的渠道接连指责巴基斯坦拿钱不办事。,澎湃新闻,特朗普再批巴基斯坦“拿钱不回报”，巴总理：不做替罪羊,https://www.thepaper.cn/newsDetail_forward_2653905,24分钟前,2018-11-20 20:28:57
10,国家主席习近平20日抵达马尼拉，开始对菲律宾共和国进行国事访问。习近平指出，中菲两国一衣带水，是地缘相近、血缘相亲、文缘相通的友好邻邦。,澎湃新闻,视频｜习近平抵达马尼拉，开始对菲律宾共和国进行国事访问,https://www.thepaper.cn/newsDetail_forward_2654584,24分钟前,2018-11-20 20:28:57
11,根据《中国足球协会职业俱乐部名称规范》（征求意见稿），俱乐部名称被要求非企业化、中性化，若在规定时间未能通过足协认证，俱乐部将不被授予或被取消联赛准入资格。,澎湃新闻,中国足协拟出台俱乐部名称规范，要求非企业化、中性化,https://www.thepaper.cn/newsDetail_forward_2654582,25分钟前,2018-11-20 20:28:57
12,宠物狗随地大小便污染环境，遛狗不牵狗绳惊吓到老人小孩，大型犬、烈性犬在居民家中随意豢养……近段时间以来，不文明养犬行为常常见诸媒体。,澎湃新闻,新华社：不文明养犬让宠物背恶名，治理既靠规范也靠自觉,https://www.thepaper.cn/newsDetail_forward_2654333,29分钟前,2018-11-20 20:28:57
13,山东青岛的陈永昌曾是中石油的的正式员工，父亲去世后，为照顾母亲和岳母，他放弃了自己的工作，担负照顾老人的任务二十年。他说，工作不干就不干了，照顾老人天经地义。,澎湃新闻,辞去央企工作，男子照顾母亲岳母二十年,https://www.thepaper.cn/newsDetail_forward_2654364,31分钟前,2018-11-20 20:28:58
14,在流感医疗救治中要充分发挥中医药特色优势，辨证论治，尽早应用中医药技术方法开展治疗，努力提高临床疗效。,澎湃新闻,国家卫健委：在流感医疗救治中要充分发挥中医药特色优势,https://www.thepaper.cn/newsDetail_forward_2654158,35分钟前,2018-11-20 20:28:58
15,有记者问，一名澳大利亚官员称，中方今年对澳发起越来越多的网络攻击，盗窃知识产权，外交部对此有何评论。耿爽回答：纯属子虚乌有，凭空捏造，既不专业，也不负责任。,澎湃新闻,澳大利亚媒体称中方对澳发起网络攻击，外交部：凭空捏造,https://www.thepaper.cn/newsDetail_forward_2654308,40分钟前,2018-11-20 20:28:58
16,11月20日，山西太原。国电太原第一热电厂锅炉和冷却塔同时爆破。该建筑始建于1953年，先后进行过六期扩建，系当地标志性建筑。,澎湃新闻,太原第一热电厂锅炉和冷却塔同时爆破,https://www.thepaper.cn/newsDetail_forward_2654580,43分钟前,2018-11-20 20:28:58
17,11月20日，（山东省）青岛市公安局网络警察支队发布案情通报显示，日前，青岛市成功破获首起自媒体敲诈勒索案，三名犯罪嫌疑人已经被依法逮捕。,澎湃新闻,青岛破获首起自媒体敲诈勒索案，三名嫌疑人勒索地产商44万,https://www.thepaper.cn/newsDetail_forward_2654539,43分钟前,2018-11-20 20:28:58
18,九次方大数据创始人、贵阳大数据交易所有限公司王叁寿表示，农产品单品种大数据是行业发展战略的“先锋队”和“排头兵”，也是农业大数据全局的关键棋。,澎湃新闻,王叁寿：单品种大数据是农业大数据的关键,https://www.thepaper.cn/newsDetail_forward_2654111,44分钟前,2018-11-20 20:28:58
19,曾红极一时的福建运动品牌“喜得龙”，其法定代表人林水盘因骗取贷款、票据承兑罪而获刑六年。11月20日，福建省晋江市人民法院对该案进行公开宣判。,澎湃新闻,喜得龙法定代表人因骗取贷款、票据承兑罪获刑六年,https://www.thepaper.cn/newsDetail_forward_2654501,45分钟前,2018-11-20 20:28:58
20,11月20日山东济南。一条供热管道突爆裂，热水流出致2人被烫伤。据齐鲁网，水深近20厘米；伤者包括一14岁学生，烫伤面积近40%。事发后，热力公司赶到现场抢修。,澎湃新闻,济南街头供热管爆裂，14岁学生烫伤,https://www.thepaper.cn/newsDetail_forward_2654459,49分钟前,2018-11-20 20:28:58
21,11月17日，河南新乡。六年前甄玉娟前夫赵磊车祸去世，几年来她坚持留在前夫家照顾患病的公婆。2015年她和赵恒走到一起，而赵恒也决定陪妻子一同把老人照顾下去。,澎湃新闻,再嫁仍留前夫家：把患病公婆照顾下去,https://www.thepaper.cn/newsDetail_forward_2653718,49分钟前,2018-11-20 20:28:58
22,美国纽约市前市长、亿万富翁迈克尔·布隆伯格向母校约翰斯·霍普金斯大学捐款18亿美元（约合124.9亿元人民币），希望以助学金形式帮助出自中低收入家庭的本科学生。,澎湃新闻,布隆伯格给母校捐款18亿美元，凸显美大学生还贷压力,https://www.thepaper.cn/newsDetail_forward_2654479,55分钟前,2018-11-20 20:28:58
