,brief,header,pubtime,savetime
0,据 SBI 官方消息，由 SBI 控股公司和美国分布式分类帐技术（DLT）创业公司 Ripple 创建的合资公司 SBI Ripple Asia，作为处理电子支付的特许代理商已完成向日本关东财务局注册。据日本金融厅（FSA）的说法，任何希望作为代理人运营的实体都必须在当地财务局注册，以便使用银行的开放 API 处理电子支付。SBI Ripple Asia 首席执行官冲田贵史上月表示，该公司目前正寻求在今年秋季正式推出这项服务，并补充称，该应用程序将在 iOS 和安卓设备上都可用。,SBI Ripple Asia 完成注册成为处理电子支付特许代理商,17:44,2018-09-26 20:54:45
1,日前火币正式发布社交网络 Huobi Chat，称其为「区块链时代的社交网络服务平台，未来的自治性社交网络」。,火币正式发布社交网络服务平台 Huobi Chat,16:33,2018-09-26 20:54:45
2,近日，MyToken 正式接入首家去中心化交易平台 Newdex。接入 Newdex 后，MyToken 为用户提供实时查询各类 EOS 主网 token 行情，交易所间比价服务。,MyToken 首次接入去中心化交易所 Newdex,16:27,2018-09-26 20:54:45
3,在华盛顿国会山举办的数字货币主题讨论会上，多人提议将 72 年颁发的证券法应用于数字货币，代替美国证券交易委员会目前使用的 1946 年由美国最高法院的发布的「豪伊测试」（Howey Test）的标准来确定加密货币是否为证券。美国证券交易委员会主席 Jay Clayton 则明确表示，他不打算更新这些标准以迎合数字货币。,美国 SEC 主席拒绝更换证券法版本以适应数字货币,11:05,2018-09-26 20:54:45
4,一项覆盖俄罗斯 50 种主要方言群体的调研报告显示，自俄罗斯政府 4 月颁发 Telegram 禁令以来，Telegram 上数字货币相关的内容的读者数量增加了 21%，俄罗斯数字货币前 50 强集团的成员数量也在增长。俄罗斯观众最感兴趣的是「加密货币」和「商业/经济」类别的主题，其中包括创业公司。他们的读者数量分别增长了 49％ 和 35％。,研究显示：Telegram 上与加密相关的电报频道成员数量一直增加,10:48,2018-09-26 20:54:45
5,股票交易代理商 Robinhood 日前在官方推特上发布消息称，已面向阿拉斯加用户开放虚拟货币交易。,Robinhood 面向阿拉斯加用户开放虚拟货币交易,10:31,2018-09-26 20:54:45
6,"区块链垂直资讯平台比推 Bitpush 宣布，获得知名数字资产管理平台「币优」的战略投资。在此之前，比推已获得亦来云联合创始人韩锋、私募基金 UniValues Associates 及路印协议基金会的投资。比推采用 Token 激励体制, 组建国际化 UGC 媒体社区，同时开发加密货币交易市场的数据和分析工具，近期刚刚发布 iOS 和安卓系统的移动应用。",比推 Bitpush 获币优战略投资，布局全球区块链内容和数据平台,10:12,2018-09-26 20:54:45
7,据 Ambcrypto 消息，莱特币创始人李启威（Charlie Lee）近日在一场区块链行业会议上表示，数字货币的用户目前大多停留在投机炒作的阶段。但是他希望，社区能够超越投机的界限，并意识到莱特币是一种健全的数字货币。他还认为，人类可能需要一代人的时间，才能意识到数字货币在获取自由方面的价值。,李启威：希望社区超越投机的界限,10:10,2018-09-26 20:54:45
8,赵长鹏近期在专访中谈及法币交易所，他表示在各个国家开设法币交易所就像做实验一样；谈及未来计划，他表示将在今年底明年初上线去中心化交易所，马耳他、泽西、列支敦士登这三个地方目前比较确定，应该会推进法币交易所，其他几个目前还不能公开；谈及慈善，他表示区块链可以改变慈善事业，慈善也可以进行区块链教育普及，是双赢；谈及市场，他表示对行业很有信心，过去八年币价上涨 200 万倍，未来再涨 1000 倍很容易；谈及稳定币，他表示对一部分希望发行法定数字货币的国家和地区会很有启发；谈及总部，他表示币安没有总部，「我在哪儿那里就是总部」。,赵长鹏：在各个国家开设法币交易所就像做实验一样,10:05,2018-09-26 20:54:45
9,关于持仓大户账号被盗事件，EOS 核心仲裁论坛 ECAF 在北京时间周二晚通过官网发布最新命令，说明已收到诉讼者所提供的相关证明证据，其中包括 EOS 账号的所有权证明，要求所有 BP 拒绝处理以下黑客转移代币相关账号的交易直到有其他最新通知。,EOS 核心仲裁论坛最新指令：要求所有 BP 拒绝处理相关账号交易,08:14,2018-09-26 20:54:45
