,brief,header,pubtime,savetime
0,硬件钱包 Ledger 的亚太区负责人 Benjamin Soong 接受 Coindesk 采访时透露，Ledger 计划在全线产品中支持稳定币。目前 Ledger 旗下的 Ledger Nano 和 Ledger Blue 两个产品线可以支持 USDT，但是针对机构投资者的服务并不支持 USDT。Benjamin Soong 是 Ledger 刚刚任命的亚太区负责人。Ledger 计划积极拓展亚太市场，刚刚宣布进入香港市场。,硬件钱包 Ledger 计划在全线产品中支持稳定币,18:01,2018-10-31 20:03:27
1,官方消息，物信链 CPChain 旗下数据共享平台 PDash于 10 月 31 日正式于 GitHub 开源发布，并将于 11 月 5 日公布 PDash 完整演示视频以及详细功能介绍。2019 年 1 月还将招募社区志愿者进行 PDash 内测。PDash 是数据存储和分享的平行分布式架构的缩写，由钱包、商城、代理网络、链4个模块构成，其用户面向所有广大数据主体，包括普通个人和企业端用户。PDash 旨在消除数据提供者与消费者之间的信息差距，并为双方提供一个公正、透明、高效的数据交易平台，在保护用户隐私的前提下，用户对自身数据拥有所有权，可自由支配和交易，实现数据的安全自由流动，充分发挥数据流动的价值，打造一个全新的物联网商业生态。未来，PDash 将聚焦数据共享与互通，打破交通、医疗等领域数据孤岛现状，是区块链应用在物联网领域的又一重要探索。,物信链 CPChain 旗下数据共享平台 PDash 代码正式开源,18:00,2018-10-31 20:03:27
2,韩国金融服务委员会 FSC 主席 choi Jong-Ku 重申，在向韩国本地加密货币交易所提供虚拟银行账户的过程中，不存在与合规和安全相关问题。只要加密货币交易所都配备有 KYC 和反洗钱 AML 系统，交易所将能获得银行服务。,韩国金融服务委员会主席批准银行与加密货币交易所合作,16:45,2018-10-31 20:03:27
3,去中心化的 AI 驱动型零售行业区块链项目 OSA DC 首席执行官 Alex Isaiev 接受媒体采访时指出， IBM 和沃尔玛这样的巨型企业最近炒作过一波关于区块链如何改变零售行业的案例，但是实际上，这些公司运用的都是私有链，数据并不公开，也不透明，对消费者而言，很难从中受益，零售行业如想从区块链这项创新技术中获益，必须选择更加创新的方式。OSA DC 是全球第一个去中心化的 AI 驱动型零售行业区块链项目，为零售商、生产者和消费者提供实时解决方案。Alex Isaiev 表示，已经有多个大型零售商选择该平台提供的解决方案，并已经初见成效。,OSA DC 首席执行官：IBM 和 沃尔玛在区块链上的应用更像炒作,15:25,2018-10-31 20:03:27
4,"据 TokenInsight 数据分析，近 24 小时内，ETH 链上转账数 608,397，较 24 小时前下降 1% ，活跃地址数 378,700，较 24 小时前持平，新增地址数 113,735，较 24 小时前增加数上升 26%，交易所成交量 13.6 亿美元，较 24 小时前下降 10%，DApp 日度活跃用户量10,474，较 24 小时前下降 11%，DApp 日度交易量 13,970 ETH（目前 DApp 成交量的 78% 由去中心化交易所的交易构成），较 24 小时前下降 30%。独立分析师 James 认为，29 日的通证市场震荡是导致 30 日 ETH 热度暴涨的主要原因，而今天这种热度下降明显，预计 2-3 天内 ETH 会恢复平静。",TokenInsight：29 日市场震荡致使 30 日 ETH 热度暴涨，今日热度已下降,14:34,2018-10-31 20:03:27
5,"据媒体报道，今日凌晨 EOSCast 游戏遭遇黑客攻击，7 万多 EOS 被黑客转走。区块链安全公司 PeckShield 随即对相关账号链上数据展开深入分析发现，今晨 00:15 起，黑客 refundwallet 尝试对 EOSCast 游戏合约「eoscastdmgb1」实施攻击，黑客先以「假 EOS」攻击方式进行转账攻击 8 次，未能得逞，后又采用「假EOS转账变种」的方式成功攻击 9 次。根据游戏规则，黑客分别以 100、1,000、10,000 个假 EOS 展开攻击，每次攻击可得到 198、9,800、19,600 个不等的 EOS，在实施最后一次攻击时，游戏方察觉到异常攻击，及时转走了奖金池仅剩的 8,000 个 EOS。最终，黑客共计获利 72,912 个 EOS，根据 EOS 当前行情 35 元估算，EOSCast 平台损失超 255 万元。受此影响，EOSCast 游戏已紧急下线，据了解，该游戏上线仅 10 个小时。",EOSCast 遭「假 EOS 转账变种」攻击，损失 7 万多 EOS,14:24,2018-10-31 20:03:28
6,Coinbase 首席运营官接受彭博采访时表示，Coinbase 近期应该不会进行 IPO，Coinabse 近期的主要目标是加速加密货币的使用，包括支持稳定币的使用，目的是让用户感受到加密货币带来的便利。,Coinbase 近期不会进行 IPO,13:40,2018-10-31 20:03:28
7,据 ejinsight，Circle 首席执行官Jeremy Allaire 近期表示：「CENTRE（Centre.io）正在考虑其他由法币支持的稳定币，并且有一些亚洲公司正在寻求成为 CENTER 稳定币的成员和发行人，CENTER 还将扩大到其他货币区。我们相信，法币支持的代币的开放标准是互联网下一阶段的关键基础设施层，在接下来的几年里，我们预计区块链扩展解决方案的结合和法币支持稳定币集成到消费者和移动支付应用中将引领加密技术的广泛应用。」,Circle 首席执行官：正考虑其他由法币支持的稳定币,12:26,2018-10-31 20:03:28
8,著名风险投资家、A16Z 普通合伙人 Benedict Evans 发表推文表示，今天的加密世界与 1993 年和 1999 年的互联网世界有很多相同的地方：有巨大的潜力，但是应用案例寥寥无几，泡沫、骗局和缪误混合一体。他写道：「如果只看到加密世界里那些骗局，就像在 1999 年观察互联网时只看到了泡沫；如果只看到加密世界里面没有应用案例，就像在看 1993 年的互联网，当时网页的流量只占互联网流量的 3% 。」,风投大师 Benedict Evans：加密世界有巨大的潜力，但充斥泡沫、骗局和缪误,09:30,2018-10-31 20:03:28
9,硬件钱包制造商 Ledger 宣布进入香港市场，并任命 Benjamin Soong 为亚太地区负责人。Benjamin Soong 此前任职标准普尔，负责亚太区市场资讯产品的销售工作。,硬件钱包制造商 Ledger 宣布进入香港市场，并任命亚太负责人,09:01,2018-10-31 20:03:28
