,brief,header,pubtime,savetime
0,针对于 EOS 持仓大户被盗 EOS 事件，为了保护、尊重个人资产，Starteos 节点呼吁各节点联合起来，冻结该账户。Starteos 已率先冻结了此账户。,Starteos 节点：已冻结被盗 EOS 账户,18:48,2018-09-25 20:03:05
1,据 Diar 报告显示，70％ 的代币现价低于 ICO 发行价格。TokenData 数据显示，2018 年 8 月成功进行 ICO 的项目数量创一年来新低，仅有 17 个代币。在 2017 至 2018 年完成 ICO 并筹集超过 23 亿美元的代币中，超过三分之一尚未在任何交易所上市。,数据显示：目前 70% 代币价格跌破 ICO 发行价,18:30,2018-09-25 20:03:05
2,「gm3dcnqgenes」账号被盗 209 万枚 EOS。今日凌晨 3 点，该账号被更新 owner 和 active 私钥，之后，黑客将所有 EOS 进行赎回操作，并变卖了大量糖果。目前 ECAF 正在处理该案件。,持仓大户被盗 209 万枚 EOS，ECAF 正在处理该案件,17:44,2018-09-25 20:03:05
3,全球逾 75 家大型银行已加入银行间信息网络（IIN），该网络一直在支付领域测试区块链技术。摩根大通、加拿大皇家银行和澳新银行已对该网络进行了 11 个月的测试，以确定区块链技术是否能加快出现错误或需要额外合规检查的支付速度。,超过 75 家银行加入摩根大通测试区块链支付,17:38,2018-09-25 20:03:05
4,据 Diar 报告显示，美国政府机构对专业的区块链分析公司的需求提高，旨在减少潜在的逃税、洗钱、恐怖主义融资、毒品暗网市场等非法活动。公共记录表明，迄今为止，美国政府机构与区块链分析公司签订交易合同的金额达 570 万美元，大多数机构的交易对象是 Chainalysis。美国政府机构中，国税局（IRS）支出最多，占比 38%，其次是移民及海关执法局（ICE）、联邦调查局（FBI），这三家总支出占全美政府机构总支出的 85％。,报告：美国政府机构已与区块链分析公司签订 570 万美元订单，国税局支出最多,17:29,2018-09-25 20:03:05
5,加密资产管理平台 Caspian 宣布，Coinbase 将与 Caspian 合作，使 Caspian 与专业交易平台 Coinbase Prime 整合，为专业加密交易公司提供机构级订单和投资组合管理工具。,Coinbase 与加密资产管理平台 Caspian 达成合作,17:10,2018-09-25 20:03:05
6,"OKEx 公告称，法币交易区将于 10 月 9 日 19:00 上线可关闭银行卡收款,仅使用支付宝或微信二维码收款的功能，该功能仅限认证商家使用。在法币区交易的所有用户请在 2018 年 10 月 9 日 19:00 前，完成支付宝及微信二维码自检操作，确保二维码绑定的是本人真实且有效的信息。",OKEx 将于 10 月 9 日 19 时在法币交易区上线关闭银行卡收款功能,17:06,2018-09-25 20:03:05
7,美国东部时间 9 月 24 日，数字资产交易所 Bgogo 和公链项目 Ultrain 宣布将在区块链技术、社区和生态系统开发方面建立战略合作伙伴关系，双方还将进行相互战略投资以确保合作成功。Bgogo 是社区自治类的数字资产交易平台，旨在世界范围内甄选上线最优质的区块链项目。Ultrain 成立于 2017 年，致力于下一代区块链公链基础设施研发与推广，将构建一个真正去中心化的生态系统，赋能和支持建筑未来的商业场景。,Bgogo 与 Ultrain 达成战略合作,16:30,2018-09-25 20:03:05
8,据币安官方微博，在昨日第 73 届联合国大会上，币安区块链慈善基金会（BCF）与联合国开发计划署（UNDP）签署合作协议，BCF 将向 UNDP 捐赠百万美金，双方共同致力于推动区块链技术应用与促进社会公益事业发展。,币安慈善基金会与联合国签署合作协议，共同支持区块链公益,16:14,2018-09-25 20:03:05
9,日本金融厅向加密货币交易所 Zaif 的母公司 Tech Bureau 发布了业务整改命令，这是继 3 月和 6 月之后的第三次整改通知。,日本金融厅向 Zaif 母公司发布业务整改命令,15:35,2018-09-25 20:03:05
