,brief,header,pubtime,savetime
0,ENS 与英国上市公司 MMX 域名注册局达成合作，把 .eth 域名技术应用到 .luxe 顶级域名上。luxe 代表 Lets U Xchange Easily，意思是让你轻松交易，也将是首个支持 ENS 服务的顶级域名。.luxe 域名的持有者可将域名与钱包地址和智能合约地址绑定，也可以绑定到 IPFS 和 Swarm 上存储的去中心化内容，甚至用于命名你的加密猫……ENS 会在 10 月 9 日提前对购买过 .eth 域名的用户开放 .luxe 域名的购买，届时可通过 imToken 提前预定，预售期截止至 2018 年10 月 25日。,imToken 将支持 ENS 首个顶级域名 .luxe,18:48,2018-10-05 20:02:45
1,加密交易所 Bibox 第七期投票上币活动刚刚结束投票环节，面向零售行业的区块链项目 OSA DC 成为本期投票环节的冠军。OSA DC 是全球首个依托人工智能的去中心化市场，向零售商、制造商和消费者提供实时有货率技术解决方案。该项目已为可口可乐、玛氏、欧莱雅等世界著名零售商和制造商品牌提供服务。,Bibox 第七期上币投票活动结束，OSA DC 成为投票环节冠军,13:54,2018-10-05 20:02:45
2,美国证券交易委员会 (SEC) 发布公告，称将在 10 月 26 日作出关于 GraniteShares 比特币 ETF 发行申请的最终决定，在该日之前，邀请各方及公众提交支持或反对意见。GraniteShares 比特币发行申请由 Cboe BZX 提出。8 月 22 日，SEC 发布公告称拒绝 GraniteShares 提出的比特币 ETF 发行申请，但之后又表示，将进一步评估这些申请。,SEC 将在 10 月 26 日作出 GraniteShares 比特币 ETF 发行申请的最终决定,09:03,2018-10-05 20:02:45
3,NewsBTC 报道称，根据 Athena Bitcoin 和 Odyssey Group 两家加密货币 ATM 机运营商披露的商业计划，到 2019 年年底，阿根廷境内将有可能设置 1500 台比特币 ATM 机，以此来应对该国严重的通货膨胀。Athena Bitcoin 和 Odyssey Group 两家公司计划在今年年底之前，在阿根廷设置 30 台比特币 ATM 机。,预计 2019 年底阿根廷比特币 ATM 机数量将达到 1500 台，以应对通货膨胀,08:28,2018-10-05 20:02:45
4,Overstock.com 旗下的区块链加速器 Medici Ventures 宣布，向以色列的区块链初创公司 VinX 投资数百万美元。VinX 是一家为红酒期货交易提供供应链平台的初创公司，可以让红酒鉴赏家和收藏者提前一两年购买尚在酒庄橡木桶里的红酒，之后在市场上出售。该公司通过把这些红酒期货注册成区块链上的代币，实现避免假货出现的情况。Medici Ventures 获得了 VinX 20%的股权。,Overstock 旗下加速器 Medici Ventures 投资利用区块链进行红酒期货交易的初创公司 VinX,07:37,2018-10-05 20:02:45
5,美国专利商标局文件显示，阿里巴巴为一个区块链交易处理方式提交了专利申请。阿里巴巴提出的区块链交易方式允许第三方管理员执行特殊交易，从而中止智能合同或冻结与非法活动有关的账户。该技术的发明人为阿里巴巴员工「WU Hao」。,阿里巴巴在美提交区块链专利，其技术允许第三方管理员中止智能合同,05:21,2018-10-05 20:02:45
6,Ripple 联合创始人 Chris Larsen 近再次入选福布斯美国 400 富豪榜并排名 382位。据福布斯估算，Chris Larsen 身家约为21亿美元，相比年初已经大幅缩水。今年年初的时候，他的身家一度达到 373 亿美元。,Ripple 联合创始人 Chris Larsen 身家从年初的 373 亿美元缩水至 21 亿美元,04:35,2018-10-05 20:02:45
7,以太坊扩容技术开发商 Skale Labs 宣布完成一轮融资，共融得 965 万美元资金，由 Multicoin 领投， Aspect Ventures、Blockchange Ventures、Boost.VC、Canaan Venture Partners、Galaxy Digital、FLOODGATE Fund、Hack.VC、Neo Global Capital、Signia Venture Partners 等机构跟投。Skale Labs 在 Plasma 框架内开发以太坊扩容基础设施，由硅谷工程师 Jack O'Holleran 和 Stan Kladko 联合创立。,以太坊扩容技术开发商 Skale Labs 获得 965 万美元投资，Multicoin 领投,02:50,2018-10-05 20:02:45
8,据彭博社报道，Coinbase 第五号员工、机构平台主管 Adam White 将离职。该公司已经任命 Instinet 前首席执行官 Jonathan Kellner 接替 Adam White 的职位，管理针对机构投资者的业务。,Coinbase 机构平台主管将离职,01:24,2018-10-05 20:02:46
9,Ripple 发布的「区块链支付」报告揭示了采用基于区块链支付的「临界质量」，另外各种组织都期待将数字资产整合到跨境支付流程中。Boston Consulting Group 最近的报告显示，全球跨境支付额为 27 万亿美元，到 2026 年，交易量可能会达到 47 万亿美元。,报告：2026 年跨境支付市场价值或将达到 47 万亿美元,07:28,2018-10-05 20:02:46
