,brief,header,pub_time,url
0,据路透报道，知情人士透露，软银集团接近达成向网约车公司Grab投资约5亿美元的协议。在本轮融资中，Grab公司希望能够获得10亿美元的融资。已经成立六年的Grab此前共获得了60多亿美元的融资，其中大部分资金来自软银、滴滴出行和丰田汽车。（腾讯证券）,滴滴参与投资的网约车公司Grab即将获得软银5亿美元投资,2018-10-05 18:10,http://stock.qq.com/a/20181005/007344.htm
1,香港交易所5日公布的数据显示，今年前三季度，共有166家公司在香港上市，较去年同期的114家上升46%；首次公开招股集资金额为2427亿港元，较去年同期的876亿港元增加近1.8倍。香港交易所今年有望重夺全球首次公开招股市场集资桂冠。Dealogic数据显示，香港交易所新股集资额今年前三季度全球排名第一，大幅超越排名第二和第三名的纽交所和纳斯达克。（e公司）,香港交易所前三季度新股集资额全球排名第一,2018-10-05 17:35,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=https://36kr.com/newsflashes/139070&title=%E9%A6%99%E6%B8%AF%E4%BA%A4%E6%98%93%E6%89%805%E6%97%A5%E5%85%AC%E5%B8%83%E7%9A%84%E6%95%B0%E6%8D%AE%E6%98%BE%E7%A4%BA%EF%BC%8C%E4%BB%8A%E5%B9%B4%E5%89%8D%E4%B8%89%E5%AD%A3%E5%BA%A6%EF%BC%8C%E5%85%B1%E6%9C%89166%E5%AE%B6%E5%85%AC%E5%8F%B8%E5%9C%A8%E9%A6%99%E6%B8%AF%E4%B8%8A%E5%B8%82%EF%BC%8C%E8%BE%83%E5%8E%BB%E5%B9%B4%E5%90%8C%E6%9C%9F%E7%9A%84114%E5%AE%B6%E4%B8%8A%E5%8D%8746%25%EF%BC%9B%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E6%8B%9B%E8%82%A1%E9%9B%86%E8%B5%84%E9%87%91%E9%A2%9D%E4%B8%BA2427%E4%BA%BF%E6%B8%AF%E5%85%83%EF%BC%8C%E8%BE%83%E5%8E%BB%E5%B9%B4%E5%90%8C%E6%9C%9F%E7%9A%84876%E4%BA%BF%E6%B8%AF%E5%85%83%E5%A2%9E%E5%8A%A0%E8%BF%911.8%E5%80%8D%E3%80%82%E9%A6%99%E6%B8%AF%E4%BA%A4%E6%98%93%E6%89%80%E4%BB%8A%E5%B9%B4%E6%9C%89%E6%9C%9B%E9%87%8D%E5%A4%BA%E5%85%A8%E7%90%83%E9%A6%96%E6%AC%A1%E5%85%AC%E5%BC%80%E6%8B%9B%E8%82%A1%E5%B8%82%E5%9C%BA%E9%9B%86%E8%B5%84%E6%A1%82%E5%86%A0%E3%80%82Dealogic%E6%95%B0%E6%8D%AE%E6%98%BE%E7%A4%BA%EF%BC%8C%E9%A6%99%E6%B8%AF%E4%BA%A4%E6%98%93%E6%89%80%E6%96%B0%E8%82%A1%E9%9B%86%E8%B5%84%E9%A2%9D%E4%BB%8A%E5%B9%B4%E5%89%8D%E4%B8%89%E5%AD%A3%E5%BA%A6%E5%85%A8%E7%90%83%E6%8E%92%E5%90%8D%E7%AC%AC%E4%B8%80%EF%BC%8C%E5%A4%A7%E5%B9%85%E8%B6%85%E8%B6%8A%E6%8E%92%E5%90%8D%E7%AC%AC%E4%BA%8C%E5%92%8C%E7%AC%AC%E4%B8%89%E5%90%8D%E7%9A%84%E7%BA%BD%E4%BA%A4%E6%89%80%E5%92%8C%E7%BA%B3%E6%96%AF%E8%BE%BE%E5%85%8B%E3%80%82%EF%BC%88e%E5%85%AC%E5%8F%B8%EF%BC%89
2,接近香港大都会人寿的人士向记者透露，美国大都会人寿（MetLife）决定终止出售中国香港业务。据该人士介绍，此番终止出售的原因可能涉及两方面：一是买卖双方在收购细节上没有达成共识，因此决定终止出售；二是这一交易事项需要经过中国内地、中国香港以及美国三地监管的同时批准，考虑到监管批复的可能性，买家决定终止购买行为。（每日经济新闻）,美国大都会人寿终止出售中国香港业务,2018-10-05 17:33,http://www.nbd.com.cn/articles/2018-10-05/1260235.html
3,10月5日，联想集团收盘跌15.10%，报5.06港元。联想集团盘中一度重挫23%，创下近十年来最大下跌。今日，联想集团发布声明表示，超微并非其供应商，作为国际企业，联想将采取大量措施保障供应链的持续完整性。（新浪科技）,联想集团收盘跌15.10%，创下近十年来最大跌幅,2018-10-05 16:43,https://tech.sina.com.cn/it/2018-10-05/doc-ifxeuwws1212336.shtml
4,据台湾媒体报道，富士康近日与山东济南市政府合作成立了37.5亿元人民币投资基金，以推动山东省的半导体产业发展。根据与济南市政府达成的协议，富士康将利用集团资源在济南市协助组建5家IC设计公司和1家大功率半导体公司。（投资界）,富士康与济南合作成立37.5亿元投资基金，加强在半导体领域部署,2018-10-05 15:40,http://www.sohu.com/a/257783428_439726
5,中国研究人员领导的一个国际研究团队4日说，他们完成了迄今最大规模的中国人基因组测序和分析，有助于揭示基因与生育的联系以及了解中国人口基因结构。这项发表在新一期美国《细胞》杂志上的研究显示，深圳华大基因研究院用“无创产前基因检测”技术收集了超过14万名中国孕妇的部分基因组样本。（新华社）,研究人员完成迄今最大规模的中国人基因组测序,2018-10-05 15:02,http://www.xinhuanet.com/2018-10/05/c_1123521243.htm
6,德国市场研究公司Gfk的统计数据显示显示，在今年8月，得益于Note 9的出色表现，三星高端智能手机的销售额在印度市场上占有60%的份额，销量占有62.5%的份额。（界面）,8月三星统治印度高端智能手机市场，占比超过60%,2018-10-05 14:15,https://www.jiemian.com/article/2516141.html
7,巴黎国际车展今年正逢120岁，车展呈现的特点是知名品牌“冷热不均”，新能源车十分亮眼。国际知名汽车品牌中，德系汽车厂商奥迪、奔驰和宝马携各自新款车型亮相。奥迪带来全新Q3，宝马全新X5亮相，奔驰则推出GLE。此外，奥迪和宝马还分别首发全新A1与全新3系轿车。新能源汽车继续抢滩登陆，多家厂商对外展示了新款电动汽车，吸引参观者驻足观看。（澎湃）,120岁巴黎车展：知名品牌“冷热不均”，新能源车矩阵亮相,2018-10-05 14:12,https://www.thepaper.cn/newsDetail_forward_2502219
8,近日，骑士基金会（Knight Foundation）公布了一项针对 Twitter 假新闻账号的调查结果，发现在 2016 年有过前科的账户，仍有 80% 处于活跃状态。其通过工具追踪的 70 万个嫌疑账号，在 Twitter 上发布了 600 个阴谋论和假新闻媒体内容，次数超过了千万次。（cnBeta）,2016年散播假新闻的Twitter账户，仍有80%处于活跃状态,2018-10-05 14:06,https://www.cnbeta.com/articles/tech/774577.htm
9,外媒 MacRumors 今日报道称，来自苹果的一份内部文件显示，由于苹果 T2 芯片的高级安全功能，iMac Pro 和 2018 年的 MacBook Pro 机型必须通过苹果的诊断，才能完成某些维修工作。文件显示，对于 2018 年的 MacBook Pro，这一要求适用于涉及显示器、逻辑板、Touch ID、外壳、键盘、电池、触控板和扬声器的维修。对于 iMac Pro，这个要求只适用于逻辑板和闪存的维修。（威锋网）,苹果内部文件：第三方无法维修iMac Pro/新MBP,2018-10-05 13:42,https://www.feng.com/iPhone/news/2018-10-05/Internal-documents-the-third-party-is-unable-to-repair-the-iMac-Pronew-MBP_699281.shtml
10,据分析公司 Mixpanel 收集的数据显示，iOS 12 在发布两周多一点的时间里，已经安装在 46% 的 iOS 设备上。iOS 12 的安装率很快将超过 iOS 11，因为 Mixpanel 的数据显示 iOS 11 的安装率已经降至 46.57%。（威锋网）,iOS 12两周安装率达到46%，即将取代iOS 11,2018-10-05 13:40,https://www.feng.com/iPhone/news/2018-10-05/_699279.shtml
11,在卡瓦诺的听证会过程中，媒体在旁听席意外看到了Facebook全球政策副总裁乔·卡普兰的身影。他的出现依然让Facebook诸多员工感到愤怒，尤其是诸多女性员工。在强大的舆论压力下，卡普兰最终被迫在公司内部道歉。“我希望对此道歉。我意识到这个时刻非常令人不快，无论是内部还是外部。”（新浪科技）,Facebook高管被迫道歉：旁听卡瓦诺听证会是我错了,2018-10-05 13:00,https://tech.sina.com.cn/i/2018-10-05/doc-ihkvrhps4890244.shtml
12,特斯拉首次发布季度车辆安全报告。在该报告中，公司表示，在今年第三季度，在没有Autopilot的情况下，特斯拉车主每行驶192万英里将“发生一起事故或碰撞”。当司机使用了Autopilot之后，特斯拉称，他们每行驶334万英里才发生一起事故或碰撞。但除此之外，特斯拉未公布更详细的细节。（新浪科技）,特斯拉发布首份季度安全报告 细节语焉不详,2018-10-05 12:54,https://tech.sina.com.cn/it/2018-10-05/doc-ihkvrhps4938712.shtml
13,有人发现Instagram正在设计一项隐私设置，这将允许其与Facebook共享用户的位置历史数据。这就意味着即便你没有在使用Facebook，Instagram收集的准确GPS坐标也会帮助Facebook投放广告并推荐相关内容。（新浪科技）,Instagram被曝拟将用户位置历史数据移交给Facebook,2018-10-05 12:41,https://tech.sina.com.cn/i/2018-10-05/doc-ihkvrhps4943613.shtml
14,36氪讯，中兴通讯H股大跌逾10%，创7月以来盘中最大跌幅，午盘报12.580元，跌幅为11.41%。最新市值527.44亿港元。,中兴通讯H股大跌逾10%，创7月以来盘中最大跌幅,2018-10-05 12:23,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=https://36kr.com/newsflashes/139057&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C%E4%B8%AD%E5%85%B4%E9%80%9A%E8%AE%AFH%E8%82%A1%E5%A4%A7%E8%B7%8C%E9%80%BE10%25%EF%BC%8C%E5%88%9B7%E6%9C%88%E4%BB%A5%E6%9D%A5%E7%9B%98%E4%B8%AD%E6%9C%80%E5%A4%A7%E8%B7%8C%E5%B9%85%EF%BC%8C%E5%8D%88%E7%9B%98%E6%8A%A512.580%E5%85%83%EF%BC%8C%E8%B7%8C%E5%B9%85%E4%B8%BA11.41%25%E3%80%82%E6%9C%80%E6%96%B0%E5%B8%82%E5%80%BC527.44%E4%BA%BF%E6%B8%AF%E5%85%83%E3%80%82
15,据外媒报道，戴尔已向纽约证交所提交了上市申请，因为它计划通过回购“追踪股票”来再次上市。该公司在周四提交给SEC的一份文件中称，如果此次上市申请被批准通过，戴尔能够完成涉及跟踪股票DVMT的217亿美元收购活动，那么该公司的新C类股票将能够上市交易，交易代码为DELL。（腾讯科技）,外媒：戴尔已向纽约证交所提交上市申请,2018-10-05 11:24,https://new.qq.com/cmsn/20181005/TEC2018100500454900
16,36氪讯，连续6天收涨之后，联想集团（下称联想）今日开盘后直线跳水，跌幅一度扩大逾20%，创造2014年2月以来最大盘中跌幅。截至目前，股价报4.83元，跌幅为18.96%，联想市值580.31亿港元。,联想集团股价一度暴跌逾20%，创四年以来最大盘中跌幅,2018-10-05 11:16,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=https://36kr.com/newsflashes/139055&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C%E8%BF%9E%E7%BB%AD6%E5%A4%A9%E6%94%B6%E6%B6%A8%E4%B9%8B%E5%90%8E%EF%BC%8C%E8%81%94%E6%83%B3%E9%9B%86%E5%9B%A2%EF%BC%88%E4%B8%8B%E7%A7%B0%E8%81%94%E6%83%B3%EF%BC%89%E4%BB%8A%E6%97%A5%E5%BC%80%E7%9B%98%E5%90%8E%E7%9B%B4%E7%BA%BF%E8%B7%B3%E6%B0%B4%EF%BC%8C%E8%B7%8C%E5%B9%85%E4%B8%80%E5%BA%A6%E6%89%A9%E5%A4%A7%E9%80%BE20%25%EF%BC%8C%E5%88%9B%E9%80%A02014%E5%B9%B42%E6%9C%88%E4%BB%A5%E6%9D%A5%E6%9C%80%E5%A4%A7%E7%9B%98%E4%B8%AD%E8%B7%8C%E5%B9%85%E3%80%82%E6%88%AA%E8%87%B3%E7%9B%AE%E5%89%8D%EF%BC%8C%E8%82%A1%E4%BB%B7%E6%8A%A54.83%E5%85%83%EF%BC%8C%E8%B7%8C%E5%B9%85%E4%B8%BA18.96%25%EF%BC%8C%E8%81%94%E6%83%B3%E5%B8%82%E5%80%BC580.31%E4%BA%BF%E6%B8%AF%E5%85%83%E3%80%82
