,brief,header,pub_time,url
0,在中国产出机器学习人才最多的四所一流高校中，62%的学生毕业后选择去美国，留在国内的ML毕业生仅三成。,62%中国AI毕业生赴美，机器学习人才最高产大学出炉,2018-12-08,http://www.tmtpost.com/3634831.html
1,大家奋力一搏的，是未来十年百亿美元的场景。这也是为什么面对当今AI时代的芯片机会，会有这么多的公司All-in的原因。,巨头“芯”动，寒冬或与AI芯片无关,2018-12-08,http://www.tmtpost.com/3633474.html
