,brief,header,pubtime,savetime
0,中国人民银行副行长、国家外汇管理局局长潘功胜在第二届中国互联网金融论坛上表示，金融活动必须接受严格金融监管，任何金融活动不能脱离监管体系，不能以技术之名掩盖金融活动。他表示，设立金融机构，从业金融业务，必须严格遵守准入管理；准入管理的主体、日常监管的主体、机构展业的空间范围应该保持一致；要责任明确的监管主体，和清晰的日常监管规则，坚持监管规则的公平性，防止监管套利。潘功胜说，互联网金融、金融科技应该接受更为严格的监管，要总结对第三方支付、现金贷、虚拟货币交易场所、ICO 的监管经验，快速识别、及时应对和严格监管，避免相关风险蔓延。他还称，该思路也是未来防范和化解风险的主基调。,人行副行长：不能以技术之名掩盖金融活动本质,10:36,2018-12-08 20:04:14
1,以太坊开发团队在核心开发人员会议上就君士坦丁堡升级的激活时间达成一致，将 7080000 区块定为君士坦丁堡升级激活点，届时用户可以选择是否升级到新代码。这意味着君士坦丁堡升级将在 1 月 14 日至 18 日之间发生。,以太坊开发团队将在 7080000 区块激活君士坦丁堡升级,09:06,2018-12-08 20:04:14
2,TokenInsight 数据显示，反映区块链行业整体表现的 TI 指数北京时间 12 月 08 日 8 时报 308.81 点，较昨日同期下跌 7.18 点，跌幅 2.27%。TokenInsight 密切关注的 28 个细分行业中，24 小时内涨幅最高的为医疗应用行业，涨幅为 8.49%；24 小时内跌幅最高的为社交与内容平台行业，跌幅为 25.77%。BTC 全球交易额较昨日下降 15.12%，全网转账数较昨日上升 0.09% 至 26.4 万。BCtrend 分析师 Jeffrey 认为，BTC 价格昨日下跌 10%，活跃地址数单日仅上升 1.02%，市场进入麻木状态，BTC 或将延续低位调整。,TokenInsight ：BTC 活跃地址数单日仅上升 1.02%，市场进入麻木状态,09:04,2018-12-08 20:04:14
3,数字营销咨询机构 BDCenter 进行的统计显示，目前从社交网络上导向加密资产交易所的流量中，最大的来源是 YouTube，此外依次为推特和 Facebook。不过该研究指出，主要的交易所流量大部分均来自于直接访问，社交网络导向交易所的流量比例很低，例如，币安和 OKEx 近 80% 的流量都是直接访问。,报告：交易所来自社交网络的流量很低，最大来源是 YouTube,08:11,2018-12-08 20:04:15
4,美国证券交易委员会（SEC）向加密资产投资机构 CoinAlpha 处罚 5 万美元，因该机构未按章进行注册。CoinAlpha 在 2017 年成立了一支数字资产投资基金，从 22 位投资人募资 60 万美元，当时备案称「豁免证券发行」，但是事实上该公司并不符合豁免条件，并且也未向 SEC 注册。此外，SEC 称该公司也未实施客户认证流程，确保其投资者为合格投资者。据 Block123.com 的数据，CoinAlpha 联合创始人 Michael Feng 毕业于斯坦福大学，曾在 JP 摩根和花旗工作。此外，Republic Protocol 首席执行官 Taiyang Zhang 和 SharesPost 首席执行官 John Wu 为 CoinAlpha 顾问。,SEC 处罚加密资产投资机构 CoinAlpha 未按章注册,07:43,2018-12-08 20:04:15
5,委内瑞拉宣布，从明年 3 月起，出售石油不再换取美元，而是换取 Petro 代币。委内瑞拉国有媒体报道称，此举措是为了提高委内瑞拉发行的 Petro 代币在行业内的影响力，减少在国内及国际上对美元的依赖。,委内瑞拉出售石油将换取 Petro 代币，而非美元,06:46,2018-12-08 20:04:15
6,美国的加密资产交易所 Coinbase 宣布将在 Coinbase Pro 挂牌 CVC（身份认证）、DNT（去中心化市场和社区网络）、LOOM（以太坊侧链）和 MANA（去中心化虚拟世界）4 种代币，此外还列出了 30 余种可能在 Coinbase 挂牌的代币的名单。过去一年多时间里，每当加密货币宣布在 Coinbase 挂牌交易，均会短暂出现价格上涨的情况，被称为「Coinbase」效应。,Coinbase 将上线 4 种新代币，列出 30 余种可能挂牌的代币名单,03:54,2018-12-08 20:04:15
7,万事达卡声称已经开发出一种保持加密货币交易私密性的新方法。根据美国专利商标局周四公布的专利申请，支付巨头万事达卡提出了一种通过区块链进行交易的系统，该系统会混淆原点和交易金额。,万事达卡申请加密货币匿名交易的专利,18:48,2018-12-08 20:04:15
8,近日著名物理学家张首晟不幸去世后，因为时间和其他巧合，在中文世界出现一些阴谋论。为此，丹华资本团队发布官方声明称，301 调查是指美国贸易代表办公室依据《1974 年贸易法》第 301 条对美国的贸易伙伴国家进行调查。张首晟教授没有被 301 调查，他的去世与此无关。「FBI 突袭办公室」等纯属臆想。,丹华资本团队：张首晟教授的去世与 301 调查没有关系,18:20,2018-12-08 20:04:15
9,澳本聪在推特上表示：如果比特币无法在供应链上实现规模化，那就无法实现其安全性的承诺，尤其是在经济学概念上。比特币是个经济学模型，只有一个能存活下来。最大的区块才能获胜，在 2019 年将达到千兆级。,澳本聪：比特币是个经济模型,17:37,2018-12-08 20:04:15
