,brief,header,pubtime,savetime
0,欧盟监管机构欧洲证券及市场管理局（ESMA）表示，8 月 1 日欧盟强制执行的加密货币差价合约（CFDs） 2:1 的限制规定将于 11 月 1 日起再延长 3 个月。,欧盟监管机构将数字货币差价合约限制延长 3 个月,18:07,2018-09-28 21:26:32
1,日本 GMO Internet 集团旗下的电子认证业务公司 GMO GlobalSign 今日开始向全球出售加密货币挖矿软件「Cryptknocker by GMO」。Cryptknocker 对应的挖矿软件可以实现世界最高速的哈希率。使用该算法的除了 Zcash，还有 BTG 等。,日本 GMO GlobalSign 推出加密货币挖矿软件,15:53,2018-09-28 21:26:32
2,BitApp 今日宣布推出 BCH 插件钱包，BitApp 钱包提供资产管理及和 DApp 交互功能，资产管理目前已支持 ETH 和 BCH，DApp 交互现已兼容 ETH 的DApp，使用 BitApp 登录 DApp，无需账号密码。此外除Android、iOS 版本，BitApp 钱包将支持 Chrome 插件。BitApp 以「区块链应用」为中心，以钱包为载体，为开发者提供区块链基础设施服务，帮助更多开发者简单、快速的开发区块链应用，目前已获得 CoinEx 数百万元战略投资。,BitApp 推出 BCH 插件钱包，助力 BCH 生态发展,15:37,2018-09-28 21:26:32
3,云斗龙 HyperDragons 携手美国团队 Binary Mint 推出 Layer 2 扩容方案 Tenfold Protocol，首发落地火箭竞技场，全面解决区块链游戏「慢」和「贵」的问题，玩家游戏体验得以提升，用户数量和活跃度迅速增长。区块链 DApp 排行榜也争先支持扩容版区块链游戏的验证人网络消息统计数据，见证了云斗龙 HyperDragons 日活用户突破千人，同期比赛报名参与人数近百的傲人成绩，这也意味着云斗龙成为了继以太猫后首款活跃破千的爆款区块链游戏。随着云斗龙项目的日趋成熟，其创始团队 MixMarvel 即将发布同名的游戏平台和内容社区「MIXMARVEL」，该项目集优质内容与先进技术于一身，将成为链游行业的又一里程碑，有力地推动区块链游戏的大众化发展。,扩容版火箭竞技场率先落地，区块链游戏云斗龙日活突破千人,15:14,2018-09-28 21:26:32
4,印度交易所 Zebpay 在官方推特宣布，今日当地时间下午四点将关停交易所。未完成的订单将被取消并退回至用户的钱包。Zebpay 称，对银行账户的限制削弱了他们和客户进行业务交易的能力。目前无法找到合理的方式来进行加密货币交换业务，因此正在停止交易所活动。,印度最大的加密货币交易所之一 Zebpay 宣布停业,15:08,2018-09-28 21:26:32
5,据 tradearabia 消息，迪拜土地局（DLD）实施的区块链网络，赢得了阿联酋房地产商的强力支持。其区块链网络，与房地产行业的所有数字和手动流程相结合，为所有利益相关者引入共享网络，消除纸质文件、引入数字签署合同，旨在改善、保护和简化财产交易。总部位于迪拜的 AziziDevelopments 和总部位于阿布扎比的 ImkanProperties 等主要开发商是迪拜区块链战略的重点参与者。房地产投资展览 CityscapeGlobal 总监 TomRhodes 说：「区块链毫无疑问是影响房地产行业最重要的技术之一。」,迪拜土地局实施区块链网络计划,14:45,2018-09-28 21:26:33
6,9 月 28 日，在火币中国「链接产业，赋能实体」战略发布上，火币集团董事长李林表示，海南省有关政府部门的开放，包容吸引了火币中国落户海南。火币中国将帮助产业提供包括研究，培训，技术服务的一站式平台，李林宣布将在海南落地火币全球运营中心，北京总部将在未来升级为全球研发中心。,火币李林：将在海南落地火币全球运营中心,11:08,2018-09-28 21:26:33
7,据 Coindesk 消息，联合国资本发展基金（资发基金）、联合国开发计划署（UNDP）、塞拉利昂总统 Julius Maada Bio 和非营利组织 Kiva 周四在联合国大会第 73 届会议上宣布，将共同启动一个基于区块链的身份识别系统。,联合国与塞拉利昂将合作开发基于区块链的身份识别系统,10:24,2018-09-28 21:26:33
8,据 Trustnodes 消息，Tradingview 市场数据显示，基于以太坊平台的代币流动性非常强，处理的交易量远超苹果公司。截止发文前，苹果公司过去 24 小时处理的交易量为 1000 万美元；全球第二大公司亚马逊处理的交易量为 170 万美元；谷歌为 36 万美元。基于以太坊平台的 OmiseGo 的交易量是其市值的 10％，几乎是市值一万亿美元的苹果公司的五倍。,数据显示基于以太坊的代币处理的交易量远超苹果公司,10:21,2018-09-28 21:26:33
9,多中心化平台 Bankex 现已正式推出数字货币托管服务 BANKEX Custody Service。Bankek 托管服务将接受 BKX 和其他 ERC-20 通证，且不设最低存款额限制。此前 Bankex 已于 6 月提供 BTC、BCH、ETH 和 LTC 的托管服务。,Bankex 正式推出数字货币托管服务,07:07,2018-09-28 21:26:33
