,brief,classes_name,header,news_url,pubtime,savetime
0,9月30日是国家设立的烈士纪念日。当天上午，党和国家领导人将同首都各界群众代表一起，在天安门广场向人民英雄敬献花篮。,澎湃新闻,向人民英雄敬献花篮仪式30日举行，党和国家领导人将出席,https://www.thepaper.cn/newsDetail_forward_2485337,1小时前,2018-09-28 21:25:20
1,银保监会表示，在两个月的征求意见期间，金融机构、行业自律组织、专家学者和社会公众给予了广泛关注，绝大多数意见已采纳或拟在理财子公司业务规则中采纳。,澎湃新闻,22万亿银行理财有了新规：较意见稿略松，公募理财可投股票,https://www.thepaper.cn/newsDetail_forward_2485275,53分钟前,2018-09-28 21:25:20
2,山东省菏泽市开发区丹阳路小学向小学生们发放的红领巾上，竟然印有“菏泽万达广场 ”广告，除此之外发放的学生帽上也印有该广告。,澎湃新闻,小学生红领巾上印“万达”广告，菏泽教育局：当天已全部收回,https://www.thepaper.cn/newsDetail_forward_2485500,54分钟前,2018-09-28 21:25:20
3,9月28日当晚，上海南京路沿线新世界城、第一百货商业中心、世茂广场、永安百货、时装商店、置地广场、华联商厦等商业地标将延长1小时营业时间至晚23点。,澎湃新闻,2018上海购物节开幕，南京路沿线商场延长营业至23时,https://www.thepaper.cn/newsDetail_forward_2485381,1小时前,2018-09-28 21:25:20
4,天津市关爱退役军人协会28日在津召开第一次会员大会暨成立大会。退役军人事务部对天津市在全国首创成立关爱退役军人协会给予充分肯定。,澎湃新闻,这个和退役军人有关的协会在津成立，退役军人事务部充分肯定,https://www.thepaper.cn/newsDetail_forward_2485498,17分钟前,2018-09-28 21:25:20
5,根据此次上海市彩灯开放期间的交通管制工作方案，10月1日至10月5日国庆实施交通管制，交通管制期间2、10号线南京东路站每日15：30起，实施临时封站。,澎湃新闻,10月1日至5日，上海地铁南京东路站15：30起实施封站,https://www.thepaper.cn/newsDetail_forward_2485481,17分钟前,2018-09-28 21:25:20
6,9月14日，长春市公安局刑警支队、农安县公安局联手作战，经过近40小时缜密工作，成功破获“9.12”特大珠宝店盗窃案，抓获犯罪嫌疑人客某，部分赃款、赃物被收缴。,澎湃新闻,长春警方破获“9.12”盗窃珠宝店案，被盗总价约310万,https://www.thepaper.cn/newsDetail_forward_2484774,18分钟前,2018-09-28 21:25:20
7,正式版本的《管理办法》最为突出的一点是，证券基金经营机构已经获准设立、收购子公司或者参股经营机构的规范过渡期由原来的24个月放宽至36个月。,澎湃新闻,券商基金设境外经营机构新规新在哪：过渡期放宽至36个月,https://www.thepaper.cn/newsDetail_forward_2485435,18分钟前,2018-09-28 21:25:20
8,针对近期交通运输部联合多部委对网约车平台的检查，交通运输部新闻发言人吴春耕表示，除了应急管理基础薄弱、非法营运问题突出外，滴滴等网约车平台还涉嫌行业垄断。,澎湃新闻,专家解读：交通运输部首次点名网约车涉行业垄断，向谁亮剑？,https://www.thepaper.cn/newsDetail_forward_2485442,19分钟前,2018-09-28 21:25:20
9,2018年10月1日-12月31日，是个人所得税的黄金减税期，有工资薪金所得的所有人都可以享受到每个月免征额从3500元提高到5000元，并执行新的税率表。,澎湃新闻,中国的税｜普通住房标准不合理，个税房贷利息支出应封顶扣除,https://www.thepaper.cn/newsDetail_forward_2484555,26分钟前,2018-09-28 21:25:20
