,brief,header,news_url,pubtime,savetime
0,财联社9月27日讯，工信部发布2018年大数据产业发展试点示范项目公示名单，包括中国电信股份有限公司云计算分公司的中国电信天翼大数据飞龙平台研发、深圳市腾讯计算机系统有限公司的 ...,工信部发布2018大数据产业发展试点示范项目公示名单,http://tech.sina.com.cn/i/2018-09-27/doc-ifxeuwwr8791473.shtml,大数据,2018-09-28 21:25:41
1,承诺不兑现；有些电商经营者刷销量、刷好评、删差评，严重误导消费者；有些平台出现“大数据杀熟”的情况，引发公众不满，等等。《电子商务法》将于2019年1月1日起正式施行，对电 ...,中消协解读《电子商务法》： 如何应对大数据杀熟,http://tech.sina.com.cn/i/2018-09-26/doc-ihkmwytp1502075.shtml,大数据,2018-09-28 21:25:41
2,应在关键指标与业务影响间，建立分析链] 近期，滴滴和华住接连发生的两起全国数据危机，说明了行业领军企业在“用好大数据”上还有很长的路要走。在滴滴顺风车司机杀人事件里，滴 ...,互联网企业可通过区块链技术用好大数据,http://tech.sina.com.cn/i/2018-09-26/doc-ifxeuwwr8236939.shtml,大数据,2018-09-28 21:25:41
3,多项技术专利，可以突破单机的存储和计算瓶颈。白皮书提到，百度将超级链技术与AI、大数据等技术相结合，相继推出图腾、百科上链、百度会学等六大应用。在内容版权领域，百度基于 ...,直击|百度区块链实验室发布白皮书 将结合AI、大数据,http://tech.sina.com.cn/i/2018-09-26/doc-ifxeuwwr8343672.shtml,大数据,2018-09-28 21:25:41
4,原标题：公共服务要有“大数据思维”张书城 深化治理改革、激活治理资源、创新管理手段、提升公共服务，大数据有大用处 大数据不仅是一种技术潮流，在应用过程中，也深刻影响着人 ...,人民日报：公共服务要有“大数据思维”,http://news.sina.com.cn/c/2018-09-26/doc-ifxeuwwr8208109.shtml,大数据,2018-09-28 21:25:41
5,原标题：【国土局】国土资源大数据助推“数字长春”建设 打造长春“智慧国土”构建资源管理新格局 为深入贯彻落实党的十九大精神，吉林省及长春市先后部署实施了“数字吉林 ...,【国土局】国土资源大数据助推“数字长春”建设 打造长春“智慧国土”构建资源管理新格局,http://news.sina.com.cn/https://news.sina.com.cn/c/2018-09-27/doc-ifxeuwwr8625069.shtml,大数据,2018-09-28 21:25:41
6,原标题：北航发起和主办的第五届大数据与计算智能研讨会在京召开 2018年9月22－23日，由北京航空航天大学大数据科学与脑机智能高精尖创新中心（以下简称：高精尖中心）发起和主办的 ...,北航发起和主办的第五届大数据与计算智能研讨会在京召开,http://news.sina.com.cn/https://news.sina.com.cn/o/2018-09-27/doc-ihkmwytp3858467.shtml,大数据,2018-09-28 21:25:41
7,原标题：张家界：通过大数据对比 发现疑似问题线索3366条 今年以来，张家界市纪委监委充分运用“互联网+监督”平台，念好“互、联、全”三字经，构建“线上和线下”双线监督模式 ...,张家界：通过大数据对比 发现疑似问题线索3366条,http://news.sina.com.cn/https://news.sina.com.cn/c/2018-09-27/doc-ihkmwytp3802725.shtml,大数据,2018-09-28 21:25:41
8,"原标题：电商平台不得删除评价 大数据杀熟将受到制约？？？？日前,经第十三届全国人大常委会第五次会议表决通过，并将于2019年1月1日起正式施行的《电子商务法》,是涉及众多消费者 ...",电商平台不得删除评价 大数据杀熟将受到制约,http://news.sina.com.cn/https://news.sina.com.cn/o/2018-09-27/doc-ihkmwytp3680107.shtml,大数据,2018-09-28 21:25:41
9,应在关键指标与业务影响间，建立分析链。近期，滴滴和华住接连发生的两起全国数据危机，说明了行业领军企业在“用好大数据”上还有很长的路要走。在滴滴顺风车司机杀人事件里 ...,区块链+大数据：助力互联网企业应对数据危机,http://finance.sina.com.cn/blockchain/roll/2018-09-26/doc-ihkmwytp1558276.shtml,大数据,2018-09-28 21:25:42
