,brief,header,pub_time,type,url
0,去年10月，阿里巴巴宣布成立“达摩院”。,达摩院官网今日上线，阿里城市大脑架构全揭秘,3小时前,AI+,https://www.leiphone.com/news/201809/nu3uxZqO376KEQtK.html
1,近期，又一家P2P平台——小赢科技——赴美上市。坦白讲，当下并非上市的好时机，已经上市的几家平台，如信而富、趣店、拍拍贷等，股价经过了连续10个月的下跌。,从小赢科技招股书，看P2P爆雷潮的行业影响,8小时前,AI+,https://www.leiphone.com/news/201809/zEdcWk8WpfMj1c5z.html
2,9月27日下午，京东集团宣布与其泰国尚泰集团(Central Group)一起打造的泰国线上零售平台JD CENTRAL将于9月28日正式上线运营。,抢滩东南亚，京东泰国零售平台 JD CENTRAL 正式上线运营,14小时前,AI+,https://www.leiphone.com/news/201809/cvDjfAK2LPi1SIBP.html
3,北京时间9月28日凌晨消息，英语教育平台英语流利说（NASDAQ：LAIX）周四正式在纽交所挂牌上市。,英语流利说上市首日：股价上涨 1.2% 市值 6.07 亿美元,14小时前,AI+,https://www.leiphone.com/news/201809/RymfdvSnjVIKzeTg.html
4,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
5,近日，NVIDIA终于揭开了全新Turing架构细节的面纱,NVIDIA Turing架构解析：追光逐影，成败未定,35分钟前,业界,https://www.leiphone.com/news/201809/dkoKhdvEXjivRA3p.html
6,PC成就的联想，还要往前走一步。,联想的转身,3小时前,业界,https://www.leiphone.com/news/201809/rl0TnPGfPzLqPnJu.html
7,9月19日，LG Display在广州汇华希尔顿逸林酒店召开“2018 OLED巅峰盛会(OLED Partners’ Day)”,LG Display举办OLED巅峰盛会 OLED已成大势所趋,3小时前,业界,https://www.leiphone.com/news/201809/PUgHJyAP9oC1BSQi.html
8,9月27日下午，在深圳市南山区滨海大道软件产业基地1栋A6层举行了“粒子创投加速器深圳基地”开幕启用仪式,粒子创投加速器签约清华深研院，共建“实验教学基地”,4小时前,业界,https://www.leiphone.com/news/201809/IDIMiJeEN6kR2HJh.html
9,随着新能源汽车行业的飞速发展，新能源汽车半导体元器件的要求以及需求也是与时俱进。,比亚迪突破国外垄断，自主研发IGBT列入核心竞争力,6小时前,业界,https://www.leiphone.com/news/201809/LDTq13UVbSeAEddG.html
10,马斯克一旦真的被判有罪，他将无法继续担任其在特斯拉的现有职位。,马斯克被美国政府部门告了，但他不是美国贾跃亭,9小时前,业界,https://www.leiphone.com/news/201809/XJScye8URNsxiKgx.html
11,基于美图影像实验室AI技术 BeautyCam美颜相机推出超清人像功能,美图影像实验室技术新突破 BeautyCam美颜相机超清人像功能突破硬件局限,9小时前,业界,https://www.leiphone.com/news/201809/aw6s4iEkdkvLGbLi.html
12,语音和翻译为核心技术的AI硬件也已然成为搜狗的重点投入领域。,王小川详解搜狗最新AI硬件——搜狗翻译宝Pro,10小时前,业界,https://www.leiphone.com/news/201809/pidThXFrWLZQpw2f.html
13,科大讯飞的成功靠的是AI核心战略：平台+赛道。,科大讯飞，是如何打造AI平台的？,10小时前,业界,https://www.leiphone.com/news/201809/mNTcX1kNrhPZoeMX.html
14,云原生如何滚滚向前？,对话灵雀云CTO陈恺：迁移上云需求和云原生技术已经产生交集,11小时前,业界,https://www.leiphone.com/news/201809/7cEiHKuPDdEcIvyl.html
15,雷锋早报来了！,交通运输部首次表态滴滴涉嫌垄断；官方回应,13小时前,业界,https://www.leiphone.com/news/201809/f3sADZdr9ASUs71d.html
