,brief,header,pub_time,type,url
0,精神影像学之父正在改变世界。,华西医院副院长龚启勇：脑医学与人工智能发展前沿丨CMAI 2018,2小时前,AI+,https://www.leiphone.com/news/201809/yBjLLseNZMhlQpeu.html
1,雷锋网AI金融评论报道，据外媒消息，据Ovum最新报告显示，近三分之二的银行认为未来三年内他们的支付基础设施需要进行重大升级，这也是公司数字化战略转型的关键部分,65%银行认为支付基础设施革新是数字化战略的关键,2小时前,AI+,https://www.leiphone.com/news/201810/PoCrZXchC8yt6iVk.html
2,以ABCD为底层技术的智能供应链金融迎来加速升温。,壹账通发布智能供应链金融平台，主攻5大技术应用场景,5小时前,AI+,https://www.leiphone.com/news/201810/w6EWSwsU2OETXijr.html
3,平安云首次向外界全面展示了其业务布局。,对话平安科技CTO方国伟：平安云的差异化在哪？,6小时前,AI+,https://www.leiphone.com/news/201810/jgS9Uc6wijbWLdoZ.html
4,在本次公开课中，讲者将分享其所在研究组关于多任务学习在自然语言处理领域的最新工作。,职播间 | 自然语言处理中的多任务学习 & 复旦大学NLP实验室介绍,9小时前,AI+,https://www.leiphone.com/news/201810/OpoTboRznJU8tixZ.html
5,在本次公开课中，我将分享其关于我们开发可扩展的端到端的谱聚类新方法的最新研究工作。我们提出的方法可以同时加速数据到图的构建和大矩阵特征分解，使得传统的谱聚类可以,"大讲堂 | 可扩展的端到端谱聚类 （Oral Paper, Wu et al, KDD 2018)",9小时前,AI+,https://www.leiphone.com/news/201810/2LBpQMwt97cPzJyr.html
6,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
7,它比软件防护更难取得突破，难度高得多了。,揭秘 Google Titan M 芯片：Pixel 3 的终极保镖是如何炼成的？ ,3小时前,业界,https://www.leiphone.com/news/201810/2LnEcuk4vH33VDMD.html
8,虽然未来将面临更多的挑战，但值得大家拭目以待。,美房云客：打造全球化VR地产数据服务平台,4小时前,业界,https://www.leiphone.com/news/201810/pZXdQYEkef9vfqjR.html
9,由AMD前芯片研发总监带领的团队用时两年多研发了一款声称超越Intel Movidius MyriadX和Nvidia Tegra X2的AI视觉芯片，事实,AMD前芯片研发总监创业两年多研发了一款超越Intel/Nvidia的AI视觉芯片,8小时前,业界,https://www.leiphone.com/news/201810/YLvUJzPED2533OcO.html
10,特斯拉已经从公司官网的预订页面下架了长期以来提供的“全自动驾驶”选项。,特斯拉官网下架“全自动驾驶”选项；马蜂窝回应“数据抄袭”；美媒：在欧预装谷歌应用要收费,11小时前,业界,https://www.leiphone.com/news/201810/3DTJrqts1LJUV06d.html
11,10月21日，京东集团与新泽西理工学院（NJIT）、中科院软件所在北京共同发起成立区块链联合实验室，并举行签约仪式。,京东与中科院、新泽西理工共同成立区块链联合实验室，推动区块链底层技术研发,18小时前,业界,https://www.leiphone.com/news/201810/89CuG3aIPNy1qO04.html
