,brief,header,pub_time,type,url
0,蚂蚁金服称，回归蚂蚁金服出任总裁，对于胡晓明来说，是回归他曾经熟悉的战场和领域。而对于蚂蚁金服来说，则是迎来了一位带着云计算技术管理经验的重要领头人。,蚂蚁金服总裁官宣，Pick胡晓明的理由只有一个,6分钟前,AI+,https://www.leiphone.com/news/201811/uaUq9jsCiSkrCecT.html
1,近年来，这个问题的研究者们都共同见证了思维、方法和性能方面的巨大变化。,大讲堂 | 深度学习时代的场景文字检测与识别,3小时前,AI+,https://www.leiphone.com/news/201811/EZ0JdF3COSGIo2sK.html
2,中国医疗AI正在世界范围内成为一股越来越重要的力量。,RSNA 2018 有哪些亮点？多位行业精英为你深度解读,7小时前,AI+,https://www.leiphone.com/news/201811/7VniR6yAzjwz3kGz.html
3,雷锋早报,曝恒大全面接管 FF 中国；富士康被证实将在美国裁员；微博确认收购一直播丨雷锋早报,12小时前,AI+,https://www.leiphone.com/news/201811/zSWQ6T3T2dh7tGuP.html
4,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
5,由一家公司公布政府的决定非常奇怪，且看起来非常尴尬。,华为 5G 设备被新西兰政府禁用，中国外交部回应,2小时前,业界,https://www.leiphone.com/news/201811/yIXo44I6M53oIxHL.html
6,eFPGA这种嵌入式的FPGA技术将如何推动AI的发展？7nm eFPGA设计又将如何被AI的发展影响？,AI加速发展和摩尔定律放缓如何影响7nm eFPGA的设计？,2小时前,业界,https://www.leiphone.com/news/201811/33xEy2tQIkZabLWz.html
7,该服务对 iPhone 的支持，虽然目前依旧处于 Beta 阶段。,Project Fi 更名为 Google Fi，支持多数 Android 机型和 iPhone,5小时前,业界,https://www.leiphone.com/news/201811/avTSQcEyuLTFtSFI.html
8,5G是历史上第一次不完全为了人类设计的通信网络。,技术、产业和终端：5G还要跨过多少山,9小时前,业界,https://www.leiphone.com/news/201811/TbTExvS0LpsvmO1G.html
9,芝加哥，11月28日，2018. 这是一个AI技术日新月异的时代，这是一个创新者乘风破浪的时代。,依图医疗发布AI全部位辅助诊断产品 全球癌症筛查智能诊疗平台助力肿瘤早筛,10小时前,业界,https://www.leiphone.com/news/201811/cgmC8Z1vX3sB9CxP.html
10,一文尽览AWS re:Invent重要发布,亚马逊AWS用180分钟发布十多个新品：含机器学习芯片、AI创新、区块链 |  re:Invent,12小时前,业界,https://www.leiphone.com/news/201811/4wdEIgG0GpQ7NLUv.html
11,雷锋网与NVIDIA全球副总裁兼自主机器事业部总经理Deepu Talla，围绕Jetson AGX Xavier AI计算平台进行了进一步的交流。,NVIDIA全球副总裁Deepu Talla：机器人行业有三大发展机会，企业应在市场需求中积极探寻,18小时前,业界,https://www.leiphone.com/news/201811/7fCZbA8n3nJxmOYI.html
