,header,pub_time,url,views
0,区块链将如何在太空领域发光发热,2018-08-11 17:19:26,http://www.8btc.com/blockchain-will-help-to-explore-space,1527
1,深入了解：为什么以太坊节点同步这么慢？,2018-08-11 16:30:02,http://www.8btc.com/getting-deep-into-geth-why-syncing-ethereum-node-is-slow,2946
2,比特大陆计划IPO，规模高达180亿美元,2018-08-11 16:12:35,http://www.8btc.com/crypto-unicorn-bitmain-weighs-18-billion-ipo,3848
3,年均投入超1.6亿美元，玩区块链，IBM是认真的,2018-08-11 14:48:23,http://www.8btc.com/ibm-people-blockchain,5853
4,新加坡风险投资公司推出1000万美元加密货币和区块链投资基金,2018-08-11 14:29:40,http://www.8btc.com/singapore-venture-capital-10-million-crypto,2176
5,日本金融监管机构公布加密货币交易所现场检查结果,2018-08-11 14:23:14,http://www.8btc.com/japans-financial-watchdog-crypto-exchange,2135
6,华尔街分析师表示比特币可能要Game over了,2018-08-11 13:46:49,http://www.8btc.com/game-over-wall-street-analyst-bitcoin,7833
7,外媒爆料：朝鲜黑客频现，6月袭击韩国交易所5次,2018-08-11 10:29:34,http://www.8btc.com/n-korea-crypto-hack,3824
8,数字商务协会报告回顾——它是否会成为行业的明灯,2018-08-11 10:12:18,http://www.8btc.com/chamber-of-digital-commerce-report-reviewed,1776
9,加密货币领域初具规模，传统银行如何从中分一杯羹,2018-08-11 09:51:46,http://www.8btc.com/how-traditional-banks-looking-to-enter-crypto-space,2374
10,史上最全共识算法盘点,2018-08-11 09:00:59,http://www.8btc.com/consensuspedia-an-encyclopedia-of-29-consensus-algorithms,5227
11,Coin Center：证券型代币应受到相应监管,2018-08-11 09:00:16,http://www.8btc.com/coin-center-securities-framework-cryptocurrencies,2173
12,为寻找中本聪，这次他们雇佣了私家侦探并筹款23.6万美元,2018-08-11 08:34:52,http://www.8btc.com/private-detectives-find-satoshi-nakamoto,4258
13,【巴比特每日热聊榜】闪电网络新玩法，公共涂鸦板1聪1像素,2018-08-10 18:50:06,http://www.8btc.com/p249722,4463
14,金融稳定委员会向G20提交一份关于监测加密货币市场框架的报告,2018-08-10 18:01:38,http://www.8btc.com/financial-stability-board-report-crypto-markets,5218
15,万亿台积电：比特大陆背后的“巨兽”,2018-08-10 17:46:58,http://www.8btc.com/tsmc-behind-bitmain,8841
16,比特币世界公开的秘密：闪电网络让数字支付变得更加美好,2018-08-10 17:39:48,http://www.8btc.com/bitcoins-open-secret,13344
17,“我二十几岁，只想暴富”,2018-08-10 17:20:05,http://www.8btc.com/20something,15057
18,澳大利亚煤炭小镇或将建成第一座太阳能发电的比特币挖矿农场,2018-08-10 17:06:44,http://www.8btc.com/australia-first-solar-powered-bitcoin-mining-farm,2985
19,微软云平台Azure推出以太坊权威证明算法,2018-08-10 16:28:57,http://www.8btc.com/microsoft-ethereum-proof-of-authority-azure,3972
