,brief,header,pub_time,type,url
0,在本次公开课中，讲者将与大家一同分享，在讲者过往参加机器人竞赛中，所使用不同的任务约束编程方法和动作规划经验。,大讲堂&专场问答 | 在机器人竞赛中任务的约束编程方法和动作规划,3小时前,AI+,https://www.leiphone.com/news/201811/6Hl99YFNUXhgVM5N.html
1,欢迎加入！,雷锋网大招募！,09月13日 16:23,业界,https://www.leiphone.com/news/201809/amneGfjKmtz17EJD.html
2,小米官方宣布将于11月28日至29日，在北京举行2018MIDC小米AIoT开发者大会。,小米AIoT开发者大会28日召开，雷军的AIoT和小米的这一年,47分钟前,业界,https://www.leiphone.com/news/201811/2eTCnR4uXFK38BOA.html
3,11月14日至15日，英特尔人工智能大会（AIDC）在北京举行。大会上，英特尔公司物联网事业部副总裁Jonathan Ballon发表了以“数据时代，人工智能产,英特尔物联网副总裁Jonathan Ballon：未来20年AI将有一半在边缘上,1小时前,业界,https://www.leiphone.com/news/201811/sRXw37fiH0Xkzlw3.html
4,这一轮比特币的暴跌让部分中小型矿场无奈转卖矿机清盘，甚至被人按照废铁的价格论斤卖。英伟达和比特大陆担心吗？,比特币“矿难”致矿机论斤卖，英伟达和比特大陆担心吗？,2小时前,业界,https://www.leiphone.com/news/201811/wt3xA6CnZJs8ZU92.html
5,从救星到出局，谷歌云CEO Diane Greene的3年“功过”,谷歌云CEO的离职内幕,7小时前,业界,https://www.leiphone.com/news/201811/HT6SVAeVkwT4n9HL.html
6,陈金培：“城市数据化”是下一个时代的重要命题,对话千寻位置：走向未来之城，“时空大脑”扮演怎样的角色？,10小时前,业界,https://www.leiphone.com/news/201811/k5R3rvCHQrbLX2iI.html
7,智云近日在高交会上发布了其云鹤系列的全新产品：智云云鹤 3 LAB。,云鹤 3 LAB背后，是智云想领跑稳定器行业的决心,10小时前,业界,https://www.leiphone.com/news/201811/9sP4bB415d4d5k42.html
