,brief,header,pubtime,savetime
0,慢雾区消息，如果文件类型处理不当将导致系统命令执行，被攻击者控制。此漏洞导致攻击者可以通过上传恶意构造的「图片」文件，当服务器在对「图片」进行裁剪、转换等处理时会执行攻击者构造的恶意指令。本漏洞在爆发之前已经对安全顾问服务对象预警过。据慢雾区可靠情报，此次攻击在 ImageMagick 漏洞爆发后已经存在被黑客利用攻击的行为，并且攻击者手法老练直接操作数据库攻击并且攻击后擦除攻击订单数据和攻击账号相关信息，交易所日常对账很难发现。由于事件影响面越来越大攻击事件越来越多。请各大交易所和项目方注意自查此漏洞并及时修复此问题。,慢雾区：使用 ImageMagick 软件处理图片的网站请尽快自查是否出现高危漏洞,17:44,2018-09-03 19:34:46
1,比特币核心开发人员 Jeremy Rubin 今日在 TechCrunch 上发文预测， 加密货币 ETH 将会归零，以太坊网络本身不会归零。而以太坊创始人 Vitalik Buterin 则正面回应 Jeremy 提出的相关问题，他认为 Jeremy 的论证是在以太坊不改变的基础上。 然而，社区正在考虑两个提案，这两个提案都将对使用 ETH 支付的需要写在了协议层中，因此认为 ETH 不会归零。,Vitalik Buterin 反驳 ETH 将归零说法,17:17,2018-09-03 19:34:46
2,Microsoft Azure 主管 Matt Kerner 称，微软正逐渐将其区块链服务与其他广泛使用的基础架构和平台--Office 365 Outlook 和 SharePoint Online等--建立联系。比如，微软正在将 Microsoft Flow 和 Logic Apps 等工具集成到 Azure Blockchain Workbench 中。Kerner 称，分布式账本技术 DLT 的一个较少讨论的好处是，它以大规模的标准格式聚集来自多家公司的数据。,微软正在将区块链技术与其主要产品建立联系,16:57,2018-09-03 19:34:46
3,近日，区块链安全节点钱包 Wetez 完成数百万人民币融资，本轮融资为 Continue Capital 和 Nirvana Capital 的战略投资。Wetez 是基于 POS 共识的一款安全节点钱包，目标成为多链节点工具，承接持币用户在链上的对接服务。本轮融资资金将用于服务社区烘培业务和业务拓展。Continue Capital 表示：「Continue Capital 一直致力于发现现有公有链中生态发展机会，而 Wetez 也将围绕公链开发者生态和用户生态，承担服务价值。Wetez 服务社区烘培业务也达到了百万级别，是目前中国唯一一个 Tezos 烘培节点服务商。」,Continue Capital、Nirvana Capital 战略投资 Wetez,16:12,2018-09-03 19:34:46
4,"加密交易分析师亚历克斯·克鲁格 Alex Kruger, 发推文质疑韩国第二大加密货币交易所 Bithumb 过去一周内每天都有交易量的「异常增加」，自 8 月 25 日以来每天有超过 2.5 亿美元的虚假交易量。克鲁格指出，这种异常增长是由该交易所推出「先到先得」的奖励回扣体制引起的大量刷单，目前，Bithumb 方面尚未对此回应。",分析师质疑 Bithumb 交易所每日虚假交易量超过 2.5 亿美元,15:54,2018-09-03 19:34:46
5,据彭博社报道，德意志银行资深银行家 Tomoo Onishi 创建的日本加密货币初创企业 FXcoin Ltd. 延揽另一位德银高管 Yasuo Matsuda 出任加密货币研究主管。49 岁的 Yasuo Matsuda 自 2012 年开始在德银担任外汇交易员，他加盟 FXcoin Ltd. 将对加密货币市场行情发布月报。FXcoin Ltd.正期待获得包括比特币在内的加密货币交易的监管批准。,德银资深外汇交易员加盟日本加密货币初创企业,15:29,2018-09-03 19:34:47
6,物联网驱动区块链平台 IOTA 宣布即将与德国汽车制造商大众发布现实世界整合案例。这款名为 Digital CarPass 的产品将在 2019上市，将通过 IOTA 区块链技术追踪网络，确保车辆数据收集安全可靠。大众汽车区块链项目负责人 Benjamin Sinram 稍早在特拉维夫的一次活动中宣布了这款产品。他还宣布，大众旗下的保时捷正在开发区块链身份识别技术，让多名个人共享车辆。,IOTA 携手大众汽车明年推出区块链数据收集产品,14:51,2018-09-03 19:34:47
7,工信部网站 9 月 3 日发布 2018 年第二季度网络安全威胁态势分析与工作综述，称今年二季度，网络安全威胁态势呈现以下几个特点：第一，部分互联网用户邮箱疑似被控，严重危害用户个人信息安全。第二，工业互联网平台和智能设备成为网络威胁的重要目标。第三，非法「挖矿」严重威胁互联网网络安全。下一步的工作重点包括做好中非合作论坛北京峰会网络安全保障、开展恶意程序专项治理工作以及推进工业互联网安全保障体系建设。尽快出台《关于加强工业互联网安全工作的指导意见》《工业互联网安全标准体系建设》《工业互联网安全技术保障平台建设指南》等。,工信部：非法「挖矿」严重威胁互联网网络安全,14:17,2018-09-03 19:34:47
8,据 Cryptoglobe 消息，近日在泰国司法研究所和联合国毒品与犯罪问题办公室联合举办的研讨会上，TIJ 执行董事表示，根据最近展开的调研结果可以预测泰国境内与数字货币相关的犯罪案件可能会在短时间内大幅增加，而原因是严重缺乏对该行业有深入了解的专业人才以及有效应对网络犯罪所需的技术。,泰国司法研究所：与数字货币相关的犯罪案件可能会在短时间大幅增加,13:59,2018-09-03 19:34:47
9,据 virtualmoney 消息，此前报道预计将于明年初投入使用的三菱 UFJ 金融集团发行的数字货币 MUFG 近日在 UFJ 集团东京总部的一家便利店开始试用，该便利店专供集团内部员工使用，持有 MUFG 的员工可通过智能手机上显示的二维码进行扫码支付。,三菱 UFJ 发行的数字货币 MUFG 进入试用阶段,13:53,2018-09-03 19:34:47
10,据 Bitcoinist 报道，苹果公司已经明确要求 Coinbase 从 iOS 的 Coinbase 钱包应用程序中删除其加密游戏《战争骑手》。在该游戏中，玩家在一个末日荒地上行驶，在区块链上建造大量由 NFT 通证代表的车辆。苹果公司指出这款游戏在本质上绕过了苹果所坚持的应用内购买结构，才被强制下架。不过目前这款游戏仍然在 Android 平台上运行。,苹果公司要求 Coinbase 下架其钱包 APP 中包含的加密游戏,13:46,2018-09-03 19:34:47
11,据 CoinDesk 消息，比特币核心钱包的开发团队将很快发布软件新版本。语言和钱包两个方面升级，新语言允许用户命名不同的帐户，以及使密钥从一个钱包转移到另一个钱包变得更容易。,Bitcoin Core 将发布新版本,13:43,2018-09-03 19:34:47
12,据马尼拉时报，菲律宾证券交易委员会委员 Ephyro Luis Amatong 表示，菲律宾政府有意监管数字货币交易所，且将在本周末发布一系列监管规则草案。,菲律宾 SEC 委员：本周将发布数字货币交易所监管规则草案,13:30,2018-09-03 19:34:48
13,据安比 SECBIT 实验室智能合约监控平台数据显示，2018 年 8 月以太坊主网智能合约创建总量为 51583，创 2017 年 4 月以来新低。8 月创建合约最多的地址为0x9862D074e33003726fA05c74F0142995f33A3250，共创建合约 8802 个。经安比实验室逆向分析，该地址创建合约字节码完全一致，疑似为钱包合约。据 BitcoinTalk 论坛网友举证，该地址疑似与 BiteBTC 和 BITRADERHUB 有关，且大量用户声称其存在诈骗行为。据安比实验室，大量数字货币交易所会批量创建智能合约作为用户钱包，用于处理用户的各类资产。8 月合约新增数量创 17 个月以来新低，则很可能与加密货币尤其是 ETH 交易市场遇冷、新增用户规模萎缩存在重要联系。,8 月以太坊主网智能合约创建总量创 17 个月新低,10:51,2018-09-03 19:34:48
14,由中国金融四十人论坛和金融城主办的第三届全球金融科技（北京）峰会揭晓了「第三届金融科技创新案例评选」的十佳案例获奖名单。其中农业银行成功上榜。农业银行基于农商系电商平台，创新地将区块链技术应用于供应链金融中，开创了传统银行服务三农的新模式。,农业银行将区块链技术应用于供应链金融中,08:04,2018-09-03 19:34:48
15,近日，Calvin Ayre 基金会创始人、BCH 支持者 Calvin Ayre 发布了一篇文章，批评了比特币 ABC 及其关于虫洞实施的新想法。Ayre 表示，比特大陆公布的 BCH 的智能合约方案--虫洞模型在经济上存在缺陷，因为它遵循了破坏 BCH 来创造代币的理念，这是「反直觉的」。关于 PoS 协议，Ayre 提到比特大陆可能在虫洞中使用它来控制系统和已经由该方发布的预先存在的代币，这个计划对于矿工社区来说个灾难。他表示，虫洞经济模式会完全「杀死」比特币。在 BCH 计划的下一波硬分叉方案上，Calvin Ayre 与 Craig Wright 一直死杠吴忌寒及比特大陆。,Calvin Ayre：比特大陆公布的虫洞模型在经济上存在缺陷,07:54,2018-09-03 19:34:48
16,"FCoin 公告称，临时委员会成立，由创始人张健任主席，指定六名社区成员组成顾问团队--含主席 7 人,履行临时委职责，成员名单将于近日公布。",FCoin 社区委员会临时委员会成立,07:52,2018-09-03 19:34:48
17,北京时间 9 月 3 日 00:05:38，稳定币 USDT 背后发行商 Tether 的核心钱包地址之一 Tether Treasury 一次性单向转移 1 亿枚 USDT 至 Bitfinex 钱包地址。上次 Tether 转出 1 亿枚 USDT 至 Bitfinex 钱包的时间为 8 月 22 日，距今已有 12 日，期间两家曾多次互转大额 USDT。,Tether 再向 Bitfinex 一次性转入 1 亿枚 USDT,07:46,2018-09-03 19:34:48
18,"BitInfoCharts 数据显示，由于 BCH 压力测试，在过去 24 小时内，BCH 交易占所有加密交易的 63%。 根据 Coin Dance 的数据显示，在压力测试期间，BCH 网络上的交易数量激增至每块 14,300 个。Fork.lol 数据显示，交易数量甚至达到了每块 25,783 个，而一般情况下每块交易数量为 90 到 150 个。相比之下，BTC 的平均每块交易数量为 1000 至 1500 个。 根据 BitInfoCharts 的数据显示，BCH 的平均交易费并没有增加，而是从 0.002 美元降到了 0.0017 美元。",BCH 压力测试结果：210 万笔交易没有导致费用激增,07:43,2018-09-03 19:34:48
19,据 zycrypto 报道，数字货币交易员、经济学家 Alex Kruger 表示，如果出现一次重大市场回调，ETH 受到的冲击将比 BTC 更严重。与 BTC 相比，ETH 更容易受到回调影响。他说，ETH 在加密市场调整中会比 BTC 面临更多的卖出压力。ETH 面临的压力主要有三个原因：第一，目前 ETH-ETF 获得批准的可能性非常低；其次，ETH 的市值低于 BTC；第三，ETH 的市场地位使其面临着来自其他加密货币的竞争。另一方面，BTC 在加密市场的领先地位，使其在市场中占据主导权。,经济学家： 如果市场大幅回调，ETH 受损会比 BTC 更严重,07:41,2018-09-03 19:34:49
20,推特网友 @Bitcoin 称：根据 bitinfocharts.com 数据，在最近 24 小时内，比特币现金 BCH 占所有加密货币交易的 64.7％。BM 回复一张区块链活跃度分布图，显示 EOS 在过去七天的区块链活跃度中占据第一 49.3%；并附文称，看来 blocktivity.info 描绘了一幅不同的画面。,BM 推特称 EOS 过去七天区块链活跃度最高,07:37,2018-09-03 19:34:49
21,马耳他时报 9 月 2 日报道，Bittrex 近期投资马耳他区块链企业 Palladium。Bittrex 买下 Palladium 10% 股权。Palladium 7 月时曾宣布与 Bittrex 携手进行全球首个可转换币首次发行 ICCO。美国交易所 Bittrex 日均交易金额目前排全球第 18 位。,Bittrex 收购 Palladium 10% 股权,07:30,2018-09-03 19:34:49
22,在曼谷举行的比特币现金 BCH 采矿协议闭门会议上，以太坊联合创始人 Vitalik Buterin 做了简短分享，并对 BCH 的发展表示祝贺。不过关于这次会议的具体细节并不多。莱比特矿池 CEO 江卓尔表示大家不用担心，曼谷会议与会者形成了相当程度的共识，事情有逻辑上完善的解决路径。,Vitalik Buterin 现身曼谷 BCH 采矿协议闭门会议,09月02日 07:46,2018-09-03 19:34:49
23,据福布斯报道，区块链技术市场可能在三年内突破 20 亿美元，企业、非政府组织和政府都意识到，这一技术可以提升客户信任、减少假冒商品、降低交易成本。根据自由职业网站 Upwork 的数据，区块链是其季度技能指数中最热门的技术。即使数字货币市场冷却下来，对区块链工作技能的需求在今年第一季度也增长了 6000%。,福布斯：区块链技术市场或在三年内突破 20 亿美元,09月02日 07:40,2018-09-03 19:34:49
24,北京市近日编制了《北京市金融突发事件应急预案》，并已经以市应急委名义正式印发实施。据介绍，《预案》突出金融风险监测防范，把主动防范化解系统性金融风险摆在突出重要位置，强化了金融风险监测、风险评估、风险防范、预警响应的内容。同时，《预案》还重点考虑金融突发事件行业属性，坚持「管行业必须管风险」，与中央金融监管部门在京派驻机构协同合作，加强本市相关部门监管协作，构建分级负责、分类处置、综合协调的金融突发事件应对体系，完善应急响应处置措施。,北京市发布金融突发事件应急预案，加强风险监管,09月02日 07:38,2018-09-03 19:34:49
25,据 Business insider 消息，中国人民保险集团 PICC 与唯链和 DNV GL 达成合作伙伴关系，后两者将为人保集团提供区块链解决方案，协助人保集团数字化转型。,唯链与 DNV GL 为人保集团提供区块链技术支持,09月02日 07:35,2018-09-03 19:34:49
26,德国统计机构 Statista 对欧美 15 个主要国家进行了数字货币持有率调查。调查结果显示，18% 的土耳其人持有数字货币，在 15 个样本中高居第一。分析认为，土耳其居民的数字货币高持有率与该国货币危机有关，民众对法币的信任度较低。,土耳其居民对法币信任度较低，18% 持有数字货币,09月02日 07:33,2018-09-03 19:34:49
27,据新浪科技，共享单车服务商 ofo 方面就近期媒体报道回应称，所谓滴滴收购 ofo 是虚假消息；区块链是该公司一直探索的技术方向，不存在转投一说。,ofo 回应媒体报道：滴滴收购是假消息， 区块链一直关注并非转投,09月02日 07:28,2018-09-03 19:34:50
28,据 coinspeaker 报道，国际数字货币和区块链多中心化协会 IDACB 将与彭博社和路透社合作，向两家资讯服务商提供符合其标准的加密行业新闻，而彭博社和路透社会将分析和金融区块链数据纳入其资讯产品中。,IDACB 将与彭博社和路透社合作，提供加密行业新闻,09月02日 07:25,2018-09-03 19:34:50
29,据 Business insider 报道，Fundstrat 创始人 Tom Lee 认为，期货让投资者有机会押注资产的未来价格。芝加哥期权交易所 CBOE 和 芝加哥商品交易所 CME 推出 BTC 期货的消息推动了比特币在去年 12 月底创下历史新高。 但是在 BTC 期货上线后，比特币价格下跌，比 2017 年底创下的历史新高以来已下跌超过 70％。ETH 期货可能会对其价格产生类似的影响，但是对 BTC 可能是一件好事，因为可以缓解对 BTC 做空的压力。,Tom Lee：ETH 期货或影响其价格下跌，但对 BTC 是好事,09月02日 07:18,2018-09-03 19:34:50
