,header,pub_time,url,views
0,重庆学术研讨会 | 朱嘉明：我们要用怎样的历史观来看待区块链？,2018-08-23 20:57:45,http://www.8btc.com/zhujiaming-history-view-blockchain,164
1,真相只有一个 ！| God.Game 代币被盗事件原理分析,2018-08-23 20:47:31,http://www.8btc.com/god-game-token-theft-truth-0823,595
2,Circle与Coinbase之后，Wirex成为第三家获得英国政府颁发电子货币牌照的加密货币公司,2018-08-23 18:34:21,http://www.8btc.com/wirex-becomes-third-crypto-company,2566
3,建立商品比特ETF基金——比特币发展为真正货币的一种市场机制,2018-08-23 18:30:47,http://www.8btc.com/btc-etf-currency,1987
4,区块链：破局人类命运大议题,2018-08-23 18:27:34,http://www.8btc.com/jinrijianshi-shishijiqi-blockchain,1179
5,区块链：一场企业组织与管理革命,2018-08-23 18:05:20,http://www.8btc.com/qukuailian-zuzhi-guanli,1546
6,重庆学术研讨会 | 币看刘洋：加密数字货币是货币演变的下一个形态,2018-08-23 17:29:17,http://www.8btc.com/bitkan-liuyang,3703
7,比特币ETF反复遭拒，市场恐慌情绪有所放大,2018-08-23 17:20:40,http://www.8btc.com/coinmarket-4,2093
8,“原以为买币能实现人生突破”“结果等来的却是黎明前的黑暗”,2018-08-23 16:11:46,http://www.8btc.com/cryptocurrency-investors,3992
9,BCH升级辩论仍在继续，Bitcoin Unlimited揭示分叉策略,2018-08-23 16:05:24,http://www.8btc.com/bch-upgrade-debate-fork-strategy,2107
10,证改：如何设计通证经济模型？,2018-08-23 15:46:16,http://www.8btc.com/zhenggai-tongzhengjingji,1543
11,以太坊通胀率居高不下，Vitalik被打脸,2018-08-23 15:31:24,http://www.8btc.com/issuance-eth,5063
12,泰国央行宣布开发基于R3 Corda的“批发式”央行数字货币,2018-08-23 14:54:56,http://www.8btc.com/bank-of-thailand-digital-currency-project-r3-corda,1715
13,9个ETF申请被拒，仅存的VanEck/SolidX ETF将何去何从？,2018-08-23 14:39:12,http://www.8btc.com/where-vaneck-solidx-etf-go-0823,3344
14,全球最贵的比特币！一枚价值1000 BTC,2018-08-23 14:36:44,http://www.8btc.com/expensive-ever-bitcoin-casascius,9618
15,【图文科普】从原始货币到比特币,2018-08-23 13:57:34,http://www.8btc.com/yuanshihuobi-btc,4884
16,加拿大政府机构推出以太坊区块链浏览器,2018-08-23 12:06:32,http://www.8btc.com/canadian-block-explorer,3185
17,美国：立法者需要公布加密货币资产持有情况,2018-08-23 11:40:23,http://www.8btc.com/lawmaker-tulsi-gabbard-discloses-ethereum-investments,2415
18,Fomo3D 千万大奖获得者“特殊攻击技巧”最全揭露,2018-08-23 11:16:52,http://www.8btc.com/fomo3d-secbit,6556
19,服务未来社群：AI对去中心化社群的价值是什么,2018-08-23 11:07:25,http://www.8btc.com/ai-what-for,2147
