,brief,header,news_url,pubtime,savetime
0,原标题：省内高校新生大数据来了）这几天，省内高校陆续发布了今年的新生大数据。虽然去年就已经有不少00后进入大学校园，但今年他们才成了本科新生的主力军。从省内各大高校发 ...,浙江省高校新生大数据:00后比例超六成,http://edu.sina.com.cn/gaokao/2018-08-23/doc-ihhzsnec4922215.shtml,大数据,2018-08-23 21:16:30
1,原标题：“史上最大数据窃取案”告破，揭开微博“被加粉”的秘密“微博莫名其妙帮我关注了‘全球娱乐趣事’，这已经不是第一次给我乱关注了！”在新浪微博，类似的用户“被加粉 ...,史上最大数据窃取案告破 揭微博“被加粉”的秘密,http://news.sina.com.cn/s/2018-08-21/doc-ihhzsnea5646819.shtml,大数据,2018-08-23 21:16:30
2,在新浪微博，类似的用户“被加粉”事件层出不穷，浙江绍兴警方8月20日公布的一起“史上最大数据窃取案”，在阻止30亿条公民信息泄露的同时，也揭开了“被加粉”的秘密。绍兴市 ...,史上最大数据窃取案告破 揭开微博“被加粉”的秘密,http://tech.sina.com.cn/i/2018-08-21/doc-ihhzsnea5515556.shtml,大数据,2018-08-23 21:16:31
3,大数据的应用上，大数据我们讲数据量，比如京东金融一天的新增数据是800TB，很多中小型科技公司一年的数据量都没有那么多，在这上面我们围绕反欺诈、用户信用体系的建设、智能投顾这 ...,谢锦生：金融科技是强的大数据应用能力在场景应用,http://finance.sina.com.cn/money/bank/2018-08-23/doc-ihicsiav5364496.shtml,大数据,2018-08-23 21:16:31
4,实现门户垂直策略，深耕金融领域。新浪将恪守本心、持续奋进，充分利用互联网、大数据、智能资讯等方面优势，助力银行业不断发展创新。“求木之长者，必固其根本；欲流之远者 ...,王高飞：新浪将用大数据等优势助力银行业发展创新,http://finance.sina.com.cn/money/bank/2018-08-23/doc-ihhzsnec4796288.shtml,大数据,2018-08-23 21:16:31
5,原标题：《人民日报》关注黔东南：大数据技术如何激发干事创业新动能 来源：人民日报 8月23日，《人民日报》刊发了题为《贵州黔东南州运用大数据技术推进学习教育常态化和组织生活规 ...,《人民日报》关注黔东南：大数据技术如何激发干事创业新动能,http://news.sina.com.cn/o/2018-08-23/doc-ihicsiav7186759.shtml,大数据,2018-08-23 21:16:31
6,原标题：【智博会】猪八戒网“八戒火眼金睛”用大数据为企业“号脉”、“问诊”“八戒火眼金睛“发布会现场。猪八戒网供图 华龙网 发 华龙网8月23日16时55分讯（首席记者 佘振芳 实习 ...,【智博会】猪八戒网“八戒火眼金睛”用大数据为企业“号脉”、“问诊”,http://news.sina.com.cn/c/2018-08-23/doc-ihicsiav6972548.shtml,大数据,2018-08-23 21:16:32
7,原标题：杭城首条“大数据公交”周五开跑这班车到底有多聪明 在长睦锦苑的“三角形”公交线接驳地铁，居民出行将少走550多米就能到达公交站。昨天一条公交消息，悄然出现在了很多 ...,杭城首条“大数据公交”周五开跑这班车到底有多聪明,http://news.sina.com.cn/c/2018-08-23/doc-ihhzsnec3705311.shtml,大数据,2018-08-23 21:16:32
8,腾讯在张家口投建华北最大数据中心：建成将上架百万台服务器 王雪青/上海证券报 8月22日，腾讯与张家口市怀来县正式签约，宣布将投资300亿元建设腾讯华北信息技术产业总部基地，入 ...,腾讯在张家口投建华北最大数据中心：建成将上架百万台服务器,http://finance.sina.com.cn/roll/2018-08-22/doc-ihhzsnec0428324.shtml,大数据,2018-08-23 21:16:32
9,腾讯投建华北最大数据中心 秦淮数据探索政企合作新模式】腾讯与张家口市怀来县正式签约，宣布将投资300亿元建设腾讯华北信息技术产业总部基地，入驻环首都新一代信息技术示范区 ...,腾讯投建华北最大数据中心 秦淮数据探索政企合作新模式,http://finance.sina.com.cn/7x24/2018-08-22/doc-ihhzsnec0015606.shtml,大数据,2018-08-23 21:16:32
