,brief,header,pubtime,savetime
14,据新加坡《商业时报》，新加坡企业发展局、新加坡新闻通信媒体发展局与重庆经济和信息技术委员会签署了一份新谅解备忘录，提出创建中新 ICM 联合创新发展基金，该基金涵盖了区块链、物联网、人工智能、增强现实和机器人等技术，并且支持在两国共同开发和部署项目。从事上述领域、致力于智慧城市发展的公司在进入重庆时将可获得扶持。,新加坡和中国推出中新 ICM 联合创新发展基金，涉及区块链技术,06:11,2018-08-31 20:26:38
15,据 Business Insider 报道，消息人士称，芝加哥期权交易所 CBOE 或将在 2018 年年底推出以太坊 ETH 期货，CBOE 正在等待美国商品期货交易委员会 CFTC 的进一步澄清说明。ETH 推出期货将可能为 ETH 获得更广泛的交易和后续推出 ETF 打开大门。CBOE 于 2017 年 12 月上线全球首个比特币期货交易。,芝加哥期权交易所年底或推出 ETH 期货,06:11,2018-08-31 20:26:38
16,据 dashforcenews 消息，加拿大主流礼品卡提供商 Coincards.ca 最近开始接受本国居民使用DASH换取礼品卡券。Coincards.ca 目前与包括亚马逊、沃尔玛、家得宝、Netflix 在内的 300 多个知名品牌合作，发行针对这些商家的礼品卡，该平台目前已接受 BTC、LTC和 DASH 三种加密货币支付。,加拿大礼品卡提供商接受 DASH 支付,06:10,2018-08-31 20:26:38
17,BitMEX 发布了一份关于比特大陆的研究报告，称比特大陆可能目前正赔钱，而且由于使用了大量现金流购买比特币现金损失了 3.28 亿美元，但仍有强劲的发展潜力。报告称：比特大陆可以成为一家传奇的数字货币公司，在未来几十年内将创造丰厚的股东回报，但为了实现这一目标，比特大陆管理团队或许需要改善对公司资源的管理。一旦公司上市，在这个不稳定和不可预测的市场中进行资本配置决策将是非常困难的。,BitMEX 研报：比特大陆正在赔钱，但很有发展潜力,06:09,2018-08-31 20:26:38
18,"丹华资本董事总经理 Dovey Wan 发布推文称，币安在今年 Q1 的利润为 2 亿美元，而德意志银行同期仅为 1.46 亿。随后她又将币安与纳斯达克相比，称纳斯达克同期利润比币安仅多了 900 万美元，而币安的员工数是 200 人，纳斯达克有 4,500 名员工，币安公司成立 8 个月，而纳斯达克有 47 年历史。",币安 2018 年一季度利润可与纳斯达克相提并论,06:09,2018-08-31 20:26:38
19,据 cryptovest 报道，专注于 DNA 数据的区块链初创企业 Nebula Genomics 周三表示，已从 10 家风投公司筹集 430 万美元资金，旨在为基因组数据创建一个可信、安全且分散的市场。Nebula 还与基因组测序公司 Veritas Genetics 签署协议，将把该公司的市场与 Veritas 的 Arvados 开源软件平台连接起来，后者是一个用于存储、共享和分析基因组数据的系统。目前平台拥有超过 20 pb 数据，供全球研究人员和制药公司使用。,区块链初创公司 Nebula 筹集 430 万美元创建基因组数据市场,06:08,2018-08-31 20:26:38
20,据路透社消息，此前报道称委内瑞拉总统马杜罗已下令该国银行采用石油币。但实地走访发现，委内瑞拉的石油几乎无从发掘。政府的说法也互相矛盾：总统马杜罗说，石油币已经筹集了 33 亿美元并被用于支付进口商品。但参与该项目的内阁部长 Hugbel Roa 则表示，石油币背后的技术仍在开发中。负责监管石油币的机构 The Superintendence of Cryptoassets 并无实体。,委内瑞拉政府对于石油币说法矛盾，相关监管机构无实体,06:08,2018-08-31 20:26:38
21,据路透社消息，渣打集团旗下渣打银行（香港）周四宣布，已成立一家企业实体为营运其虚拟银行作准备，并已向香港金融管理局提交虚拟银行牌照的申请。该行委任渣打个人金融业务设计及客户体验环球主管 Deniz Güven 为新企业实体的行政总裁。渣打香港行政总裁禤惠仪称，希望创造全面的数字生态系统，创造和执行新的银行营运模式。,渣打香港已成立企业实体，计划运营虚拟银行,06:07,2018-08-31 20:26:39
22,新华社 8 月 30 日消息，在由 IPR Daily、中国信息通信研究院主办的 2018 全球区块链知识产权峰会上，蚂蚁金服集团副总裁兼首席知识产权法务官白建民表示，区块链技术在分布式账本中的隐私保护、多链平台间的互通以及在百级到千级节点广域网部署中的共识算法问题中还有诸多技术瓶颈。而更大的挑战则在技术之外，即让多方达成共识。,蚂蚁金服白建民：区块链专利布局的机会在于解决技术瓶颈,06:07,2018-08-31 20:26:39
23,31 日，北京市互联网金融行业协会发布了《关于防范以「虚拟货币」「区块链」「ICO」及其变种名义进行非法集资的风险提示》。提示称，近期，一些不法分子打着「虚拟货币」「区块链」「ICO」及其变种的旗号，通过发行所谓「虚拟货币」等方式吸收资金，侵害公众合法权益。此类活动并非真正基于区块链技术，而是炒作区块链概念行非法集资、传销、诈骗之实，严重扰乱了正常的金融经济秩序，带来社会风险隐患。,北京互金协会：防范以「虚拟货币」「区块链」「ICO」 及其变种名义进行非法集资的风险,06:06,2018-08-31 20:26:39
24,据 CoinDesk 消息，周四，韩国地方长官与总统文在寅举行了会谈，讨论在韩国创造就业机会的问题。济州岛长官 Won Hee-ryong 在会谈中向总统提议：「济州岛应该被指定为区块链的一个特殊枢纽，允许企业开展 ICO 活动。」他表示：「如果济州岛被指定为区块链特区，就应该建立有关数字货币的国际标准和法规，以确保促进国内外的区块链和数字货币公司能够在济州岛开展业务。」,韩国济州岛长官呼吁总统将济州岛指定为区块链特区,08月30日 19:06,2018-08-31 20:26:39
25,FCoin 公告称：接到 FInsur 项目方的通知，FInsur 正在筹划重大资产重组，特申请临时停牌。此前，FInsur 联合 FCoin 推出的特定场景保险首期投保。近日，中国互联网金融举报信息平台将「代币融资发行」纳入举报范围。包括承保与代币和「虚拟货币」相关的保险业务或将代币和「虚拟货币」纳入保险责任范围。,FCoin：FI 项目因筹划重大资产重组申请临时停牌,08月30日 18:52,2018-08-31 20:26:39
26,美国移动支付提供商 Square 一项可以允许商家接受包括数字货币在内的任何币种的支付系统专利申请获得美国专利商标局 USPTO 授权。Square 2017 年 9 月 22 日提起此项专利申请。专利申请称该系统加密货币与信用卡等传统交易方式的结算速度并无二致。该系统将采用一条私链来实时记录交易。,Square 新支付系统取得专利授权，可接受含数字货币的任何币种,08月30日 18:18,2018-08-31 20:26:39
27,目前雅虎财经网站页面已不能直接进行 BTC、ETH、LTC 交易，用户需通过 Cryptocompare 链接进入 etoro 交易页面。据悉，今早三个币种的交易尚可直接进行。,雅虎财经页面目前无法直接进行 BTC、ETH、LTC 交易,08月30日 17:17,2018-08-31 20:26:39
28,今日，海南省政府金融办公室发布《关于防范以「虚拟货币」「区块链」名义进行非法集资的风险提示》。该公告称，据银保监会、中央网信办、公安部、人民银行、市场监管总局提示：近期，一些不法分子打着「金融创新」「区块链」的旗号，通过发行所谓「虚拟货币」「虚拟资产」「数字资产」等方式吸收资金，侵害公众合法权益。此类活动以「金融创新」为噱头，实质是「借新还旧」的庞氏骗局，资金运转难以长期维系。,海南省政府金融办公室发布《关于防范以「虚拟货币」「区块链」名义进行非法集资的风险提示》,08月30日 17:04,2018-08-31 20:26:39
29,"Lisk 周三发布 Lisk Hub 1.1.0 和 Lisk Nano 2.0.0。最新发布组件与 Lisk Core 1.0 兼容，后者正向主网迁移。Lisk 团队推荐所有用户尽快更新最新版本 Lisk Hub 和 Lisk Nano。此次发布的具体细节在 Lisk 的 GitHub 官方页面可以看到。Lisk 团队同时公布了主网迁移状况更新。据该团队介绍，估计中的区块高度 6,901,027 应该会很快达成。",Lisk 发布最新版 Lisk Hub 和 Lisk Nano,08月30日 15:32,2018-08-31 20:26:39
