,header,pub_time,url
0,酒类电商1919获阿里巴巴20亿元战略投资，估值达70亿元,20:02,https://pe.pedaily.cn/201810/436721.shtml
1,新零售解决方案供应商Capillary客提利科技获新一轮融资，华平投资领投,16:05,https://news.pedaily.cn/201810/436719.shtml
2,连尚文学投资MangaToon若谷动画，拉开漫画出海序幕,14:43,https://pe.pedaily.cn/201810/436718.shtml
3,大树保获得千万级美元A轮投资，瞄准蓝领保险服务市场,13:55,https://pe.pedaily.cn/201810/436713.shtml
4,聚焦餐饮食品物流 餐北斗完成5000万元A+轮融资,12:40,https://pe.pedaily.cn/201810/436711.shtml
5,盘石股份获赛伯乐投资领投22.5亿元D轮融资，估值达102.5亿元,11:04,https://pe.pedaily.cn/201810/436710.shtml
6,国资入场，P2P网贷平台星火钱包千万级A+轮融资,10:37,https://pe.pedaily.cn/201810/436709.shtml
7,亿方云获得1000万美元B轮融资， 京东云、京东数科联合战略投资,10:15,https://pe.pedaily.cn/201810/436707.shtml
8,牧月科技完成近5000万元天使轮融资，为无人驾驶货运物流提供解决方案,10:04,https://pe.pedaily.cn/201810/436706.shtml
9,自动驾驶公司Momenta完成新一轮融资，引入腾讯、国资背景投资者,9:54,https://pe.pedaily.cn/201810/436705.shtml
10,VIPKID数千万战略投资新学说，深度参与国际教育行业,9:50,https://pe.pedaily.cn/201810/436704.shtml
11,不仅教技能，还帮找人脉，运营研究社获1050万元Pre-A轮融资,9:40,https://pe.pedaily.cn/201810/436703.shtml
12,打造出移动人体广告，变衣科技完成千万元级Pre-A轮融资,9:23,https://pe.pedaily.cn/201810/436702.shtml
13,公司装修按天付费，“开工大吉”获2000万元A轮融资,8:59,https://pe.pedaily.cn/201810/436699.shtml
14,收废品的大生意，我爱收获天使轮融资,8:44,https://pe.pedaily.cn/201810/436696.shtml
15,从旅行箱到旅行美学品牌，ITO获数千万A轮融资,7:29,https://pe.pedaily.cn/201810/436691.shtml
16,“一起学语文”获数百万元种子轮投资,18:27,https://pe.pedaily.cn/201810/436677.shtml
17,又下一“城”！优客工场完成并购方糖小镇,10:12,https://pe.pedaily.cn/201810/436657.shtml
18,互联网保险定制平台悟空保获千万美元新一轮投资,9:39,https://pe.pedaily.cn/201810/436656.shtml
19,明势第三支美元基金超额募完，持续押注早期科技投资,9:12,https://pe.pedaily.cn/201810/436653.shtml
