,brief,header,pubtime,savetime
0,全球第一款大型策略类的区块链游戏 HyperDragons 云斗龙，正式在 iBitcome 钱包上线。 HyperDragons 云斗龙是继以太猫后首款活跃破千的爆款区块链游戏，并且一改以往「以太猫」系侧重于收藏、增值的设定，云斗龙提供更多的趣味性、耐玩性和刺激感。,策略类的区块链游戏云斗龙登陆 iBitcome 钱包,19:09,2018-10-18 20:31:50
1,TokenInsight 发布《隐私支付类通证研究报告》，报告指出，匿名通证是为了解决 Bitcoin 匿名功能不足而产生的，其背后有实际场景中大额支付和转账作为价值支撑，市场共识正在逐步建立中。此外，匿名通证的合规性也是市场关注的焦点，提供灵活可选择的匿名功能的通证项目（如 Zcash 与 Dash）被监管接受的程度正在逐渐提高。最后，匿名技术不仅可以使项目通证提供匿名功能，还可以为传统项目提供企业级技术支持。TokenInsight 认为，总体而言，匿名通证仍属于较为小众的市场，但随着其应用的丰富和功能的提升，未来有广阔的发展空间。,TokenInsight ：匿名类通证以大额支付和转账作为价值支撑,18:45,2018-10-18 20:31:50
2,高盛或将采用 Bakkt 加密货币托管方案，托管服务可能会使用新 ICE 项目提供的技术解决方案，据来自高盛的几位知情人士称，Bakkt 的基础架构规模是吸引高盛的关键。,高盛或将使用 Bakkt 的加密货币托管方案,17:56,2018-10-18 20:31:50
3,英国金融监管局 FCA 已宣布打算在今年年底前制定加密货币政策。FCA 在一份声明中说：「加密货币本身（即那些主要作为支付/交换手段设计的货币）目前不在我们的监管范围内。然而，一些使用或包装加密货币的模式将它们带入我们的周边，使情况变得复杂......我们将与英国央行和英国财政部合作，作为工作组的一部分，在今年晚些时候发布讨论文件，阐述我们关于加密货币政策的思考。」,英国金融监管局：计划在今年年底前制定加密货币政策,17:38,2018-10-18 20:31:50
4,"据 TokenInsight 数据分析，近 24 小时内，BTC 链上转账数 260,224，同比 24 小时前略有上涨；活跃地址数 558,243，同比 24 小时前下降 1%；交易所成交量 40.8 亿美元，同比 24 小时前略有上涨。独立分析师 James 认为，BTC 经历 10 月 15 日强势反弹后近 3 天各项指标热度有所下降，但仍高于 15 日之前的一周均值，预计短期内 BTC 价格将继续震荡上行。",TokenInsight：BTC 各项指标高于一周前均值，短期内价格或将震荡上行,12:03,2018-10-18 20:31:50
5,今日 14:00，首批 500 台 CarBlock 智能全维度车数据矿机将于 CarBlock 有赞商城全球火爆开售。此次 CarBlock 智能全维度车数据矿机不仅比原先矿机拥有更高的算力，还可以享受多个项目方的多币种奖励。为更好的激励车主参与挖矿，CarBlock 与知名公链项目方 Bottos 深度合作，其中 Bottos 公链开发的 DApp Datanno 项目会与 CarBlock 分享 DTO 以共同激励车主更多的参与挖矿。车主更可以通过开车上传数据的方式获取 CAR 以及 EOS 等加密货币。未来还会有更多的项目方加入，收益翻番的同时，真正的实现了一机多挖的概念。,CarBlock 推出全球首台开车即挖矿的多币种车数据矿机,12:00,2018-10-18 20:31:50
6,由咨询和技术服务公司 Capgemini 和法国巴黎银行 BNP Paribas 发布的《2018 年世界支付报告》指出：分布式账本技术 DLT 目前无法满足金融市场需求。报告还指出，多个 DLT 系统创造了一个零散的市场，解决方案之间的连接有限，导致效率低下和采用率有限。,2018 年世界支付报告：分布式账本技术未能满足金融市场需求,10:19,2018-10-18 20:31:50
7,硅谷存储计算公链项目 DxChain 的联合创始人兼首席技术官王伟已经从该项目离职。DxChain 表示，该项目没有受到 CTO 离职的影响。王伟曾在 AT&T 担任区块链研究首席科学家，今年 1 月加入 DxChain，与互联网安全公司 Trustlook 创始人张亮联合创立了 DxChain。DxChain 计划开发一个去中心化的大数据存储和计算网络，是一个将区块链的去中心化特性运用到存储和计算领域的开放性公链。,DxChain 首席技术官王伟确认已经离职,09:03,2018-10-18 20:31:50
8,Cobo 钱包完成了 1300 万美元的 A 轮融资，丹华资本、NEO 基金会、双湖资本参与投资。Cobo 钱包由北京皓时网络科技有限公司开发，该公司成立于 2017 年 11 月，创始人为毛世行、蒋长浩和李尧。该公司在 4 月份进行的 pre-A 轮融资中，获得了线性资本和峰瑞资本的投资。,Cobo 钱包完成 1300 万美元的 A 轮融资,05:28,2018-10-18 20:31:50
9,据 Coindesk 报道，亚马逊旗下云服务平台 AWS 的中国业务部门与量子链 Qtum 进行合作，为企业和开发者提供区块链即服务（BaaS）解决方案。该合作将让 AWS 用户可以利用亚马逊云机器镜像（AMI ）技术开发并发布智能合约。Coindesk 报道称，该消息获得了亚马逊 AWS 中国团队的证实。,亚马逊旗下云服务平台与量子链合作推出 BaaS 解决方案,04:41,2018-10-18 20:31:50
