,brief,header,pubtime,savetime
0,门罗币发布恶意软件响应工作组（MRW）网站，该网站意图保护门罗币社区免受恶意软件的侵扰。该网站将恶意软件分为三种：嵌入浏览器的恶意挖矿软件，系统恶意挖矿软件和勒索软件。Justin Ehrenhofer 在博客中称，该恶意软件响应工作组是「完全自治的志愿者，组织起来维护资源和提供在线服务。」,门罗币成立恶意软件响应工作组网站，保护门罗币社区网络安全,19:02,2018-09-29 20:03:39
1,据 Bitcoin.com 报道，一位匿名消息人士透露，加密货币衍生品交易平台 Ledgerx 正准备推出 ETH 期货。该消息人士称，该公司有一款以太坊期权产品，目前正等待监管部门的批准。该消息人士补充称，Ledgerx 目前与美国商品期货交易委员会定于 10 月 5 日举行会议。,Ledgerx 正在与 CFTC 商谈推出以太坊期货,18:52,2018-09-29 20:03:39
2,在刚刚结束的核心开发者会议中，开发者决定在 Ropsten 测试网络区块高度 420 万的时候进行升级测试，大约是 10 月 9 号中午。测试可能持续大约 3 周，本次升级最终将在 11 月初正式完成。届时以太坊发行率降低 33%。,以太坊协议升级敲定，减产 33% 进入倒计时,17:57,2018-09-29 20:03:40
3,周五，十几名国会众议院议员联名致信美国 SEC 主席 Jay Clayton，呼吁明确 SEC 对数字资产类别的看法，并呼吁 SEC 用简单易懂的语言解释其计划如何监管加密货币。,多位国会议员联名致信美国 SEC 主席，要求明确加密货币监管,17:44,2018-09-29 20:03:40
4,近日金氪资本 Krypital Group 完成了对总部位于波士顿的星火区块链孵化器的战略投资。星火孵化器 Spark Blockchain 是一家为初创企业的成长提供咨询服务与支持的企业，此次逾百万美金天使轮投资由金氪资本领投，水木清华 TBC、Venivici Fund、George Gong 等机构和投资人跟投。本次金氪资本 Krypital Group 对于星火孵化器 Spark Blockchain 的战略投资，将加速双方在北美的区块链产业布局，聚合北美地区的区块链人才以及社区资源，加速优质项目的孵化。,金氪资本 Krypital Group 战略投资星火区块链孵化器,17:04,2018-09-29 20:03:40
5,普华永道 2018 年对来自 15 个地区的 600 名高管的调查中，84% 的人表示他们的组织至少参与了区块链技术。62％ 高管称正进行区块链项目。这些公司已经涉足实验室，已经建立了概念证明。每个人都在谈论区块链，没有人愿意被抛之脑后。普华永道在报告中写到：精心设计的区块链不仅可以减少中间商，降低成本，还可以提高速度和覆盖范围。它还为许多业务流程提供了更高的透明度和可追溯性。而 Gartner 预测，到 2030 年，区块链将产生超过 3 万亿美元的年度商业价值。可以想象到届时，10% 到 20% 的全球经济基础设施将在基于区块链的系统上运行。,普华永道区块链调查：62％ 高管称正进行区块链项目,16:31,2018-09-29 20:03:40
6,据链塔智库分析，从已经落地的 EOS DApp 来看，截止 2018 年 9 月 25 日，EOS 平台共收录了 59 个 DApp。竞猜类 DApp 的总交易额处于龙头地位，占 93%，无论从数量上还是交易额上都有着明显的优势。自今年 5 月以来，对 EOS 合约漏洞的攻击行为频发，项目方累计损失超过 11 万个 EOS。,报告：EOS DApp 中合约漏洞致损失超 11 万 EOS,16:03,2018-09-29 20:03:40
7,日前据财经网报道，百度内部员工称，百度已成立专门负责区块链业务的新公司。但该公司是否负责「燃料」的具体运营，暂未有确切消息。对此，百度官方回应称，在近期媒体报道的度链公司之外，百度没有成立一个独立公司运营区块链业务，百度会按照国家监管要求运营业务。关于超级燃料，它是区块链领域的专业术语，就是云计算服务费。超级链是超级联盟链，就是联盟链网络。,百度：没有成立独立公司运营「超级燃料」，将按照国家监管要求运营,15:55,2018-09-29 20:03:40
8,9 月 27 日，胡润研究院发布了《2018 胡润 30×30 创业领袖》名单，旨在寻找中国 30 岁以下创业领袖。区块链企业中，Ruff 首席营销官荆天为，APEX Network、APEX 科技创始人兼首席执行官 Jimmy Hu，量子链创始人及 CEO 帅初等入选。,《2018 胡润 30×30 创业领袖》名单公布，Ruff、量子链等企业高管入选,15:44,2018-09-29 20:03:40
9,币安 CEO 赵长鹏发推特称，币安正在筹备去中心化交易平台，该平台将以 BNB 为平台 gas，并且不会控制用户的资金，拟于今年末或明年初推出公测版本。,赵长鹏：以 BNB 为平台 gas 的交易平台正在筹备中,15:43,2018-09-29 20:03:40
10,伦敦加密货币交易所 London Block Exchange（LBX）宣布，将推出一种与英镑 1:1 挂钩的数字货币 LBXPeg。LBX 的首席执行官 Benjamin Dives 表示，LBXPeg 将定期接受一家顶级会计师事务所的审计。他补充称，他相信 LBXPeg 将是首个与英镑挂钩的所谓「稳定币」。,伦敦加密货币交易所 LBX 计划推出与英镑挂钩的稳定币,15:37,2018-09-29 20:03:40
11,Ripple 宣布，与泰国暹罗商业银行共同为 RippleNet 推出一项名为多重跳接式支付的新功能。这意味着 RippleNet 的客户将不再需要一对一进行结算付款。该功能可以缓解全球流动性的低效管理。,RippleNet 与泰国暹罗商业银行共同推出多重跳接式支付功能,14:33,2018-09-29 20:03:40
12,BCH 于 9 月 28 日正式上线 LendChain 平台，届时用户可以将手中持有的 BCH 作为抵押，借贷 BTC、ETH、USDT 等代币。也可借出 BCH 获得更多的 BCH 收益。据了解，BCH 基金此前是 LendChain 的投资方。此次 BCH 上线「虚拟币银行」LendChain，双方的再次深入合作，也将重点围绕社区建设、品牌宣传、数字货币金融生态等展开多方面的合作。,BCH 上线「虚拟币银行」LendChain,13:43,2018-09-29 20:03:40
13,9 月 29 日，币安旗下生态基金 Binance Labs 与内容公链 COS 共同宣布，Binance Labs 将战略投资内容公链 COS。作为全球领先的数字内容公链，COS（Contentos）致力于打造全球范围最广的数字内容公有链，让全球内容价值统一。全球知名区块链评测机构 Ratingtoken 曾把 COS 评为全球最有潜力区块链项目之一，并获得评级机构近乎满分的评级。Binance Labs 作为全球最早布局区块链产业生态的专业投资机构之一，旨在通过项目投资和合作的方式，连接区块链产业生态上的节点，构建产业生态圈，推动区块链产业健康稳定发展。,重磅！币安旗下生态基金 Binance Labs 宣布投资内容公链 COS,13:33,2018-09-29 20:03:41
14,印度一家加密货币交易所 Bitbns 表示，Zebpay 的用户可以加入他们的交易所，它将退还 Zebpay 对特定代币收取的提款费。此外，Bitbns 表示，由于 Zebpay 宣布关停，这对整个印度加密货币行业和交易商来说都是「糟糕的一天」。,印度交易所 Bitbns 呼吁 Zebpay 用户加入，并称将退还 Zebpay 提款费,13:31,2018-09-29 20:03:41
15,波场 TRON 团队公布季度研发计划，首先将优化 solidity 节点性能，另外在 3.2 版本中会将内存数据库作为默认的主要数据库。在 Q4 大版本更新中将添加 FastSync 功能，对于复杂合约，fullnode 可以只确认结果，不确认合约执行过程。除此外，在物理多中心化层面，团队会采用混合云+物理机房的方式来提高节点的多中心化程度。,波场团队公布季度研发计划,11:58,2018-09-29 20:03:41
16,Bitfinex'ed 在推特上 @Bitfinexed 称，希望加密货币它不仅仅是一个由单个交易所凭空印钞来操纵价格的流动渠道。比特币等加密货币应该是真实的，而不应该是由卡特尔组织策划的骗局。,Bitfinex'ed 发推称 Bitfinex 操纵币价,11:19,2018-09-29 20:03:41
17,近日，墨西哥一家公司举行了一场辩论，辩证主题为「像比特币这样的加密货币是金融服务的未来还是 21 世纪的庞氏骗局?」，辩论双方分别为诺贝尔经济学奖得主 Paul Krugman 和前联邦检察官 Kathryn Haun。Paul Krugman 认为，以比特币等数字化货币为基础的分布式的数字服务是对遥远时代的一种不必要的倒退；Kathryn Haun 认为，虚拟货币和区块链技术是社会的救星，这种新技术让渴望创业的开发者能够与像谷歌这样控制规则的企业公平竞争。,前联邦检察官：虚拟货币和区块链技术是社会的救星，可促进企业公平竞争,10:08,2018-09-29 20:03:41
