,brief,header,pub_time,url
0,ToB业务具有更加广阔的前景，联想希望把智能模块、智能芯片、智能协议做成服务业务，为各行业赋能。,联想杨元庆：未来会围绕智能变革发展业务，TO B具有广阔前景 | CEO说,2018-11-30,http://www.tmtpost.com/3619125.html
1,沈南鹏表示，任何一个新兴公司，如果它们想把技术商业化，变成真正的应用和产品，大湾区是一个很好的“发射台”。,红杉资本沈南鹏：粤港澳大湾区充满生机，未来可比肩美国湾区 | 投资者说,2018-11-30,http://www.tmtpost.com/3618919.html
