,header,pub_time,url,views
0,【巴比特每日热聊榜】黄金，法币都不保值，囤什么？囤币？,2018-08-09 19:31:30,http://www.8btc.com/p249103,467
1,加密交易所的分散化或是比特币ETF迟迟未通过的一大深层障碍,2018-08-09 17:23:13,http://www.8btc.com/crypto-exchange-decentralization-hurdle-of-bitcoin-etf,1365
2,【比特币ETF】专题：5年磨砺，比特币能否C位出道？,2018-08-09 17:06:55,http://www.8btc.com/bitcoin-etf-sec,
3,加密货币挖矿到底会不会影响全球气候变化？,2018-08-09 17:01:54,http://www.8btc.com/bitcoin-energy-climate-change,925
4,以太坊又堵了，游戏和垃圾交易“杀伤力”令人窒息,2018-08-09 16:40:01,http://www.8btc.com/ethereum-congested,6658
5,比特币：十年话江湖（下）,2018-08-09 16:27:55,http://www.8btc.com/bitcoin-10-year-part-2,1929
6,Dan Morehead：投资者对比特币ETF新闻“反应过度”,2018-08-09 15:23:05,http://www.8btc.com/pantera-dan-morehead,1952
7,经济学人：区块链技术或可使互联网重新去中心化,2018-08-09 14:58:14,http://www.8btc.com/blockchain-technology-may-offer-a-way-to-re-decentralise-the-internet,1818
8,区块链：司法认可的新型存证方式,2018-08-09 13:50:34,http://www.8btc.com/blockchain-existing-evidence,2088
9,Ripple和XRP遭遇集体诉讼，XRP代币投资者要求赔偿,2018-08-09 13:48:27,http://www.8btc.com/rosen-law-firm-announces-securities-ripple-and-xrp,2604
10,工信部：将推动区块链产业健康有序发展,2018-08-09 13:41:31,http://www.8btc.com/gongxinbu-0809,2036
11,告别草根，奔向富人阶层的怀抱——ICO正在失去颠覆融资模式的革命性,2018-08-09 13:27:40,http://www.8btc.com/token-sales-turn-exclusive-as-private-investors-snatch-up-deals,2579
12,稳定币玩法升级？这个基于EOS网络的稳定币希望实现跨链互换,2018-08-09 13:24:18,http://www.8btc.com/stablecoin-on-eos,4905
13,泰国：20余家公司申请数字资产交易许可证，50个ICO项目对许可证感兴趣,2018-08-09 13:24:07,http://www.8btc.com/thai-sec-ico-digital-asset-operations-licenses,1199
14,比特币暴跌“真凶”另有其人，Brian Kelly坚信因比特币ETF被推迟而抛售是错误之举,2018-08-09 12:57:42,http://www.8btc.com/if-youre-selling-bitcoin-because-of-etf-delay-youre-doing-it-wrong,6831
15,通证经济将是会员经济的下一次革命吗？,2018-08-09 11:20:00,http://www.8btc.com/token-economy-and-membership-economy,2038
16,巨头入场数字货币托管，比特币会重回巅峰？ ,2018-08-09 11:14:14,http://www.8btc.com/crypto-custody,4917
17,美国道富银行寻求利用区块链简化证券借贷业务,2018-08-09 11:09:34,http://www.8btc.com/state-street-opens-up-about-its-internal-blockchain-debate,1316
18,闪电网络节点数正式突破3000个，“中心化”只是一种错觉？,2018-08-09 10:37:07,http://www.8btc.com/ightning-network-3000-nodes-capacity-100,4595
19,熊市年化利率16%，Ledgerx推出BTC有息储蓄服务，利用BTC波动性获利,2018-08-09 10:29:17,http://www.8btc.com/cftc-regulated-ledgerx-launches-interest-bearing-btc-savings-platform,2463
