,brief,header,news_url,pubtime,savetime
0,解决部门信息“孤岛”和信息“烟囱”问题，加快推进“互联网+电子政务”，建设“数字山东”，在山东省政府办公厅大数据和电子政务等管理职责的基础上，组建省大数据局，作为省政府 ...,山东将组建省大数据局 为省政府直属机构,http://tech.sina.com.cn/it/2018-10-09/doc-ifxeuwws2499941.shtml,大数据,2018-10-10 20:13:59
1,但近一两年的快速发展，对传统不良资产行业，尤其是中小微和零售不良的清收，已有较大突破。大数据、人工智能提效催收 大数据、人工智能、区块链等当下最热的金融科技手段，在不 ...,两万亿不良资产待处置 大数据、人工智能可提效催收,http://tech.sina.com.cn/i/2018-10-10/doc-ifxeuwws2606720.shtml,大数据,2018-10-10 20:13:59
2,今年恰逢黄金周制度施行20年，1999年国庆第一个“黄金周”时，全国出游人数达2800万人次，旅游综合收入141亿元，而如今这一组数字已经发生了爆炸式增长。随着国民收入水平的提高，黄金 ...,国庆黄金周20年，大数据告诉你中国消费真相,http://tech.sina.com.cn/roll/2018-10-10/doc-ifxeuwws2784321.shtml,大数据,2018-10-10 20:13:59
3,就上黑猫】相关新闻：作家王小山炮轰飞猪杀熟：别家卖2500 飞猪卖我3211 飞猪否认利用大数据杀熟：从来没有 也永远不会 原标题：飞猪回应质疑否认“大数据杀熟”，消费者该如何 ...,飞猪否认“大数据杀熟” 消费者该如何就杀熟维权？,http://tech.sina.com.cn/i/2018-10-08/doc-ihkvrhpt1684448.shtml,大数据,2018-10-10 20:13:59
4,毕业之后的去向无疑也是大家最为关注的点。此前，网上公布了美国137所大学专业的就业大数据分析，希望在毕业后找到一份心仪工作的学生们，值得参考一下！最受留学生青睐的专业方向 ...,IB出预估分：美国137所大学专业就业大数据分析,http://edu.sina.com.cn/ischool/2018-10-08/doc-ifxeuwws1944910.shtml,大,2018-10-10 20:13:59
5,近日，二手车拍卖平台天天拍车发布了《9月个人卖车大数据报告》。该报告统计了本月主要城市二手车的流向，以及不同品牌二手车的跨区域溢价。通过二手车拍卖平台，有越来越多的车 ...,9月二手车大数据：跨区域溢价成为关键词,http://auto.sina.com.cn/zz/7x24/2018-10-08/detail-ifxeuwws2140810.shtml,大数据,2018-10-10 20:13:59
6,记者日前从安徽省蚌埠市铁路公安处了解到，当地警方运用大数据分析严查国庆“网络黄牛”，截至目前，共破获各类倒票案件44起，抓获涉嫌倒票人员61人，共查获各类票证187张。今年9 ...,大数据助力安徽铁警严查国庆“网络黄牛”,http://tech.sina.com.cn/i/2018-10-06/doc-ifxeuwws1516398.shtml,大数据,2018-10-10 20:13:59
7,承诺不兑现；有些电商经营者刷销量、刷好评、删差评，严重误导消费者；有些平台出现“大数据杀熟”的情况，引发公众不满，等等。《电子商务法》将于2019年1月1日起正式施行，对电 ...,中消协解读《电子商务法》： 如何应对大数据杀熟,http://tech.sina.com.cn/i/2018-09-26/doc-ihkmwytp1502075.shtml,大数据,2018-10-10 20:13:59
8,应在关键指标与业务影响间，建立分析链] 近期，滴滴和华住接连发生的两起全国数据危机，说明了行业领军企业在“用好大数据”上还有很长的路要走。在滴滴顺风车司机杀人事件里，滴 ...,互联网企业可通过区块链技术用好大数据,http://tech.sina.com.cn/i/2018-09-26/doc-ifxeuwwr8236939.shtml,大数据,2018-10-10 20:13:59
9,原标题：最高法大数据：出租车案发率约为网约车13倍 网约车犯罪半数案发夜间 法制晚报·看法新闻（记者 赵加琪）20日下午，最高法院发布网约车与出租车服务过程中犯罪情况司法大数据 ...,最高法大数据：出租车案发率约为网约车13倍,http://news.sina.com.cn/s/2018-09-20/doc-ihkhfqnt3022400.shtml,大数据,2018-10-10 20:13:59
