,brief,header,news_url,pubtime,savetime
0,原标题：明确了！以后电商“大数据杀熟”违法！8.02亿！这是中国网民2018年6月达到的规模，很多人都在网上买东西，却可能还不知道遭遇了“大数据杀熟”，被侵犯了哪些权益，也不知 ...,明确了！以后电商“大数据杀熟”违法,http://news.sina.com.cn/gov/2018-09-13/doc-ihiixyeu7109141.shtml,大数据,2018-09-13 19:51:54
1,年政府工作报告提出：发展壮大新动能，做大做强新兴产业集群，实施大数据发展行动，加强新一代人工智能研发应用，在医疗、养老、教育、文化、体育等多领域推进“互联网+”。什 ...,人工智能、大数据、新金融……浙大博士的演讲把这些概念讲透了,http://finance.sina.com.cn/roll/2018-09-13/doc-ihkahyhw6643065.shtml,大数据,2018-09-13 19:51:54
2,抢占PPP项目的时代或已结束。随之而来的是，生态领域延伸出的新动能、新业态，这或将成为蒙草生态（300355.SZ）数字化转型——“种质资源+生态大数据”模式的推动力。说起大数据 ...,大数据如何助推生态修复领域产业发展？,http://finance.sina.com.cn/zmt/2018-09-13/doc-ihkahyhw6551445.shtml,大数据,2018-09-13 19:51:55
3,需要为客户提供持续服务，在这个过程中，保险公司与客户的大量交互都会积累数据，因此对于保险公司来说，具备大数据能力，就能够利用数据为客户提供更好的服务，更好满足客户的需 ...,中国保险消费者大数据：80后成为主力军,http://finance.sina.com.cn/roll/2018-09-13/doc-ihkahyhw7327548.shtml,大数据,2018-09-13 19:51:55
4,原标题：华师用大数据为4563名研究生新生“画像”女生和男生比例接近7：3 湖北日报讯（记者韩晓玲、通讯员党波涛）9月6日从华中师范大学了解到，该校用大数据为4563名研究生新生“画像 ...,华师用大数据为4563名研究生新生“画像” 女生和男生比例接近7：3,http://news.sina.com.cn/o/2018-09-13/doc-ihkahyhw5674752.shtml,大数据,2018-09-13 19:51:55
5,"骆民）赛为智能公告，公司与中电智云控股有限公司于2018年9月12日签订大数据建设、分析、云服务合同书，合同总价为145,000万元（暂定价），占公司2017年度经审计营业收入总额的96.76%，根 ...",赛为智能与中电智云签订14.5亿元大数据建设、云服务合同,http://finance.sina.com.cn/roll/2018-09-12/doc-ihiycyfx9274998.shtml,大数据,2018-09-13 19:51:55
6,极光大数据，作为最近登陆美股的第一家大数据概念公司，非常受到资本市场的关注，毕竟在二级市场，投资者对大数据公司的盈利模式，商业模式，公司、行业特点等都不是十分了解，所 ...,极光：首次登陆资本市场的大数据公司到底长什么样？,http://finance.sina.com.cn/zmt/2018-09-12/doc-ihiycyfx7472806.shtml,大数据,2018-09-13 19:51:56
7,当时乐亮吃惊的不是一个分站一年的工作量，而是在当今社会早已进入大数据时代的背景下，基层分站管理很大一部分却还停留在纸质文档时代，迎检材料摆满整整一个会议桌，而实际在计 ...,当“大数据”进军营之后……,http://mil.news.sina.com.cn/2018-09-12/doc-ihiixyeu6379804.shtml,大数据,2018-09-13 19:51:56
8,白皮书显示，就城市形象视频而言，北京、上海在数量上领先，而重庆、西安等新一线城市播放总量更胜一筹。新一线城市在城市形象视频播放量上领先，是受欢迎的“抖音之城”。将排行 ...,重庆成“抖音之城” 大数据揭秘如何打造网红城市,http://tech.sina.com.cn/roll/2018-09-11/doc-ihiycyfx2111954.shtml,大数据,2018-09-13 19:51:56
9,原标题：陕西广电涉足电竞产业建子公司 携高校推出大数据实验室 陕广锐玩公司成立启动。西部网讯（记者刘望）今天（9月11日）下午，陕西广电锐玩文化发展有限公司在西安宣布成立 ...,陕西广电涉足电竞产业建子公司 携高校推出大数据实验室,http://news.sina.com.cn/o/2018-09-11/doc-ihiycyfx2361523.shtml,大数据,2018-09-13 19:51:57
