,brief,header,pubtime,savetime
0,比特币和加密货币投资管理项目 Blockfolio 表示，在由 Pantera Capital 领投的新一轮融资中筹集了 1150 万美元，Pantera Capital 是成立最早的以加密货币投资为主的对冲基金之一。本轮融资的其他投资者包括加密货币交易所 Bitmex 和 Huobi，以及风险投资公司丹华资本、DCM Ventures、Abstract Ventures、Mayfield 和 Pathfinder。,Blockfolio 完成由 Pantera Capital 领投的 1150 万美元融资,12:09,2018-10-11 20:03:32
1,Mt. Gox 的民事受托人 Nobuaki Kobayashi 与 Kraken 交易所的运营商 Payward 签署了一份谅解备忘录，未来双方将进行详细交谈。Mt. Gox 的债权人必须在 10 月 22 日之前根据 Mt. Gox 的民事复原程序再次登记，提出索赔。对债权人的赔偿过程最早将于 2019 年开始。,Mt. Gox 债权人须在 10 月 22 前再次登记，最早将于 2019 年获赔,11:36,2018-10-11 20:03:32
2,最新数据显示，价值 1400 万的比特币解密游戏官方地址（39uAUwEFDi5bBbdBm5ViD8sxDBBrz7SUP4）中的 310 余枚比特币已经转出，游戏或已被破解。,价值 1400 万比特币解密游戏已破解，310 枚比特币已转出,10:47,2018-10-11 20:03:32
3,去中心化共享经济平台起源协议 Origin 发布了主网测试版本，买卖双方可以在基于该协议的去中介化市场上进行交易。Origin 目前提供了一个类似 Craigslist 的去中心化应用，用户可以连接自己的以太坊钱包，在这个去中心化的市场上购买产品和服务。Origin 去年 10 月创立，联合创始人为 Matthew Liu 和 Josh Fraser，已获得 Pantera、Foundation Capital、BlockTower 、FBG、Hashed、Kenetic、1kx、Continue Capital、Sora Capital 等机构的投资。,Origin 发布主网测试版,06:57,2018-10-11 20:03:32
4,雅虎财经援引消息人士报道称，美国证券交易委员会（SEC）加大了对 ICO 项目的打击力度，已经传唤了很多初创公司，尤其是那些将代币出售给非合格投资者的企业。消息称，数十家公司已经同意退还投资者资金并支付罚款。,雅虎财经：SEC 加大对 ICO 项目打击力度,06:01,2018-10-11 20:03:32
5,矿机公司比特微创始人杨作兴在接受彭博社采访时表示，该公司已经融资 2200 万美元，目前正在进行新一轮融资，计划明年提交上市申请。比特微是神马矿机的开发商，目前已经成为比特大陆矿机主要竞争对手之一。杨作兴曾为比特大陆核心技术人员，因和比特大陆创始人詹克团、吴忌寒就奖励股份分配产生分歧而离职创业。据财经杂志报道，詹克团最初只肯给杨作兴 0.5％ 比特大陆股份作为奖励，杨不接受；后吴忌寒同意给杨 2％ 的公司股份，但詹不同意；五轮谈判破裂后，杨作兴离开比特大陆，创立了比特微，推出神马矿机。,神马矿机已融资 2200 万美元，考虑明年上市,06:01,2018-10-11 20:03:32
6,耶鲁大学旗下基金进入加密资产投资领域的消息尚热，科技媒体 Information 刚刚又爆出，哈佛大学、斯坦福大学、麻省理工学院、达特茅斯学院、北卡罗来纳大学这五所顶级大学旗下的基金均已进入加密投资领域。Information 消息称，这五所大学每家至少都投资了一支加密资产投资基金。,哈佛、斯坦福、MIT、达特茅斯学院和北卡罗来纳大学旗下基金均已入场加密资产领域,04:51,2018-10-11 20:03:32
7,尽管市场普遍把比特币的价格波动归责于超大额比特币持有者，但是链上数据分析公司 Chainalysis 进行的一项研究却显示，事实恰恰相反，这些比特币「巨鲸」非但没有恶化市场波动，他们的行为事实上反而有助于减缓市场波动。Chainalysis 对最大的 32 个比特币钱包进行了深入分析后得出结论：这些大额钱包持有者是个非常多元化的群体，只有三分之一是活跃交易者，虽然他们的持币金额大到足以推动市场价格，但他们却更多是在价格下跌时买入，对平抑市场波动有益。,Chainalysis：比特币巨鲸有助减缓市场波动,04:26,2018-10-11 20:03:33
8,新加坡当局正在商讨开发基于 Ripple 区块链的发票交易平台，该平台将用于追踪发票，减少发票复制风险，进而可以让银行和金融机构进行发票融资业务，把发票在分布式账本上转为虚拟资产。目前，星展银行、新加坡资讯通信发展管理局和渣打银行为该平台制定了概念验证。该项目将会成为一个开放的生态系统，允许第三方参与。,新加坡将开发基于 Ripple 区块链的发票交易平台,02:52,2018-10-11 20:03:33
9,策源创投创始合伙人冯波参与创立的一只加密资产投资基金 Dragonfly Capital Partners 宣布完成 1 亿美元募资，比特大陆和 OKEx 参与投资。该基金另一创立合伙人为前贝恩资本的网络业务投资负责人 Alexander Pack。Dragonfly Capital 未来主要聚焦于三个投资方向：作为母基金投资新型的加密资产管理基金；投资有可能成为去中心化经济基础的协议及应用；支持可以连接去中心化和中心化世界的科技初创公司。该基金已经完成超过 20 项投资，包括 Basis、Spacemesh、Oasis Labs。,冯波参与创立的加密投资基金 Dragonfly Capital 完成募资 1 亿美元,02:38,2018-10-11 20:03:33
10,加密对冲基金在本轮熊市中回报大幅下跌、关门清仓的传闻不绝于耳，但是并不能阻挡新的加密投资基金进场。据 Crypto Fund Research 收集的数据，今年前三个季度，共有 90 多个加密对冲基金正式推出。该机构预计，今年有可能总计会有 120 个全新加密对冲基金面世，新成立的加密对冲基金数量有望占所有新设立对冲基金数量的 20%。,预计今年有 120 多家全新加密对冲基金设立,01:56,2018-10-11 20:03:33
11,ambcrypto 消息称，据统计，以太坊和 EOS 上的 DApp 目前每日活跃用户数约 6.5 万。其中 EOS 上的活跃用户约有 5.1 万，为以太坊的四倍。而 EOS 的活跃用户中，有 4.5 万人参与了与赌博相关的应用。,EOS DApp 活跃用户数约为以太坊四倍，主要参与赌博类游戏,01:02,2018-10-11 20:03:33
12,中国人民银行发布中国人民银行分支机构和直属单位 2019 年度人员录用招考（招聘）公告，中国人民银行直属事业单位中国人民银行数字货币研究所发布对法定数字货币相关人才的招聘需求。本次招聘岗位中包括四名专业为计算机、密码学、微电子的相关人才，负责法定数字货币相关软件系统、加密技术和安全模型、交易终端芯片技术研发等工作；一名经济法专业相关人才，负责数字货币相关法律研究及数字货币研究所的法律事务；一名金融相关专业人才，负责法定数字货币的经济机理分析、机制设计、风险管理、政策研究等工作。,央行发布法定数字货币相关岗位的招聘公告,17:53,2018-10-11 20:03:33
