,brief,header,pubtime,savetime
0,德国央行和德国证券交易所宣布，成功完成了两个采用区块链技术的证券结算系统的测试工作。该系统有德国央行和德国证券交易所共同开发，可以用于结算常规支付、利息支付和证券交易。该系统基于 Hyperledger Fabric 1.0 版本开发。,德国央行和德国证券交易所完成采用区块链技术的证券结算系统的测试,08:45,2018-10-28 19:46:13
1,据 Santiment 进行的数据统计，目前基于以太坊平台的 ERC20 代币总市值已经上升到 128 亿美元，高于 8 月份的 110 亿美元规模，ERC20 代币总市值占 ETH 总市值的比例，已经从 8 月份时的 40%，上升到 61%。这意味着 ERC20 代币在过去两个月中涨幅高于 ETH。,ERC20 代币总市值占 ETH 总市值的比例从 8 月的 40% 上升至 61%,06:14,2018-10-28 19:46:13
2,比利时金融服务和市场管理局（FSMA）更新了涉嫌欺诈的加密货币交易平台及加密货币项目名单，新增添 21 个新的涉嫌诈骗项目。目前，比利时金融服务和市场管理局提供的这个「黑名单」上共有 99 个网站。比利时金融服务和市场管理局警告比利时居民，这些涉嫌欺诈的网站都有一些共性：承诺月度或年化高回报；承诺高流动性，即用户可以随时撤回资金；承诺用户的投资受真实世界抵押物的保护。,比利时金融监管当局更新涉嫌欺诈的加密货币项目名单，99 个网站上榜,05:58,2018-10-28 19:46:13
3,据 TokenInsight 监测，近 24 小时内成交量（美元）前四的稳定币分别为 USDT（18.8 亿）、TUSD（2283 万）、PAX（1825 万）及 DAI（474 万），其中 DAI 增速最高为 31%。交易对占比方面，USDT-BTC 占自身交易量最大，为 42.7%，TUSD-USDT、PAX-USDT 占自身交易量最大，分别为 45.66%、67.92%，DAI-ETH 占自身交易量最大，为 52.8%。独立分析师 Lewis 认为，目前稳定币市场中 USDT 的市值及交易量占比巨大，而 TUSD、PAX 等稳定币的交易对也以 USDT 为主。尽管 USDT 场内报价低于 1 美元，但短期来看其仍是稳定币市场的主要参与者。,TokenInsight：稳定币 24 小时成交量排名前四中 DAI 增速最高,17:36,2018-10-28 19:46:13
4,据曼谷邮报，泰国证券交易委员会在社交媒体平台上对用于投资的数字代币和 ICO 展开调查，发现 9 起推广数字资产未获市场监管机构批准的案件。根据泰国证监会的说法，这些所谓的数字资产和 ICO 既没有向证交会提出申请，也没有达到必要的条件，也没有得到 ICO 门户网站的智能合约评估。泰国证监会表示，那些投资于这些所谓资产的人应该警惕相关的投资风险。,泰国证券交易委员会对 9 个数字代币和 ICO 发出警告,10:00,2018-10-28 19:46:13
5,据 TokenInsight 数据显示，反映区块链行业整体表现的 TI 指数北京时间 10 月 27 日 8 时报 592.61 点，较昨日同期上涨 0.3 点，涨幅为 0.05%。此外，在 TokenInsight 密切关注的 21 个细分行业板块中，24 小时内涨幅最高的为通讯版块，涨幅为 5.07%；24 小时内跌幅最高的为医疗健康版块，跌幅为 4.64%。 另据监测显示，BTC 人气热度随全网缓慢下降至今日 0.0732，全网转账数保持高位运行，今日 24.72 万。BCtrend 分析师 Jeffrey 认为，市场人气连续50日企稳，短期或将延续小幅震荡态势。,TokenInsight：BTC人气连续50日企稳，短期或将延续小幅震荡,09:07,2018-10-28 19:46:13
6,BitGo、Kyber Network 和 Republic Protocol 计划于 2019 年 1 月 在以太坊上推出一种和比特币挂钩的 ERC20 代币 WBTC（Wrapped Bitcoin）。几家发起公司表示，WBTC 计划实现与比特币 1:1 挂钩，所有发行的 WBTC 都会得到比特币的支持，托管人存储的每个比特币都能够与发行的 WBTC 总数对应，并且可在链上验证，只有经商家批准，托管人才能铸造 WBTC，当持有人将 WBTC 兑换成比特币时，WBTC 将被销毁。知名的去中心化交易所和金融项目，包括 MakerDAO、Dharma、Airswap、Gnosis、IDEX、Radar Relay、Compound、DDEX、Hydro Protocol、Set Protocol 和Prycto 都将支持WBTC，并将作为WBTC的发布成员。几家公司表示，该计划将会将比特币的流动性以及去中心化生态带入以太坊，从而增强所有的去中心化应用程序。,和比特币挂钩的 ERC20 代币 WBTC 将于明年 1 月推出,07:41,2018-10-28 19:46:13
7,IBM 和一家独立从事央行研究的智库 OMFIF 共同进行的一项调研显示，多数接受调查的央行认为他们将发行央行电子货币，不过，这些央行并不确定是否区块链技术可以实现更低的成本和更高的效率。该调查在今年 7 月到 9 月间获得了 21 个央行的回复，其中 38% 表示已经在银行间交易市场测试央行电子货币。,IBM 调研：多数接受调查的央行认为他们将发行央行电子货币,06:53,2018-10-28 19:46:13
8,Ripple 发布的公告称，第三季度共售出 1.63 亿美元 XRP，其中通过程序化销售售出 5670 万美元，直接出售给各类机构的 XRP 高达 9810 万美元，后者增幅显著。上个季度，Ripple 直接出售给各类机构的 XRP 仅为 1690 万美元。,Ripple 第三季度共售出 1.63 亿美元 XRP,05:29,2018-10-28 19:46:13
9,加密资产管理公司 Bitwise 推出了一个针对金融理财顾问的加密货币信息门户，向金融理财顾问们提供关于加密货币新闻、网上资源和可用工具在内的各项信息。据 Bitwise 做的调查，约有 21% 的金融理财顾问称，和投资加密资产相比，了解加密领域才是更大的障碍。此举有助于传统金融理财顾问把加密资产介绍给更多普通投资人。,Bitwise 推出针对金融理财顾问的加密货币信息门户,05:22,2018-10-28 19:46:13
